"","2017-12-31","2018-12-31","2019-12-31"
"예대율",1.17,1.19,1.18
"자산성장률",NA,0.08,0.12
"매출성장률",NA,0.13,0.06
"opm",0.45,0.47,0.47
"roe",0.09,0.08,0.08
"roa",0.01,0.01,0.01
