"","KB금융.X2017.12","KB금융.X2018.12","KB금융.X2019.12","신한지주.X2017.12","신한지주.X2018.12","신한지주.X2019.12","하나금융지주.X2017.12","하나금융지주.X2018.12","하나금융지주.X2019.12","우리금융지주.X2017.12","우리금융지주.X2018.12","우리금융지주.X2019.12","기업은행.X2017.12","기업은행.X2018.12","기업은행.X2019.12","BNK금융지주.X2017.12","BNK금융지주.X2018.12","BNK금융지주.X2019.12","DGB금융지주.X2017.12","DGB금융지주.X2018.12","DGB금융지주.X2019.12","JB금융지주.X2017.12","JB금융지주.X2018.12","JB금융지주.X2019.12","제주은행.X2017.12","제주은행.X2018.12","제주은행.X2019.12"
"예대율",1.13,1.15,1.11,1.1,1.13,1.1,1.03,1.05,1.04,NA,NA,1.02,1.8,1.96,2.03,1.05,1.04,1.03,1.04,1.06,1.09,1.1,1.09,1.09,0.95,0.96,0.96
"자산성장률",NA,0.1,0.08,NA,0.08,0.2,NA,0.07,0.09,NA,NA,NA,NA,0.06,0.1,NA,0.05,0.06,NA,0.14,0.12,NA,-0.02,0.02,NA,0.08,0.04
"매출성장률",NA,0.06,0.05,NA,0.17,0.12,NA,0.16,0.03,NA,NA,NA,NA,0.18,-0.07,NA,0.26,0.08,NA,-0.19,0.3,NA,0.2,0.16,NA,0.06,0.04
"opm",0.49,0.48,0.49,0.49,0.52,0.52,0.53,0.56,0.56,NA,NA,0.48,0.39,0.43,0.39,0.26,0.32,0.37,0.32,0.24,0.31,0.3,0.33,0.39,0.29,0.29,0.32
"roe",0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,NA,NA,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.08,0.08,0.07,0.09,0.09,0.09,0.06,0.06,0.06
"roa",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
