"","2019-12-30","2020-03-30","2020-06-30","2020-09-30"
"예대율",1.18,1.17,1.16,1.18
"자산성장률",NA,0.04,0.03,0.03
"매출성장률",NA,0.42,0.05,0.09
"opm",0.34,0.49,0.51,0.55
"roe",0.01,0.02,0.02,0.02
"roa",0,0,0,0
