"","KB금융.X2019.12","KB금융.X2020.03","KB금융.X2020.06","KB금융.X2020.09","신한지주.X2019.12","신한지주.X2020.03","신한지주.X2020.06","신한지주.X2020.09","하나금융지주.X2019.12","하나금융지주.X2020.03","하나금융지주.X2020.06","하나금융지주.X2020.09","우리금융지주.X2019.12","우리금융지주.X2020.03","우리금융지주.X2020.06","우리금융지주.X2020.09","기업은행.X2019.12","기업은행.X2020.03","기업은행.X2020.06","기업은행.X2020.09","BNK금융지주.X2019.12","BNK금융지주.X2020.03","BNK금융지주.X2020.06","BNK금융지주.X2020.09","DGB금융지주.X2019.12","DGB금융지주.X2020.03","DGB금융지주.X2020.06","DGB금융지주.X2020.09","JB금융지주.X2019.12","JB금융지주.X2020.03","JB금융지주.X2020.06","JB금융지주.X2020.09","제주은행.X2019.12","제주은행.X2020.03","제주은행.X2020.06","제주은행.X2020.09"
"예대율",1.11,1.11,1.13,1.12,1.1,1.09,1.1,1.11,1.04,1.02,1.01,1.03,1.02,1.04,1.02,1.02,2.03,1.99,1.89,1.96,1.03,1.05,1.05,1.04,1.09,1.09,1.08,1.07,1.09,1.08,1.07,1.07,0.96,0.97,0.97,0.99
"자산성장률",NA,0.05,0.05,0.06,NA,0.05,0,0.02,NA,0.04,0,0.01,NA,0.04,0,0,NA,0.03,0.05,0.03,NA,0.02,0.05,0,NA,0.04,0.04,0.02,NA,0.03,0.06,0.02,NA,0,0.04,0.01
"매출성장률",NA,0.34,0.34,0.02,NA,0.38,0,0.17,NA,0.17,0.07,0.14,NA,0.8,-0.48,0.69,NA,0.67,-0.35,0.13,NA,2.02,0.14,-0.19,NA,1.4,0,-0.01,NA,0.78,-0.04,0.17,NA,-0.42,0.25,-0.4
"opm",0.33,0.44,0.6,0.58,0.37,0.51,0.51,0.6,0.52,0.62,0.65,0.73,0.29,0.53,0.27,0.45,0.28,0.47,0.3,0.35,0.13,0.38,0.44,0.35,0.16,0.38,0.38,0.37,0.25,0.45,0.42,0.48,0.4,0.25,0.3,0.18
"roe",0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.01
"roa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
