"","KB금융.X2017.12","KB금융.X2018.12","KB금융.X2019.12","신한지주.X2017.12","신한지주.X2018.12","신한지주.X2019.12","하나금융지주.X2017.12","하나금융지주.X2018.12","하나금융지주.X2019.12","우리금융지주.X2017.12","우리금융지주.X2018.12","우리금융지주.X2019.12","기업은행.X2017.12","기업은행.X2018.12","기업은행.X2019.12","BNK금융지주.X2017.12","BNK금융지주.X2018.12","BNK금융지주.X2019.12","DGB금융지주.X2017.12","DGB금융지주.X2018.12","DGB금융지주.X2019.12","JB금융지주.X2017.12","JB금융지주.X2018.12","JB금융지주.X2019.12","제주은행.X2017.12","제주은행.X2018.12","제주은행.X2019.12"
"순이자손익",0.86,0.87,0.85,0.91,0.93,0.96,0.75,0.79,0.78,NA,NA,0.9,1.25,1.2,1.24,1.32,1.16,1.05,1.19,1.2,1.02,1.19,1.17,1.07,1.09,1.02,1.02
"순수수료손익",0.21,0.22,0.22,0.2,0.21,0.21,0.28,0.29,0.28,NA,NA,0.17,0.1,0.1,0.11,0.09,0.1,0.12,0.07,0.11,0.2,0.01,0.01,0.05,0.16,0.12,0.13
"금융상품관련손익",0.04,0.05,0.08,0.05,0.06,0.07,0.06,0.04,0.09,NA,NA,0.02,0.02,0.16,0.1,0.03,0.03,0.06,0.04,0.06,0.08,0.02,0.02,0.03,-0.03,0.01,0.02
"위험회피회계파생상품관련손익",NA,NA,NA,NA,NA,NA,0,-0.01,0.02,NA,NA,0.02,0.03,-0.02,0,-0.01,0.01,0.01,0.03,-0.01,-0.02,0,NA,NA,NA,NA,NA
"외환거래(환율변동)손익",0,0.01,0.02,0.04,0.02,0.04,0.1,0.03,0.05,NA,NA,0.06,0.07,0.02,0.04,0.03,0.01,0.02,0.01,-0.01,0.02,0.01,0,0,0.04,0.03,0.07
"금융자산관련손익",0,-0.01,-0.03,-0.14,-0.13,-0.18,-0.08,-0.04,-0.03,NA,NA,-0.04,-0.35,-0.34,-0.35,-0.34,-0.21,-0.13,-0.23,-0.26,-0.23,-0.14,-0.11,-0.07,-0.12,-0.06,-0.11
"기타영업손익",-0.12,-0.14,-0.15,-0.06,-0.09,-0.11,-0.12,-0.12,-0.18,NA,NA,-0.13,-0.12,-0.12,-0.14,-0.13,-0.11,-0.13,-0.1,-0.1,-0.08,-0.1,-0.09,-0.08,-0.14,-0.13,-0.13
"순영업수익",1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
