"","2017-12-31","2018-12-31","2019-12-31","2020-03-30-30","2020-06-30-30","2020-09-30-30"
"예대율",1.17,1.19,1.18,1.07,1.08,1.08
"자산성장률",NA,0.08,0.12,0.04,0.02,0.03
"매출성장률",NA,0.13,0.06,0.38,0.12,0.08
"opm",0.45,0.47,0.47,0.49,0.55,0.58
"roe",0.09,0.08,0.08,0.02,0.02,0.03
"roa",0.01,0.01,0.01,0,0,0
