"","X2017.12","X2018.12","X2019.12"
"매출액",104992,115207,107721
"매출원가",90295,94587,89304
"매출총이익",14698,20623,18418
"판매비와관리비",11224,11417,11614
"인건비",2985,3418,3519
"유무형자산상각비",272,286,438
"연구개발비",133,142,154
"광고선전비",245,162,143
"판매비",5293,4915,4867
"관리비",2010,2188,2168
"기타원가성비용",0,0,0
"기타",284,304,325
"영업이익",3474,9209,6803
"영업이익(발표기준)",3474,9209,6803
"금융수익",1907,581,720
"이자수익",138,135,184
"배당금수익",13,28,2
"외환이익",1193,304,398
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",500,9,7
"금융자산평가이익",3,1,10
"금융자산손상차손환입",0,0,0
"파생상품이익",51,93,101
"기타금융수익",11,16,15
"금융원가",2092,2767,3112
"이자비용",1425,1956,2072
"외환손실",393,620,572
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",0,0,4
"금융자산처분손실",1,1,0
"금융자산평가손실",21,48,12
"금융자산손상차손",52,66,1
"파생상품손실",135,67,441
"기타금융원가",62,10,10
"기타수익",1550,1196,1275
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",7,9,3
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,1
"자산처분(폐기)이익",172,151,215
"자산평가이익",81,190,122
"자산손상차손환입",0,32,1
"임대료수익",36,39,35
"로열티수익",0,0,0
"수수료수익",9,18,9
"대손충당금환입",21,0,3
"충당부채환입액",4,0,1
"기타비용",1762,1272,2020
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",5,13,25
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0
"자산처분(폐기)손실",558,175,141
"자산평가손실",0,0,0
"자산손상차손",553,362,1284
"기타대손상각비",43,30,79
"충당부채전입액",3,3,1
"종속기업,공동지배기업및관계기업관련손익",-33,203,14
"지분법손익",-41,61,13
"종속기업,공동지배기업및관계기업투자주식처분손익",-81,18,-7
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",3051,7151,3690
"법인세비용",1531,2063,1235
"계속영업이익",1522,5085,2457
"중단영업이익",136,-125,-44
"당기순이익",1658,4961,2410
"지배주주순이익",939,3572,1351
"비지배주주순이익",601,1076,818
"자산",141807,157241,160510
"유동자산",45094,49207,47611
"재고자산",14513,16840,15849
"유동생물자산",0,0,0
"유동금융자산",2535,4287,5351
"매출채권및기타유동채권",19791,18633,16748
"당기법인세자산",45,31,46
"계약자산",0,70,5
"반품(환불)자산",0,6,8
"배출권",0,0,11
"기타유동자산",646,633,804
"현금및현금성자산",7206,8646,8250
"매각예정비유동자산및처분자산집단",359,61,538
"비유동자산",95455,106943,111418
"유형자산",82118,87257,88960
"무형자산",3050,7419,7523
"비유동생물자산",1050,1247,1381
"투자부동산",2240,2383,2597
"장기금융자산",2929,4519,5122
"관계기업등지분관련투자자산",2772,2801,2855
"장기매출채권및기타비유동채권",306,290,213
"이연법인세자산",395,264,563
"장기당기법인세자산",0,0,0
"기타비유동자산",595,762,2200
"기타금융업자산",1258,1089,1482
"부채",75494,85888,86664
"유동부채",49277,51629,46476
"단기사채",1218,750,876
"단기차입금",22618,22275,18360
"유동성장기부채",6825,8912,8346
"유동금융부채",85,174,917
"매입채무및기타유동채무",15952,15742,14084
"유동종업원급여충당부채",9,14,17
"기타단기충당부채",91,116,189
"당기법인세부채",968,1586,1052
"계약부채",0,612,1049
"반품(환불)부채",0,5,7
"배출부채",0,5,30
"기타유동부채",1463,1408,1545
"매각예정으로분류된처분자산집단에포함된부채",48,33,1
"비유동부채",26217,34258,40190
"사채",2835,3330,3953
"장기차입금",13961,19386,23561
"비유동금융부채",244,371,1107
"장기매입채무및기타비유동채무",591,681,818
"비유동종업원급여충당부채",3241,3506,3660
"기타장기충당부채",751,1248,1055
"이연법인세부채",4494,5547,5828
"장기당기법인세부채",0,0,0
"기타비유동부채",93,188,204
"기타금융업부채",0,0,0
"자본",66310,71347,73847
"지배기업주주지분",51993,56145,57866
"자본금",10141,10389,9185
"신종자본증권",0,0,0
"자본잉여금",17789,18266,20044
"기타자본",-8552,-8471,-8483
"기타포괄손익누계액",3164,3615,4003
"이익잉여금(결손금)",31963,35290,36300
"비지배주주지분",11804,12254,12796
"영업활동으로인한현금흐름",5633,10662,9772
"당기순손익",1593,5067,2820
"법인세비용차감전계속사업이익",122,-70,-420
"현금유출이없는비용등가산",11050,12070,13447
"퇴직급여",738,816,825
"종업원급여",6,25,27
"주식보상비",3,3,3
"감가상각비",4714,5129,5705
"무형자산상각비",165,210,201
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,4,44
"기타의대손상각비",42,11,72
"배당금지급",0,0,0
"금융부채관련손실",21,8,5
"사채상환손실",38,1,2
