"","X2017.12","X2018.12","X2019.12"
"매출액",2568131,2598953,2491687
"매출원가",1444706,1466059,1635117
"매출총이익",1123425,1132892,856564
"판매비와관리비",581233,540151,571340
"인건비",73325,70040,70238
"유무형자산상각비",14072,15202,21397
"연구개발비",166237,186346,202437
"광고선전비",53611,40147,46359
"판매비",140813,124921,119053
"관리비",80618,61300,59317
"기타원가성비용",0,0,0
"기타",52556,42196,52531
"영업이익",542189,592746,285236
"영업이익(발표기준)",542189,592746,285236
"금융수익",99945,102393,104444
"이자수익",16482,23417,27115
"배당금수익",28,31,36
"외환이익",74220,68297,69303
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",332,130,99
"금융자산평가이익",10,80,243
"금융자산손상차손환입",0,0,0
"파생상품이익",8847,10413,7584
"기타금융수익",17,24,60
"금융원가",93573,89299,86598
"이자비용",7803,8155,8434
"외환손실",74709,72632,69724
"대손상각비",2,1,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,2,1
"매출채권처분손실",0,0,0
"금융자산처분손실",16,181,27
"금융자산평가손실",87,153,194
"금융자산손상차손",95,10,9
"파생상품손실",10798,7999,8053
"기타금융원가",60,166,148
"기타수익",33169,18060,21823
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",3,36,48
"자산처분(폐기)이익",3517,4449,3840
"자산평가이익",3,25,1
"자산손상차손환입",0,18,8
"임대료수익",1506,1493,1598
"로열티수익",0,0,0
"수수료수익",34,13,5
"대손충당금환입",11,38,63
"충당부채환입액",0,0,1
"기타비용",19320,15945,18705
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",22,112,172
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,19,90
"자산처분(폐기)손실",1418,1259,1827
"자산평가손실",0,1,43
"자산손상차손",2150,1259,994
"기타대손상각비",570,505,401
"충당부채전입액",4,0,13
"종속기업,공동지배기업및관계기업관련손익",3729,6570,5628
"지분법손익",3748,6743,5732
"종속기업,공동지배기업및관계기업투자주식처분손익",11,-1,10
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-42,-125,-45
"세전계속사업이익",566135,614528,311830
"법인세비용",141532,169739,89027
"계속영업이익",424601,444789,222798
"중단영업이익",-862,-1257,-382
"당기순이익",423737,443530,222414
"지배주주순이익",414859,439545,220007
"비지배주주순이익",8775,3909,2347
