"","X2019.12","X2020.03","X2020.06","X2020.09"
"종속회사관련이익",260,21,231,23
"법인세수익",413,92,-10,103
"영업활동으로인한자산부채변동(운전자본변동)",-772,-3112,-3551,-3321
"자산의감소(증가)",433,-1365,-4044,-3651
"부채의증가(감소)",-1186,-1446,289,542
"정부보조금등의변동",0,6,2,-1
"기타운전자본의변동",-22,-310,190,-206
"*영업에서창출된현금흐름",4191,4545,4322,5166
"기타영업활동으로인한현금흐름",-819,-1320,-1242,-1671
"이자수입",212,183,177,160
"이자지급(-)",-506,-454,-527,-561
"배당금수입",188,224,174,6
"배당금지급(-)",14,-22,1,0
"법인세환입",-5,33,50,-7
"법인세납부(-)",-724,-1281,-1125,-1267
"중단영업관련현금흐름",0,0,0,0
"투자활동으로인한현금흐름",-8487,-1476,-7402,-12205
"투자활동으로인한현금유입액",9107,15416,16966,18604
"유동금융자산의감소",6659,12158,14089,15384
"장기금융상품의감소",199,71,31,226
"매도가능금융자산의감소",-6,25,1,-18
"만기보유금융자산의감소",0,0,0,0
"장기대여금의감소",137,48,29,13
"파생상품의변동",1,0,1,0
"기타비유동금융자산의감소",187,607,1572,1633
"관계기업등지분관련투자자산의감소",293,263,134,115
"유형자산의감소",110,42,73,315
"무형자산의감소",153,21,96,168
"생물자산의감소",0,0,0,0
"투자부동산의감소",48,0,0,0
"기타투자활동으로인한현금유입액",1322,2163,934,756
"(투자활동으로인한현금유출액)",17633,16978,24422,30865
"유동금융자산의증가",9600,10917,14084,21222
"장기금융상품의증가",242,66,57,169
"매도가능금융자산의증가",-51,24,17,92
"만기보유금융자산의증가",0,0,0,0
"장기대여금의증가",40,128,87,44
"기타비유동금융자산의증가",473,632,1837,2089
"관계기업등지분관련투자자산의증가",1479,732,466,558
"유형자산의증가",3903,3611,3709,4117
"무형자산의증가",869,536,625,1026
"생물자산의증가",0,0,0,0
"투자부동산의증가",375,4,0,279
"기타투자활동으로인한현금유출액",708,310,3538,1118
"기타투자활동으로인한현금흐름",39,92,59,54
"재무활동으로인한현금흐름",5122,2623,13901,4520
"재무활동으로인한현금유입액",22201,19305,31195,20583
"사채의증가",3104,792,2495,-499
"차입금의증가",14220,17527,21012,14154
"미지급금의증가",0,0,0,0
"유동성장기부채의증가",0,0,0,220
"기타금융부채의증가",-170,81,548,51
"기타부채의증가",266,0,8,0
"유상증자",4842,109,725,635
"자기주식의처분",161,667,-208,2160
"주식매입선택권의행사",-723,16,9,27
"자본구성항목의증가",-1504,108,6541,3391
"기타재무활동으로인한현금유입액",2002,2,66,448
"(재무활동으로인한현금유출액)",17008,16230,14528,15953
"사채의감소",1396,229,1542,463
"차입금의감소",13650,12937,9218,14745
"미지급금의감소",0,0,0,0
"유동성장기부채의감소",703,1587,2683,213
"기타금융부채의감소",-160,596,410,383
"기타부채의감소",821,21,9,18
"유상감자",0,0,0,0
"자기주식의취득",32,515,309,72
"자본구성항목의감소",87,0,223,-91
"기타재무활동으로인한현금유출액",476,340,130,144
"기타재무활동으로인한현금흐름",-72,-454,-2771,-108
"영업투자재무활동기타현금흐름",1,0,0,-83
"연결범위변동으로인한현금의증가",0,0,-3,0
"환율변동효과",-311,258,-135,-197
"현금및현금성자산의증가",-311,4631,9427,-4469
"기초현금및현금성자산",32744,32641,37174,47238
"기말현금및현금성자산",32593,37342,46829,42887
