"","015760","051600","071320"
"2016-01-25",50600,99400,58900
"2016-01-26",51600,99200,60100
"2016-01-27",51700,98900,60400
"2016-01-28",52700,97400,59300
"2016-01-29",52600,99500,59400
"2016-02-01",53200,98800,60400
"2016-02-02",53300,98500,64500
"2016-02-03",53000,96600,66900
"2016-02-04",53800,98300,67700
"2016-02-05",52300,98500,65100
"2016-02-11",52200,94800,66400
"2016-02-12",52900,91900,65600
"2016-02-15",52600,93500,66400
"2016-02-16",53300,93700,67700
"2016-02-17",54400,89800,67100
"2016-02-18",54500,91800,65900
"2016-02-19",55800,96300,65800
"2016-02-22",55500,96300,65800
"2016-02-23",55400,92300,66700
"2016-02-24",56600,72800,66800
"2016-02-25",59500,73700,68900
"2016-02-26",60600,73100,67400
"2016-02-29",58700,71200,67200
"2016-03-02",60000,71700,68800
"2016-03-03",58500,77000,69700
"2016-03-04",58400,74300,71500
"2016-03-07",56800,75200,70900
"2016-03-08",55900,73700,70400
"2016-03-09",57400,74000,70700
"2016-03-10",58000,75100,69100
"2016-03-11",58200,73900,69400
"2016-03-14",58800,72800,70400
"2016-03-15",58600,72500,69300
"2016-03-16",59800,73800,70400
"2016-03-17",59300,72700,70500
"2016-03-18",59600,71900,70500
"2016-03-21",60100,70800,69000
"2016-03-22",59200,67200,69400
"2016-03-23",58900,66800,67800
"2016-03-24",59300,67400,69300
"2016-03-25",59300,67500,68600
"2016-03-28",58600,68300,68300
"2016-03-29",59800,65500,69800
"2016-03-30",59900,64500,70500
"2016-03-31",60200,64100,71200
"2016-04-01",59100,63600,72600
"2016-04-04",58900,65200,72300
"2016-04-05",58000,64800,72000
"2016-04-06",58300,66500,73300
"2016-04-07",59000,67500,74400
"2016-04-08",58700,66500,74500
"2016-04-11",58700,66100,75200
"2016-04-12",59000,67300,75500
"2016-04-14",59500,69300,77200
"2016-04-15",59100,69700,74500
"2016-04-18",59000,73200,74800
"2016-04-19",59500,77300,73500
"2016-04-20",59900,74700,73300
"2016-04-21",59400,76000,71400
"2016-04-22",59200,75600,71900
"2016-04-25",59500,75000,70700
"2016-04-26",61400,75600,72800
"2016-04-27",62300,74300,73100
"2016-04-28",61400,73600,71500
"2016-04-29",61800,75500,70600
"2016-05-02",61200,72800,70000
"2016-05-03",61800,72600,69800
"2016-05-04",61500,73900,69400
"2016-05-09",62800,71700,70600
"2016-05-10",61800,72300,69800
"2016-05-11",61200,71200,70400
"2016-05-12",61000,73700,71400
"2016-05-13",61400,73800,72900
"2016-05-16",60300,73400,70500
"2016-05-17",60400,74300,71300
"2016-05-18",60200,73600,71600
