"","X2017.12","X2018.12","X2019.12"
"매출액",494558,613769,478354
"매출원가",274736,310034,347827
"매출총이익",219821,303739,130527
"판매비와관리비",60226,71036,84351
"인건비",14563,17004,17561
"유무형자산상각비",5592,6978,10749
"연구개발비",25821,29956,36876
"광고선전비",935,1024,1044
"판매비",2931,3124,3274
"관리비",9295,11720,13402
"기타원가성비용",0,0,0
"기타",1078,1221,1446
"영업이익",159599,232708,46179
"영업이익(발표기준)",159599,232708,46179
"금융수익",12089,20689,15756
"이자수익",1026,1282,1123
"배당금수익",17,57,68
"외환이익",9890,14629,12349
"대손충당금환입액",6,10,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",3,0,0
"금융자산처분이익",588,602,830
"금융자산평가이익",130,2321,633
"금융자산손상차손환입",0,1,4
"파생상품이익",387,152,299
"기타금융수익",36,1634,446
"금융원가",16533,14527,21190
"이자비용",2915,2731,4604
"외환손실",12690,11105,11197
"대손상각비",18,42,18
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",1,1,1
"금융자산처분손실",60,137,250
"금융자산평가손실",18,286,3327
"금융자산손상차손",29,0,0
"파생상품손실",410,175,475
"기타금융원가",393,42,1315
"기타수익",4188,4056,5181
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",1,2,3
"당기손익-공정가치측정<U+00A0>금융자산평가이익",1,39,79
"자산처분(폐기)이익",1131,661,740
"자산평가이익",27,77,15
"자산손상차손환입",3,7,10
"임대료수익",125,111,104
"로열티수익",0,0,1
"수수료수익",45,22,22
"대손충당금환입",14,17,38
"충당부채환입액",32,24,6
"기타비용",4940,5175,6385
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",83,19,11
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,129,86
"자산처분(폐기)손실",544,1007,548
"자산평가손실",8,25,53
"자산손상차손",772,1021,2017
"기타대손상각비",93,221,163
"충당부채전입액",54,10,44
"종속기업,공동지배기업및관계기업관련손익",528,1774,255
"지분법손익",770,1323,1005
"종속기업,공동지배기업및관계기업투자주식처분손익",15,515,90
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-160,-185,-242
"세전계속사업이익",154929,239531,39792
"법인세비용",32055,63873,8639
"계속영업이익",122883,175661,31148
"중단영업이익",274,312,104
"당기순이익",123155,175972,31251
"지배주주순이익",120468,171898,27711
"비지배주주순이익",1415,1925,1193
"자산",669999,884397,926149
"유동자산",271209,309597,268916
"재고자산",51556,73986,83200
"유동생물자산",0,0,0
"유동금융자산",71512,77650,38070
"매출채권및기타유동채권",86496,95396,76784
"당기법인세자산",131,267,2109
"계약자산",343,1695,3018
"반품(환불)자산",0,8,15
"배출권",1,0,0
"기타유동자산",7792,9800,9795
"현금및현금성자산",53182,50583,55215
"매각예정비유동자산및처분자산집단",188,197,700
"비유동자산",386456,561055,642822
"유형자산",311294,432234,493412
"무형자산",29909,34949,33619
"비유동생물자산",0,0,0
"투자부동산",3734,4507,6053
"장기금융자산",6757,51841,53951
"관계기업등지분관련투자자산",16694,20680,23009
"장기매출채권및기타비유동채권",1219,1332,2288
"이연법인세자산",8973,8626,10031
"장기당기법인세자산",0,0,0
"기타비유동자산",7875,6832,20385
"기타금융업자산",12332,13745,14403
"부채",196087,259467,273739
"유동부채",137100,190308,149692
"단기사채",1424,2796,3097
"단기차입금",22350,28449,38350
"유동성장기부채",11067,14336,21316
"유동금융부채",839,731,4526
"매입채무및기타유동채무",70253,89366,71419
"유동종업원급여충당부채",193,243,354
"기타단기충당부채",1034,758,1088
"당기법인세부채",26890,48919,3456
"계약부채",515,2075,3898
"반품(환불)부채",0,8,12
"배출부채",374,475,80
"기타유동부채",2089,2061,1977
"매각예정으로분류된처분자산집단에포함된부채",75,76,117
"비유동부채",54066,63645,118402
"사채",15029,18260,30651
"장기차입금",30555,36035,66208
"비유동금융부채",1316,1465,13213
"장기매입채무및기타비유동채무",548,657,686
"비유동종업원급여충당부채",3925,4327,4792
"기타장기충당부채",427,449,316
"이연법인세부채",1581,1791,1883
"장기당기법인세부채",0,0,0
"기타비유동부채",683,668,668
"기타금융업부채",4915,5513,5657
"자본",473914,624925,652404
"지배기업주주지분",451683,595957,619421
"자본금",51666,52225,52908
"신종자본증권",107,0,0
"자본잉여금",89796,92951,100053
"기타자본",-14301,-30776,-32635
"기타포괄손익누계액",-3123,-4003,-1125
"이익잉여금(결손금)",339864,502132,519383
"비지배주주지분",9901,12247,13832
"영업활동으로인한현금흐름",164453,243436,87070
"당기순손익",121645,173241,29178
"법인세비용차감전계속사업이익",1982,3627,2771
"현금유출이없는비용등가산",105321,150989,129414
"퇴직급여",3153,3450,4110
"종업원급여",12,47,76
"주식보상비",153,119,200
"감가상각비",53618,66864,87407
"무형자산상각비",4962,6144,8874
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",-15,12,13
"기타의대손상각비",114,316,233
"배당금지급",0,0,0
"금융부채관련손실",44,25,1012
"사채상환손실",127,13,108
"투자자산평가손실",1,17,2444
"자산재평가손실",0,0,0
"지분법관련손실",663,394,867
"종속기업관련손실",15,10,2
"관계기업관련손익",396,520,628
"(현금유입이없는수익등차감)",10952,12910,11716
"금융부채관련이익",20,164,37
"사채상환이익",1,39,14
"퇴직급여충당부채환입액",0,7,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",1,19,2
"투자자산평가이익",16,1883,88
"자산재평가이익",0,0,0
"지분법관련이익",1362,1654,1544
"종속회사관련이익",183,228,352
"법인세수익",293,212,350
"영업활동으로인한자산부채변동(운전자본변동)",-42916,-29937,-3209
"자산의감소(증가)",-49638,-29801,10377
"부채의증가(감소)",6571,-168,-13381
"정부보조금등의변동",-4,1,12
"기타운전자본의변동",149,31,-223
"*영업에서창출된현금흐름",175075,285016,146452
"기타영업활동으로인한현금흐름",-10603,-41578,-59375
"이자수입",1361,2085,1825
"이자지급(-)",-2629,-2787,-4057
"배당금수입",219,221,243
"배당금지급(-)",-58,-274,-287
"법인세환입",58,77,4
"법인세납부(-)",-9563,-40905,-57100
"중단영업관련현금흐름",0,6,-1
"투자활동으로인한현금흐름",-136699,-238738,-130394
"투자활동으로인한현금유입액",28157,69166,74540
"유동금융자산의감소",16584,59972,63288
"장기금융상품의감소",1470,333,1619
"매도가능금융자산의감소",1482,39,5
"만기보유금융자산의감소",75,0,0
"장기대여금의감소",137,220,248
"파생상품의변동",111,26,11
"기타비유동금융자산의감소",1884,3156,2786
"관계기업등지분관련투자자산의감소",683,1782,1378
"유형자산의감소",3276,1833,1299
"무형자산의감소",140,149,61
"생물자산의감소",0,0,0
"투자부동산의감소",752,35,1529
"기타투자활동으로인한현금유입액",1555,1610,2276
"(투자활동으로인한현금유출액)",164939,308011,205038
"유동금융자산의증가",39932,64987,23750
"장기금융상품의증가",1438,1085,1784
"매도가능금융자산의증가",2058,250,601
"만기보유금융자산의증가",61,0,0
"장기대여금의증가",261,284,344
"기타비유동금융자산의증가",2413,2856,3289
"관계기업등지분관련투자자산의증가",3578,5291,3160
"유형자산의증가",104156,178917,160830
"무형자산의증가",9307,10548,7987
"생물자산의증가",0,0,0
"투자부동산의증가",41,166,395
"기타투자활동으로인한현금유출액",1656,43550,2697
"기타투자활동으로인한현금흐름",86,110,100
"재무활동으로인한현금흐름",-1137,-5969,47224
"재무활동으로인한현금유입액",53486,80607,150322
"사채의증가",3710,5803,5317
"차입금의증가",44836,71670,140133
"미지급금의증가",3,2,2
"유동성장기부채의증가",84,90,178
"기타금융부채의증가",245,439,1415
"기타부채의증가",1,18,3
"유상증자",3162,1930,1978
"자기주식의처분",259,137,292
"주식매입선택권의행사",87,37,17
"자본구성항목의증가",464,23,679
"기타재무활동으로인한현금유입액",634,460,314
"(재무활동으로인한현금유출액)",48881,77437,90353
"사채의감소",739,1411,3187
"차입금의감소",43489,53441,78802
"미지급금의감소",47,27,1
"유동성장기부채의감소",3063,3377,2898
"기타금융부채의감소",457,341,4582
"기타부채의감소",0,1,2
"유상감자",1,0,0
"자기주식의취득",966,18560,702
"자본구성항목의감소",7,3,86
"기타재무활동으로인한현금유출액",114,279,94
"기타재무활동으로인한현금흐름",-5743,-9142,-12739
"영업투자재무활동기타현금흐름",-38,-134,-99
"연결범위변동으로인한현금의증가",0,8,-264
"환율변동효과",-1541,21,132
"현금및현금성자산의증가",25041,-1385,3674
"기초현금및현금성자산",28552,53677,52475
"기말현금및현금성자산",53601,52292,56154
