"","005380","000270","003620","067990","000040"
"2016-01-25",137500,48100,6340,3388,6995
"2016-01-26",136000,47100,6300,3408,6995
"2016-01-27",137000,48600,6450,3472,7147
"2016-01-28",135000,47400,6600,3472,7300
"2016-01-29",133000,45150,6540,3482,7330
"2016-02-01",132500,44500,6520,3511,7147
"2016-02-02",129500,43150,6440,3511,7056
"2016-02-03",129000,43550,6460,3457,7178
"2016-02-04",132500,43700,6520,3487,7269
"2016-02-05",133500,44450,6900,3521,7300
"2016-02-11",131000,43550,6780,3388,6872
"2016-02-12",137000,46350,6580,3256,6750
"2016-02-15",139500,46550,6680,3241,6995
"2016-02-16",141000,47250,6910,3320,7117
"2016-02-17",147000,47850,7020,3349,6933
"2016-02-18",147000,47650,7150,3329,7269
"2016-02-19",149000,49000,7150,3334,7300
"2016-02-22",147500,48100,7170,3413,7483
"2016-02-23",149000,48000,7310,3325,7269
"2016-02-24",149000,47500,7370,3359,7147
"2016-02-25",147000,47050,7390,3320,6995
"2016-02-26",147000,47100,7530,3334,6995
"2016-02-29",147500,46100,7870,3379,6964
"2016-03-02",150000,47400,7840,3329,6964
"2016-03-03",147500,47950,7900,3241,6995
"2016-03-04",147500,47100,7960,3334,6995
"2016-03-07",146500,47300,8180,3349,6964
"2016-03-08",148000,47250,8120,3354,6995
"2016-03-09",149500,48950,8250,3452,6811
"2016-03-10",148000,47900,8390,3467,6750
"2016-03-11",149000,47900,8260,3408,6842
"2016-03-14",148500,48700,8230,3403,6781
"2016-03-15",147000,47150,8100,3438,6872
"2016-03-16",146500,47500,8100,3727,6903
"2016-03-17",146500,47550,8170,3948,6964
"2016-03-18",150500,47600,8160,3929,6964
"2016-03-21",154500,48900,8150,3929,7330
"2016-03-22",159000,50800,8350,3929,6995
"2016-03-23",158000,49800,8280,3973,6903
"2016-03-24",155500,49550,8180,3978,6933
"2016-03-25",153000,49300,8170,4056,6842
"2016-03-28",154000,48900,8270,4012,6872
"2016-03-29",155000,50000,8380,4037,6842
"2016-03-30",155500,49250,8270,3860,6933
"2016-03-31",152500,48300,8260,4037,6964
"2016-04-01",149500,47050,8190,4253,6995
"2016-04-04",144000,45800,7920,4140,6995
"2016-04-05",144500,45450,7940,4154,7208
"2016-04-06",144000,45350,7740,4204,7239
"2016-04-07",146500,45400,7620,4390,7208
"2016-04-08",146000,45400,7550,4488,7086
"2016-04-11",146000,45850,7720,4356,7269
"2016-04-12",148500,46300,7750,4508,7208
"2016-04-14",152000,48050,7860,4616,7269
"2016-04-15",151500,48150,7850,4616,7361
"2016-04-18",154000,49050,7870,4469,7300
"2016-04-19",153000,48950,7870,4385,7208
"2016-04-20",151500,48350,7790,4375,7330
