"","X2017.12","X2018.12","X2019.12"
"매출액",88974,99305,109558
"매출원가",71564,81480,89619
"매출총이익",17408,17828,19936
"판매비와관리비",9594,11308,12698
"인건비",3342,3750,4118
"유무형자산상각비",279,409,818
"연구개발비",234,205,259
"광고선전비",90,142,171
"판매비",3358,4309,4897
"관리비",2042,2308,2235
"기타원가성비용",0,0,0
"기타",247,191,202
"영업이익",7813,6516,7241
"영업이익(발표기준)",7813,6516,7241
"금융수익",1382,733,1121
"이자수익",346,361,573
"배당금수익",68,61,105
"외환이익",56,72,84
"대손충당금환입액",0,0,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",418,5,46
"금융자산평가이익",10,79,99
"금융자산손상차손환입",0,0,0
"파생상품이익",80,154,96
"기타금융수익",402,4,113
"금융원가",1455,3313,2568
"이자비용",1298,2374,2192
"외환손실",85,108,84
"대손상각비",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",1,0,0
"금융자산처분손실",5,5,14
"금융자산평가손실",0,223,81
"금융자산손상차손",42,23,27
"파생상품손실",14,94,163
"기타금융원가",9,483,6
"기타수익",1534,3008,1610
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,3,7
"자산처분(폐기)이익",503,238,78
"자산평가이익",1,2,1
"자산손상차손환입",17,34,56
"임대료수익",68,72,82
"로열티수익",0,0,0
"수수료수익",20,38,41
"대손충당금환입",45,9,10
"충당부채환입액",70,122,67
"기타비용",2805,3109,2594
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",0,2,5
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,185,280
"자산처분(폐기)손실",483,152,296
"자산평가손실",1,0,54
"자산손상차손",1125,1442,551
"기타대손상각비",29,66,114
"충당부채전입액",73,101,8
"종속기업,공동지배기업및관계기업관련손익",219,53,148
"지분법손익",193,66,120
"종속기업,공동지배기업및관계기업투자주식처분손익",0,-11,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0
"세전계속사업이익",6686,3892,4962
"법인세비용",1102,1043,1601
"계속영업이익",5584,2848,3358
"중단영업이익",944,3823,4
"당기순이익",6527,6670,3362
"지배주주순이익",5496,6518,2401
"비지배주주순이익",148,-68,458
"자산",180843,209944,214015
"유동자산",52193,58182,54394
"재고자산",7661,9320,8630
"유동생물자산",0,0,0
"유동금융자산",9968,8370,9452
"매출채권및기타유동채권",21903,24264,23055
"당기법인세자산",146,52,88
"계약자산",124,272,249
"반품(환불)자산",0,0,0
"배출권",168,499,137
"기타유동자산",1099,1006,1091
"현금및현금성자산",10784,13722,11381
"매각예정비유동자산및처분자산집단",339,676,309
"비유동자산",108031,127591,130621
"유형자산",75276,87222,87538
"무형자산",14907,20213,18913
"비유동생물자산",0,0,0
"투자부동산",4336,5436,5543
"장기금융자산",5758,6637,7839
"관계기업등지분관련투자자산",5559,5416,5120
"장기매출채권및기타비유동채권",787,906,962
"이연법인세자산",621,1002,1015
"장기당기법인세자산",0,0,0
"기타비유동자산",795,758,3665
"기타금융업자산",20618,24171,28996
"부채",91050,110730,115169
"유동부채",40599,44681,45158
"단기사채",304,555,388
"단기차입금",15987,13304,12419
"유동성장기부채",4737,6597,8813
"유동금융부채",161,3211,3649
"매입채무및기타유동채무",16618,18090,17050
"유동종업원급여충당부채",5,4,4
"기타단기충당부채",616,319,234
"당기법인세부채",974,678,833
"계약부채",59,214,281
"반품(환불)부채",0,239,43
"배출부채",533,489,559
"기타유동부채",601,984,885
"매각예정으로분류된처분자산집단에포함된부채",0,0,0
"비유동부채",30555,42850,42447
"사채",4877,6852,9597
"장기차입금",13035,22725,17697
"비유동금융부채",2253,460,2823
"장기매입채무및기타비유동채무",361,544,445
"비유동종업원급여충당부채",5064,5649,5564
"기타장기충당부채",2108,2558,2471
"이연법인세부채",2723,3962,3726
"장기당기법인세부채",0,0,0
"기타비유동부채",136,99,124
"기타금융업부채",19896,23201,27570
"자본",89793,99211,98842
"지배기업주주지분",76006,71314,79328
"자본금",11797,12005,12086
"신종자본증권",0,0,0
"자본잉여금",32404,42888,39089
"기타자본",-3719,-14279,-14092
"기타포괄손익누계액",1771,819,863
"이익잉여금(결손금)",43112,47447,50611
"비지배주주지분",4430,10339,10289
"영업활동으로인한현금흐름",7914,8209,10818
"당기순손익",5254,1219,2043
"법인세비용차감전계속사업이익",1710,5725,1833
"현금유출이없는비용등가산",10414,14563,14320
"퇴직급여",880,973,1000
"종업원급여",1,28,38
"주식보상비",7,9,11
"감가상각비",3904,4519,5918
"무형자산상각비",229,370,379
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,2
"기타의대손상각비",20,66,114
"배당금지급",0,0,0
"금융부채관련손실",16,952,1
"사채상환손실",4,12,4
"투자자산평가손실",0,0,26
"자산재평가손실",10,2,0
"지분법관련손실",13,29,10
"종속기업관련손실",0,11,0
"관계기업관련손익",28,306,474
"(현금유입이없는수익등차감)",4716,9934,5353
"금융부채관련이익",2,4,118
