"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",27111,21135,25095,24977
"매출원가",21800,18255,19255,19870
"매출총이익",5308,2880,5838,5105
"판매비와관리비",3183,2621,2672,3057
"인건비",1196,952,880,1144
"유무형자산상각비",231,186,187,174
"연구개발비",66,55,47,61
"광고선전비",56,31,35,36
"판매비",1174,862,962,993
"관리비",624,474,427,502
"기타원가성비용",0,0,0,0
"기타",-168,53,134,149
"영업이익",2125,259,3168,2046
"영업이익(발표기준)",2125,259,3168,2046
"금융수익",467,452,160,158
"이자수익",341,56,64,64
"배당금수익",30,38,18,8
"외환이익",26,49,13,15
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",31,12,30,40
"금융자산평가이익",57,11,10,8
"금융자산손상차손환입",0,0,0,0
"파생상품이익",6,24,58,-5
"기타금융수익",-21,260,-40,26
"금융원가",640,571,539,504
"이자비용",919,396,364,365
"외환손실",27,40,26,17
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",10,5,4,9
"금융자산평가손실",68,46,-21,-8
"금융자산손상차손",0,0,2,0
"파생상품손실",58,21,52,-8
"기타금융원가",-443,62,115,128
"기타수익",684,390,205,356
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",5,6,2,3
"자산처분(폐기)이익",21,161,28,85
"자산평가이익",0,0,0,0
"자산손상차손환입",46,0,0,0
"임대료수익",24,15,15,14
"로열티수익",0,0,0,0
"수수료수익",3,0,0,3
"대손충당금환입",10,5,-5,0
"충당부채환입액",11,0,8,-2
"기타비용",1736,408,603,208
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",4,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",45,178,-17,-126
"자산처분(폐기)손실",242,34,110,74
"자산평가손실",52,0,0,0
"자산손상차손",519,4,26,97
"기타대손상각비",110,16,13,0
"충당부채전입액",-12,6,-1,1
"종속기업,공동지배기업및관계기업관련손익",15,125,127,33
"지분법손익",27,99,125,37
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",918,247,2510,1874
"법인세비용",584,147,613,663
"계속영업이익",334,101,1898,1215
"중단영업이익",22,0,-11,-6
"당기순이익",355,101,1886,1210
"지배주주순이익",135,-43,1478,819
"비지배주주순이익",160,58,168,190
"자산",214015,196134,197561,225036
"유동자산",54394,48016,47111,54200
"재고자산",8630,8201,7808,8341
"유동생물자산",0,0,0,0
"유동금융자산",9452,10013,8744,11991
"매출채권및기타유동채권",23055,18985,19773,22379
"당기법인세자산",88,78,24,25
"계약자산",249,287,187,283
"반품(환불)자산",0,0,0,0
"배출권",137,122,122,135
"기타유동자산",1091,1177,957,1079
"현금및현금성자산",11381,8895,9136,9615
"매각예정비유동자산및처분자산집단",309,260,356,350
"비유동자산",130621,121131,122675,140491
"유형자산",87538,80056,80496,91391
