"","X2017.12","X2018.12","X2019.12"
"매출액",181070,200003,232693
"매출원가",139396,152524,177315
"매출총이익",41676,47479,55375
"판매비와관리비",30044,34047,39837
"인건비",12328,12629,14238
"유무형자산상각비",2035,2068,3373
"연구개발비",1452,1540,1788
"광고선전비",369,530,658
"판매비",560,859,802
"관리비",12265,13846,13967
"기타원가성비용",79,73,104
"기타",954,2509,4901
"영업이익",11634,13435,15535
"영업이익(발표기준)",11634,13435,15535
"금융수익",1407,2019,2686
"이자수익",705,1009,1286
"배당금수익",5,29,28
"외환이익",563,773,907
"대손충당금환입액",2,1,0
"매출채권처분이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0
"금융자산처분이익",50,44,78
"금융자산평가이익",10,84,193
"금융자산손상차손환입",9,0,0
"파생상품이익",44,62,175
"기타금융수익",20,11,18
"금융원가",1753,1443,2612
"이자비용",435,598,1338
"외환손실",888,655,797
"대손상각비",6,2,10
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0
"매출채권처분손실",1,1,1
"금융자산처분손실",6,9,1
"금융자산평가손실",10,96,95
"금융자산손상차손",197,1,5
"파생상품손실",148,73,313
"기타금융원가",59,6,51
"기타수익",1439,1852,3459
"재고자산감모손실환입",0,0,0
"재고자산폐기(처분)이익",0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,116,93
"자산처분(폐기)이익",256,389,341
"자산평가이익",10,0,41
"자산손상차손환입",0,0,1
"임대료수익",11,10,14
"로열티수익",0,0,0
"수수료수익",103,119,6
"대손충당금환입",46,3,7
"충당부채환입액",7,0,2
"기타비용",1911,2412,2256
"재고자산감모손실",0,0,0
"재고자산폐기(처분)손실",1,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,318,26
"자산처분(폐기)손실",91,68,56
"자산평가손실",29,0,15
"자산손상차손",561,476,987
"기타대손상각비",124,121,120
"충당부채전입액",17,2,14
"종속기업,공동지배기업및관계기업관련손익",-5,-197,-93
"지분법손익",-105,-218,-144
"종속기업,공동지배기업및관계기업투자주식처분손익",8,12,10
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,-22,-3
"세전계속사업이익",10803,13248,16721
"법인세비용",3046,4376,4514
"계속영업이익",7762,8873,12204
"중단영업이익",-290,-320,-692
"당기순이익",7472,8552,11511
"지배주주순이익",6575,6967,9339
"비지배주주순이익",576,747,1868
"자산",159414,179497,227547
"유동자산",102869,116557,135833
"재고자산",3021,4017,7091
"유동생물자산",0,0,0
"유동금융자산",25630,32440,39018
"매출채권및기타유동채권",40672,41480,47717
"당기법인세자산",41,44,72
"계약자산",30,565,503
"반품(환불)자산",0,12,16
"배출권",0,0,0
"기타유동자산",6650,7079,7155
"현금및현금성자산",26808,30877,31735
"매각예정비유동자산및처분자산집단",14,46,2534
"비유동자산",56548,62940,91711
"유형자산",24760,27667,46188
"무형자산",16878,17744,16327
"비유동생물자산",0,0,0
"투자부동산",2058,2069,3844
"장기금융자산",4546,6011,7560
"관계기업등지분관련투자자산",3654,4518,4907
"장기매출채권및기타비유동채권",858,812,1396
"이연법인세자산",1654,2049,2339
"장기당기법인세자산",0,0,0
"기타비유동자산",2141,2068,9152
"기타금융업자산",0,0,0
"부채",56242,65977,95151
"유동부채",48528,55077,68782
"단기사채",353,1248,1595
"단기차입금",7733,8043,11432
"유동성장기부채",1808,1959,2701
"유동금융부채",599,940,3033
"매입채무및기타유동채무",29082,32823,37849
"유동종업원급여충당부채",383,332,367
"기타단기충당부채",331,380,398
"당기법인세부채",1772,2220,1952
"계약부채",1,534,618
"반품(환불)부채",0,5,8
"배출부채",0,0,0
"기타유동부채",6473,6588,7878
"매각예정으로분류된처분자산집단에포함된부채",0,5,952
"비유동부채",7715,10905,26374
"사채",389,1791,3060
"장기차입금",2366,2587,9546
"비유동금융부채",417,750,6503
"장기매입채무및기타비유동채무",541,915,833
"비유동종업원급여충당부채",1451,2003,2551
"기타장기충당부채",284,297,355
"이연법인세부채",2160,2395,3353
"장기당기법인세부채",0,0,0
"기타비유동부채",103,166,178
"기타금융업부채",0,0,0
"자본",103175,113519,132393
"지배기업주주지분",88085,94489,105045
"자본금",8447,9241,9317
"신종자본증권",0,100,100
"자본잉여금",30620,33260,36676
"기타자본",-873,-921,-1485
"기타포괄손익누계액",-1509,-3992,-3954
"이익잉여금(결손금)",57136,64351,72051
"비지배주주지분",9363,11480,19684
"영업활동으로인한현금흐름",14441,17721,17322
"당기순손익",6874,7935,11100
"법인세비용차감전계속사업이익",833,820,648
"현금유출이없는비용등가산",13513,15348,20306
"퇴직급여",1880,1972,2212
"종업원급여",16,195,214
"주식보상비",11,60,73
"감가상각비",3736,3960,6958
"무형자산상각비",1825,1881,1800
"계약부채전입액",0,0,0
"반품(환불)부채전입액",0,0,0
"배출부채전입액",0,0,0
"기타의대손상각비",49,104,97
"배당금지급",0,0,0
"금융부채관련손실",58,1,129
"사채상환손실",0,0,8
"투자자산평가손실",0,0,4
"자산재평가손실",0,0,0
"지분법관련손실",246,242,218
"종속기업관련손실",10,44,6
"관계기업관련손익",5,159,186
"(현금유입이없는수익등차감)",1957,2346,4700
"금융부채관련이익",15,24,145
"사채상환이익",0,1,7
"퇴직급여충당부채환입액",0,1,0
"계약부채환입액",0,0,0
"반품(환불)부채환입액",0,0,0
"배출부채환입액",0,0,0
"주식보상비환입",0,0,0
"투자자산평가이익",0,0,0
"자산재평가이익",0,0,0
"지분법관련이익",16,48,89
"종속회사관련이익",4,19,138
"법인세수익",155,120,149
"영업활동으로인한자산부채변동(운전자본변동)",-2293,-1246,-5755
"자산의감소(증가)",-2429,-2098,-3621
