"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",55329,42279,39990,41888
"매출원가",40955,22848,20581,20768
"매출총이익",14371,19436,19412,21118
"판매비와관리비",11155,18900,17918,19128
"인건비",7623,6587,6028,6178
"유무형자산상각비",-1138,2714,2586,2582
"연구개발비",75,62,76,70
"광고선전비",1850,1376,1426,1487
"판매비",1479,661,746,790
"관리비",5998,4591,4190,4534
"기타원가성비용",764,613,1362,1047
"기타",-5497,2280,1504,2438
"영업이익",3221,541,1491,1997
"영업이익(발표기준)",3226,550,1497,2028
"금융수익",506,1111,733,499
"이자수익",505,216,182,170
"배당금수익",33,1,7,0
"외환이익",343,307,6,44
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",64,29,53,16
"금융자산평가이익",107,54,341,90
"금융자산손상차손환입",0,0,0,0
"파생상품이익",198,69,8,1
"기타금융수익",-757,427,127,172
"금융원가",2296,1363,1354,1629
"이자비용",2217,255,248,257
"외환손실",310,143,99,107
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",3,3,4,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",34,5,45,12
"금융자산평가손실",634,72,69,24
"금융자산손상차손",44,0,3,1
"파생상품손실",922,76,-4,25
"기타금융원가",-1877,804,886,1205
"기타수익",724,437,558,685
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",36,8,2,4
"자산처분(폐기)이익",43,65,51,35
"자산평가이익",27,12,20,81
"자산손상차손환입",5,1,1,8
"임대료수익",8,4,7,5
"로열티수익",0,0,0,0
"수수료수익",15,1,12,4
"대손충당금환입",-3,5,43,2
"충당부채환입액",1,0,0,0
"기타비용",5562,606,1246,2186
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",2,0,0,4
"당기손익-공정가치측정<U+00A0>금융자산평가손실",91,5,-3,-2
"자산처분(폐기)손실",100,62,23,46
"자산평가손실",2,34,25,1
"자산손상차손",4429,11,70,1301
"기타대손상각비",606,64,196,42
"충당부채전입액",15,0,4,5
"종속기업,공동지배기업및관계기업관련손익",-1258,20,319,-363
"지분법손익",-12,29,264,-3
"종속기업,공동지배기업및관계기업투자주식처분손익",-109,9,18,-2
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-893,0,0,-341
"세전계속사업이익",-4670,141,504,-997
"법인세비용",1242,552,823,476
"계속영업이익",-5906,-410,-316,-1478
"중단영업이익",-437,-69,9,175
"당기순이익",-6342,-478,-305,-1304
"지배주주순이익",-3876,-337,-180,-1290
"비지배주주순이익",-1445,-206,-114,-63
"자산",308410,305898,306922,313349
"유동자산",133018,127924,130142,137753
"재고자산",3707,3844,3967,4678
"유동생물자산",0,0,0,0
"유동금융자산",25329,26853,32049,32649
"매출채권및기타유동채권",57341,49496,45060,49036
"당기법인세자산",249,307,214,311
"계약자산",1424,1497,1304,1426
"반품(환불)자산",28,28,27,28
"배출권",0,0,0,0
"기타유동자산",11112,12066,12087,12542
"현금및현금성자산",33108,33566,34981,36332
"매각예정비유동자산및처분자산집단",715,280,447,748
"비유동자산",175396,177969,176776,175601
"유형자산",52621,51947,51292,51407
"무형자산",41520,42192,41252,40676
"비유동생물자산",0,0,0,0
"투자부동산",4202,4851,4826,4804
"장기금융자산",14568,14752,14473,14891
"관계기업등지분관련투자자산",21043,21548,22235,21701
"장기매출채권및기타비유동채권",1994,1946,2213,2282
"이연법인세자산",3723,3642,3823,4036
"장기당기법인세자산",0,0,0,0
"기타비유동자산",34940,36641,36152,35196
"기타금융업자산",0,0,0,0
"부채",151003,150046,149363,154679
"유동부채",96982,91916,94070,95056
"단기사채",1824,1131,2251,2152
"단기차입금",7225,15062,16458,15388
"유동성장기부채",12104,8312,11016,5710
"유동금융부채",4641,5901,8122,8638
"매입채무및기타유동채무",57387,46687,41996,47686
"유동종업원급여충당부채",565,15,84,157
"기타단기충당부채",209,236,174,171
"당기법인세부채",2696,1989,1776,1625
"계약부채",1286,1274,1322,2037
"반품(환불)부채",4,4,1,1
"배출부채",0,0,0,0
"기타유동부채",8918,11215,10809,11118
"매각예정으로분류된처분자산집단에포함된부채",143,82,59,371
"비유동부채",54015,58127,55292,59617
"사채",6833,8502,9345,12876
"장기차입금",5362,6350,5499,6113
"비유동금융부채",33249,34049,30961,31042
"장기매입채무및기타비유동채무",1385,870,878,900
"비유동종업원급여충당부채",2548,2817,3059,3376
"기타장기충당부채",283,145,166,176
"이연법인세부채",3917,3796,3991,4015
"장기당기법인세부채",0,0,0,0
"기타비유동부채",415,1576,1366,1082
"기타금융업부채",0,0,0,0
"자본",157405,155855,157563,158671
"지배기업주주지분",129679,127937,129635,131140
"자본금",20110,19705,19444,19937
"신종자본증권",0,0,0,0
"자본잉여금",77249,78759,80320,83027
"기타자본",-8348,-8415,-8659,-8573
