"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",331566,382572,368617,121123,62974,49672
"매출원가",303725,351309,336457,105558,59874,48464
"매출총이익",27839,31263,32156,15565,3100,1210
"판매비와관리비",14672,15211,15654,3985,3806,3795
"인건비",4760,5056,5452,1252,1166,1259
"유무형자산상각비",2187,2289,2611,549,544,558
"연구개발비",584,620,671,105,124,141
"광고선전비",198,129,128,29,20,24
"판매비",189,467,170,18,17,29
"관리비",6211,6113,6104,1482,1297,1212
"기타원가성비용",0,0,0,0,0,0
"기타",548,538,524,545,638,572
"영업이익",13167,16053,16505,11582,-705,-2583
"영업이익(발표기준)",12306,16006,16505,11582,-705,-2583
"금융수익",9793,6244,5634,4750,-346,-716
"이자수익",985,974,883,199,168,164
"배당금수익",28,29,38,21,9,12
"외환이익",6019,3247,3012,3663,-766,-1072
"대손충당금환입액",5,0,0,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",70,106,157,12,16,32
"금융자산평가이익",13,55,38,18,17,-2
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",2531,1404,1429,780,194,96
"기타금융수익",141,427,75,55,15,54
"금융원가",17663,14632,14139,7269,1515,1082
"이자비용",9404,9023,9227,2222,1999,1883
"외환손실",6283,3022,2636,3546,-732,-974
"대손상각비",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,9,1,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",14,8,17,1,10,1
"금융자산평가손실",9,750,100,31,-14,51
"금융자산손상차손",30,0,0,0,0,46
"파생상품손실",1504,1833,2163,1265,128,-55
"기타금융원가",418,-3,-3,194,123,130
"기타수익",1411,2446,2142,272,292,1887
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",87,1,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,5,0,1,3
"자산처분(폐기)이익",366,321,112,19,24,27
"자산평가이익",4,4,0,0,0,0
"자산손상차손환입",0,0,0,0,0,8
"임대료수익",22,26,27,6,8,6
