"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",103239,121123,62974,49672
"매출원가",93691,105558,59874,48464
"매출총이익",9549,15565,3100,1210
"판매비와관리비",4402,3985,3806,3795
"인건비",2042,1252,1166,1259
"유무형자산상각비",1146,549,544,558
"연구개발비",208,105,124,141
"광고선전비",33,29,20,24
"판매비",130,18,17,29
"관리비",2015,1482,1297,1212
"기타원가성비용",0,0,0,0
"기타",-1171,545,638,572
"영업이익",5146,11582,-705,-2583
"영업이익(발표기준)",5146,11582,-705,-2583
"금융수익",-929,4750,-346,-716
"이자수익",265,199,168,164
"배당금수익",11,21,9,12
"외환이익",-1474,3663,-766,-1072
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",76,12,16,32
"금융자산평가이익",-47,18,17,-2
"금융자산손상차손환입",0,0,0,0
"파생상품이익",221,780,194,96
"기타금융수익",18,55,15,54
"금융원가",1249,7269,1515,1082
"이자비용",2792,2222,1999,1883
"외환손실",-1347,3546,-732,-974
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,9,1,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",0,1,10,1
"금융자산평가손실",72,31,-14,51
"금융자산손상차손",0,0,0,46
"파생상품손실",134,1265,128,-55
"기타금융원가",-403,194,123,130
"기타수익",183,272,292,1887
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",1,0,1,3
"자산처분(폐기)이익",81,19,24,27
"자산평가이익",0,0,0,0
"자산손상차손환입",0,0,0,8
"임대료수익",8,6,8,6
"로열티수익",0,0,0,0
"수수료수익",1,4,5,2
"대손충당금환입",-4,0,4,2
"충당부채환입액",3,0,0,0
"기타비용",6053,155,4551,689
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",1,4,-4,0
"자산처분(폐기)손실",336,5,4,31
"자산평가손실",0,0,0,0
"자산손상차손",5105,0,4357,0
"기타대손상각비",20,2,47,259
"충당부채전입액",124,0,0,0
"종속기업,공동지배기업및관계기업관련손익",-14,-140,2437,408
"지분법손익",72,20,1915,333
"종속기업,공동지배기업및관계기업투자주식처분손익",0,9,0,1
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,-101
"세전계속사업이익",-2917,9038,-4386,-2775
"법인세비용",-658,2114,-1006,-706
"계속영업이익",-2257,6924,-3383,-2065
"중단영업이익",-1,0,0,0
"당기순이익",-2258,6924,-3383,-2065
"지배주주순이익",-2416,6572,-4920,-2103
"비지배주주순이익",20,123,23,-11
"자산",529625,535829,507560,485999
"유동자산",140439,148304,121711,103065
"재고자산",27287,24365,31915,21478
"유동생물자산",0,0,0,0
"유동금융자산",15680,19729,19629,17907
"매출채권및기타유동채권",72032,68797,37207,31113
"당기법인세자산",115,2,9,15
"계약자산",305,360,418,433
"반품(환불)자산",0,0,0,0
"배출권",84,91,128,90
"기타유동자산",12815,18536,17138,17067
"현금및현금성자산",12115,16424,15267,14614
"매각예정비유동자산및처분자산집단",2,0,0,350
"비유동자산",389188,387526,385850,382933
"유형자산",313514,314561,309492,305463
"무형자산",18441,19343,18282,17854
"비유동생물자산",0,0,0,0
"투자부동산",3654,3642,3641,3823
"장기금융자산",8562,9029,10835,10647
"관계기업등지분관련투자자산",24586,24749,23904,23098
"장기매출채권및기타비유동채권",2991,2727,2866,2835
"이연법인세자산",9070,9605,10847,10822
"장기당기법인세자산",0,0,0,0
"기타비유동자산",8368,3870,5983,8393
"기타금융업자산",0,0,0,0
"부채",389612,390909,366669,347623
"유동부채",126234,120280,93233,88883
"단기사채",0,39430,0,0
"단기차입금",41000,3408,34703,26850
"유동성장기부채",28412,24137,25577,34084
"유동금융부채",4049,3472,2966,2764
"매입채무및기타유동채무",45294,44032,23633,20208
"유동종업원급여충당부채",947,1101,1258,834
"기타단기충당부채",489,123,1357,261
"당기법인세부채",824,1577,1042,1173
"계약부채",1728,1770,1361,1804
"반품(환불)부채",0,0,0,0
"배출부채",186,210,234,137
"기타유동부채",3304,1013,1100,763
"매각예정으로분류된처분자산집단에포함된부채",0,0,0,0
"비유동부채",263380,270629,273435,258738
"사채",183528,191219,192228,178674
"장기차입금",19803,16936,17742,18427
"비유동금융부채",22704,24749,24042,22899
"장기매입채무및기타비유동채무",421,393,396,391
"비유동종업원급여충당부채",1117,1351,1471,1682
"기타장기충당부채",2076,1924,2114,2089
"이연법인세부채",20406,20570,21463,20495
"장기당기법인세부채",0,0,0,0
"기타비유동부채",4738,5650,5866,5904
"기타금융업부채",0,0,0,0
"자본",140009,144922,140892,138375
"지배기업주주지분",126421,131174,125768,123642
"자본금",8643,8643,8643,8643
"신종자본증권",0,0,0,0
"자본잉여금",35209,28171,35100,35200
"기타자본",-6056,770,-6678,-6676
"기타포괄손익누계액",585,-246,-309,-552
"이익잉여금(결손금)",95427,101406,98000,95843
"비지배주주지분",6201,6179,6138,5920
"영업활동으로인한현금흐름",-3655,15425,8063,10561
"당기순손익",-2258,6924,-3381,-2065
"법인세비용차감전계속사업이익",0,0,0,0
"현금유출이없는비용등가산",13109,11573,9530,8909
"퇴직급여",130,128,110,113
"종업원급여",26,4,3,3
"주식보상비",0,0,0,0
"감가상각비",5503,5274,4759,5079
"무형자산상각비",29,26,21,23
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",0,0,0,0
"배출부채전입액",0,0,0,0
"기타의대손상각비",7,0,0,0
"배당금지급",0,0,0,0
"금융부채관련손실",0,0,0,0
"사채상환손실",0,0,0,0
"투자자산평가손실",-4,13,-6,-7
"자산재평가손실",0,0,0,0
"지분법관련손실",117,87,10,21
"종속기업관련손실",0,0,0,0
"관계기업관련손익",0,0,0,101
"(현금유입이없는수익등차감)",151,1139,1497,3168
"금융부채관련이익",0,0,0,0
"사채상환이익",0,0,0,0
"퇴직급여충당부채환입액",0,0,0,0
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,0
"배출부채환입액",0,0,0,0
"주식보상비환입",0,0,0,0
"투자자산평가이익",0,6,-5,-1
"자산재평가이익",0,0,0,0
"지분법관련이익",714,156,52,375
"종속회사관련이익",2,0,0,0
"법인세수익",0,0,0,970
"영업활동으로인한자산부채변동(운전자본변동)",-12603,733,4875,9488
"자산의감소(증가)",-30243,4391,24271,12596
"부채의증가(감소)",17204,-3944,-19145,-3057
"정부보조금등의변동",157,69,175,90
"기타운전자본의변동",278,217,-425,-139
"*영업에서창출된현금흐름",-1901,18092,9532,13165
"기타영업활동으로인한현금흐름",-1753,-2666,-1469,-2602
"이자수입",-606,317,-8,160
"이자지급(-)",-1166,-2947,-1484,-2483
"배당금수입",112,216,311,204
"배당금지급(-)",0,0,0,0
"법인세환입",-4,0,60,-43
"법인세납부(-)",-91,-253,-346,-443
"중단영업관련현금흐름",0,0,0,0
"투자활동으로인한현금흐름",-5555,-7498,-3275,832
"투자활동으로인한현금유입액",-1284,9833,1724,9247
"유동금융자산의감소",-2265,7531,3084,3908
"장기금융상품의감소",5,1889,-1888,0
"매도가능금융자산의감소",0,0,0,10
"만기보유금융자산의감소",50,0,0,0
"장기대여금의감소",0,5,460,-1
"파생상품의변동",0,0,8,4
"기타비유동금융자산의감소",502,79,-59,2785
