"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",18344,24873,23679,8550,3460,2895
"매출원가",16259,23741,22233,7052,3617,2785
"매출총이익",2086,1132,1446,1498,-157,110
"판매비와관리비",888,987,1024,267,266,240
"인건비",393,434,474,116,120,119
"유무형자산상각비",64,72,78,26,27,12
"연구개발비",90,96,92,43,30,25
"광고선전비",37,34,33,6,7,5
"판매비",16,18,16,NA,NA,NA
"관리비",235,266,272,58,61,54
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",52,67,58,18,21,25
"영업이익",1198,145,422,1230,-423,-130
"영업이익(발표기준)",1198,145,422,1230,-423,-130
"금융수익",31,44,63,6,11,7
"이자수익",31,44,63,6,11,6
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,1
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",449,576,609,149,141,140
"이자비용",449,576,609,149,141,140
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",0,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",151,76,220,36,13,18
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",74,1,2,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",0,2,2,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,1,2,NA,NA,NA
"대손충당금환입",NA,NA,2,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",101,2605,393,82,47,24
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",41,28,60,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,2420,115,NA,NA,NA
"기타대손상각비",4,4,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",5,65,43,-4,6,3
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",836,-2851,-253,1037,-581,-266
"법인세비용",137,-585,3,161,-46,-40
"계속영업이익",699,-2265,-256,876,-535,-226
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",699,-2265,-256,876,-535,-226
"지배주주순이익",699,-2265,-256,876,-535,-226
"비지배주주순이익",NA,NA,NA,NA,NA,NA
"자산",57216,56580,58926,59143,57249,58910
"유동자산",6179,6420,5905,6167,3117,4571
"재고자산",563,331,348,396,276,625
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",160,446,70,177,82,1101
"매출채권및기타유동채권",4981,5369,5186,4920,2391,2352
"당기법인세자산",NA,26,31,0,0,1
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
