"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",122794,117257,123820,32866,32726,33410
"매출원가",NA,NA,NA,7596,6837,7091
"매출총이익",122794,117257,123820,25270,25890,26319
"판매비와관리비",114531,109849,116957,23073,23493,23807
"인건비",8816,9208,9777,2859,3192,3069
"유무형자산상각비",16890,16630,20575,5925,5889,5847
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",4330,2711,2915,NA,NA,NA
"판매비",18903,17669,18713,NA,NA,NA
"관리비",20550,21798,18736,NA,NA,NA
"기타원가성비용",37495,37759,41551,NA,NA,NA
"기타",7547,4074,4690,14288,14411,14891
"영업이익",8263,7407,6862,2198,2397,2512
"영업이익(발표기준)",8263,7407,6862,2198,2397,2512
"금융수익",264,350,417,177,97,149
"이자수익",261,343,413,147,103,NA
"배당금수익",3,5,3,0,0,NA
"외환이익",0,2,1,27,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",0,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,2,-6,149
"금융원가",1394,1275,1324,382,328,392
"이자비용",1169,1015,1112,363,317,NA
"외환손실",0,0,0,-50,NA,NA
"대손상각비",NA,NA,NA,176,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",148,224,192,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,11,NA
"금융자산평가손실",NA,37,20,NA,6,NA
"금융자산손상차손",76,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,-106,-6,392
"기타수익",678,540,599,152,157,186
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",33,22,20,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",1134,443,828,201,270,202
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",641,280,285,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",17,-1,336,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-9,2,12,-8,3,8
"지분법손익",-9,2,12,-8,3,8
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",6668,6581,5739,1935,2057,2261
"법인세비용",1197,1667,1330,444,504,531
"계속영업이익",5471,4914,4409,1490,1553,1729
