"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",5283,5899,6174,1739,1849,1839
"매출원가",4279,5012,5164,1400,1506,1520
"매출총이익",1005,887,1010,338,344,319
"판매비와관리비",1024,941,873,267,202,229
"인건비",395,408,415,120,110,113
"유무형자산상각비",27,25,35,9,9,9
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",23,30,38,9,7,7
"판매비",351,227,158,70,23,46
"관리비",126,113,129,37,33,29
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",102,137,98,22,21,25
"영업이익",-19,-54,137,71,141,91
"영업이익(발표기준)",-19,-54,137,71,141,91
"금융수익",82,84,139,78,6,1
"이자수익",9,9,7,3,2,2
"배당금수익",1,1,1,NA,1,NA
"외환이익",71,72,78,76,-8,1
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,0,NA,0,0
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,0,0,9,0
"기타금융수익",1,3,52,NA,2,-2
"금융원가",280,174,187,86,45,51
"이자비용",99,110,116,31,31,29
"외환손실",137,49,61,53,4,18
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",0,NA,NA,NA,0,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,4,0,NA,4,0
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,8,2,3,5
"기타금융원가",44,10,2,NA,4,-1
"기타수익",54,57,37,9,2,14
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",11,12,1,0,0,4
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,3,NA,NA,NA,NA
"임대료수익",0,0,0,0,0,0
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",50,49,95,5,4,4
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",5,2,0,0,0,3
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",32,28,45,0,1,0
"기타대손상각비",2,0,36,2,-1,0
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-26,-2,-4,NA,-2,NA
"지분법손익",NA,NA,NA,NA,-2,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-239,-138,27,67,98,51
"법인세비용",22,90,-26,15,6,1
"계속영업이익",-262,-228,52,53,92,50
"중단영업이익",36,NA,NA,NA,NA,NA
"당기순이익",-226,-228,52,53,92,50
"지배주주순이익",-223,-75,45,32,63,39
"비지배주주순이익",-3,-153,7,21,29,10
"자산",5366,5815,6286,6811,6674,6812
"유동자산",3265,3616,3943,4502,4369,4501
"재고자산",1453,1701,1953,1994,1887,1835
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",47,55,50,92,88,76
"매출채권및기타유동채권",1462,1301,1179,1648,1537,1409
"당기법인세자산",4,2,1,1,0,1
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,270,171,174,181,159
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",70,55,82,117,113,114
"현금및현금성자산",224,222,507,476,562,908
"매각예정비유동자산및처분자산집단",6,10,NA,NA,NA,NA
"비유동자산",2102,2200,2343,2309,2305,2312
"유형자산",1748,1960,2008,1997,1990,1975
"무형자산",85,38,114,115,115,125
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",16,15,18,19,19,18
"장기금융자산",143,156,153,128,146,156
"관계기업등지분관련투자자산",5,5,NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA,NA,NA
"이연법인세자산",102,25,51,51,35,37
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",2,1,NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",4279,4773,4815,5286,5061,5153
"유동부채",2649,3235,3941,4480,4105,4136
"단기사채",NA,NA,NA,188,598,NA
"단기차입금",958,926,1278,1283,1289,1666
"유동성장기부채",414,610,651,756,50,327
"유동금융부채",45,52,553,568,572,633
"매입채무및기타유동채무",1078,1250,1178,1368,1286,1220
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",100,14,73,77,76,80
"당기법인세부채",NA,1,6,18,4,4
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,336,175,179,190,160
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",54,46,26,42,39,46
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",1629,1537,874,806,955,1017
"사채",160,249,100,100,228,329
"장기차입금",529,184,141,51,89,79
"비유동금융부채",464,489,20,17,15,15
"장기매입채무및기타비유동채무",NA,2,4,4,4,4
