"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",9144,9108,8351,1695,1561,1723
"매출원가",8248,8458,7491,1485,1363,1489
"매출총이익",896,650,860,210,198,235
"판매비와관리비",481,507,519,129,105,134
"인건비",141,137,141,37,36,37
"유무형자산상각비",8,8,19,5,5,5
"연구개발비",40,40,38,7,8,8
"광고선전비",21,14,20,5,3,3
"판매비",143,170,167,49,21,49
"관리비",118,125,125,25,27,31
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",11,12,11,1,6,1
"영업이익",415,144,341,82,93,100
"영업이익(발표기준)",415,144,341,82,93,100
"금융수익",98,63,65,31,11,14
"이자수익",4,5,12,4,4,5
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",92,48,41,17,6,9
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",2,10,12,9,2,0
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",132,147,112,38,24,14
"이자비용",59,68,63,12,13,10
"외환손실",62,77,44,26,4,-2
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",11,3,6,0,7,5
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",46,50,45,9,9,7
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,11,0,NA,NA,NA
"자산처분(폐기)이익",1,0,2,0,0,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",12,12,11,3,3,3
"로열티수익",16,12,10,2,0,0
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",13,8,60,16,9,4
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
