"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",9121,9403,9167,2285,2106,2255
"매출원가",8273,8847,8681,2139,1957,2093
"매출총이익",848,556,486,146,149,162
"판매비와관리비",604,379,386,112,115,108
"인건비",213,190,190,58,48,59
"유무형자산상각비",13,11,21,5,5,5
"연구개발비",6,6,12,2,1,2
"광고선전비",3,2,3,0,0,1
"판매비",264,66,64,20,36,16
"관리비",100,97,93,25,24,23
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",5,5,5,1,1,1
"영업이익",244,178,100,34,34,55
"영업이익(발표기준)",244,178,100,34,34,55
"금융수익",64,42,50,18,8,8
"이자수익",0,0,1,0,0,0
"배당금수익",0,0,0,0,NA,NA
"외환이익",64,41,49,18,8,7
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,0,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",75,77,103,33,17,13
"이자비용",27,29,42,10,8,6
"외환손실",47,48,62,23,9,7
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",7,4,4,2,1,1
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,0,0,1,0,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",18,5,6,4,6,0
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",9,1,0,0,1,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,NA,0,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",223,142,45,18,21,50
"법인세비용",48,34,19,3,16,7
"계속영업이익",175,108,26,15,5,43
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",175,108,26,15,5,43
"지배주주순이익",180,113,27,12,4,41
"비지배주주순이익",-5,-5,-1,3,1,2
"자산",4275,4542,5034,5223,4835,5056
"유동자산",2450,2519,3078,3256,2893,3163
"재고자산",1017,993,1356,1360,1152,1191
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",NA,NA,NA,NA,NA,NA
"매출채권및기타유동채권",1303,1489,1648,1543,1403,1491
"당기법인세자산",NA,NA,1,1,2,7
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,0,0,0,6,NA
"기타유동자산",4,4,9,2,3,2
"현금및현금성자산",126,33,64,350,327,472
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",1825,2023,1957,1968,1942,1893
"유형자산",1486,1707,1664,1679,1653,1607
"무형자산",52,59,45,39,34,33
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",11,11,11,11,4,4
"관계기업등지분관련투자자산",NA,NA,NA,NA,NA,NA
"장기매출채권및기타비유동채권",88,78,76,76,97,95
"이연법인세자산",188,168,162,162,154,154
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",2134,2355,2823,3015,2619,2800
"유동부채",1732,1964,2519,2705,2321,2495
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",718,954,1399,1573,1460,1204
"유동성장기부채",NA,NA,NA,NA,NA,NA
"유동금융부채",NA,NA,9,7,9,9
"매입채무및기타유동채무",978,958,1050,1082,786,1205
"유동종업원급여충당부채",NA,33,39,24,34,47
"기타단기충당부채",33,NA,NA,NA,12,11
"당기법인세부채",3,6,5,3,6,9
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,3,6,9,9,3
"기타유동부채",0,10,11,9,5,7
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",402,391,305,310,298,305
"사채",NA,NA,NA,NA,NA,NA
"장기차입금",186,150,NA,NA,NA,NA
"비유동금융부채",NA,NA,21,22,20,18
"장기매입채무및기타비유동채무",3,4,5,5,5,4
"비유동종업원급여충당부채",206,237,278,279,272,282
"기타장기충당부채",7,NA,NA,4,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",2141,2187,2211,2208,2216,2256
"지배기업주주지분",2139,2191,2175,2168,2174,2212
"자본금",300,300,300,300,300,300
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",530,530,552,537,537,537
"기타자본",NA,NA,NA,NA,NA,NA
"기타포괄손익누계액",3,3,-14,6,7,5
"이익잉여금(결손금)",1306,1358,1337,1325,1329,1370
"비지배주주지분",1,-4,35,40,42,43
"영업활동으로인한현금흐름",270,143,-115,165,137,416
"당기순손익",175,108,26,15,5,43
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",297,309,336,95,119,107
"퇴직급여",28,27,33,10,9,10
"종업원급여",3,1,2,0,0,0
"주식보상비",NA,NA,NA,NA,NA,NA
"감가상각비",159,171,200,49,51,50
"무형자산상각비",9,6,5,1,1,1
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA,NA,NA
"(현금유입이없는수익등차감)",16,8,7,10,-3,10
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-146,-228,-421,81,21,291
"자산의감소(증가)",-175,-160,-435,111,299,-117
"부채의증가(감소)",29,-68,14,-30,-278,408
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",310,182,-66,181,150,432
"기타영업활동으로인한현금흐름",-41,-39,-49,-15,-13,-16
"이자수입",0,0,1,0,1,0
"이자지급(-)",-26,-34,-41,-9,-8,-7
"배당금수입",0,0,0,0,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA,NA,NA
"법인세납부(-)",-15,-5,-9,-6,-5,-9
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-284,-386,-103,-49,-26,-13
"투자활동으로인한현금유입액",1,11,4,6,14,0
"유동금융자산의감소",NA,NA,NA,NA,NA,NA
"장기금융상품의감소",NA,NA,NA,NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA,8,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA,NA,NA
"유형자산의감소",0,0,0,0,0,NA
"무형자산의감소",NA,NA,NA,6,4,NA
"생물자산의감소",NA,NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",1,11,3,NA,2,0
"(투자활동으로인한현금유출액)",285,397,107,55,40,13
"유동금융자산의증가",NA,NA,NA,NA,NA,NA
"장기금융상품의증가",NA,NA,NA,NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA,NA,NA,NA
"만기보유금융자산의증가",7,NA,NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA,NA,NA,NA
"유형자산의증가",264,388,65,51,38,13
"무형자산의증가",7,6,6,NA,1,0
"생물자산의증가",NA,NA,NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유출액",7,3,36,4,1,0
"기타투자활동으로인한현금흐름",NA,NA,NA,NA,NA,NA
"재무활동으로인한현금흐름",2,149,249,162,-136,-255
"재무활동으로인한현금유입액",3338,3652,4553,992,557,90
"사채의증가",NA,NA,NA,NA,NA,NA
"차입금의증가",3338,3652,4553,992,557,90
"미지급금의증가",NA,NA,NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA,NA,NA
"유상증자",NA,NA,NA,NA,NA,NA
"자기주식의처분",NA,NA,NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA,NA,NA,NA
"(재무활동으로인한현금유출액)",3275,3458,4274,830,669,345
"사채의감소",NA,NA,NA,NA,NA,NA
"차입금의감소",3275,3458,4265,827,667,342
"미지급금의감소",NA,NA,NA,NA,NA,NA
"유동성장기부채의감소",NA,NA,NA,NA,NA,NA
"기타금융부채의감소",NA,NA,9,2,2,3
"기타부채의감소",NA,NA,NA,NA,NA,NA
"유상감자",NA,NA,NA,NA,NA,NA
"자기주식의취득",NA,NA,NA,NA,NA,NA
"자본구성항목의감소",NA,NA,NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA,NA,NA,NA
"기타재무활동으로인한현금흐름",-60,-45,-30,NA,-24,NA
