"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1004,1029,1111,307,291,265
"매출원가",1013,968,997,278,241,231
"매출총이익",-9,62,114,29,50,34
"판매비와관리비",129,125,123,26,38,32
"인건비",24,21,23,5,NA,NA
"유무형자산상각비",2,1,1,0,NA,NA
"연구개발비",27,27,23,1,NA,NA
"광고선전비",1,1,1,0,NA,NA
"판매비",58,58,53,13,NA,NA
"관리비",17,16,21,5,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",0,NA,0,0,38,32
"영업이익",-138,-63,-9,4,12,2
"영업이익(발표기준)",-138,-63,-9,4,12,2
"금융수익",0,1,1,0,0,0
"이자수익",0,1,1,0,0,0
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",12,10,8,1,2,1
"이자비용",12,10,8,1,2,1
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",12,5,9,8,4,7
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",NA,0,NA,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",154,8,10,6,9,3
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",NA,NA,0,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",127,2,2,1,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-7,-3,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-298,-77,-17,5,6,5
"법인세비용",20,1,1,0,-3,-1
"계속영업이익",-318,-78,-19,4,9,6
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",-318,-78,-19,4,9,6
"지배주주순이익",-215,-69,-20,1,4,3
"비지배주주순이익",-103,-9,1,3,5,3
"자산",1127,1052,1070,1048,1064,1066
"유동자산",476,447,454,446,453,461
"재고자산",96,117,151,125,145,152
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",8,3,6,6,6,6
"매출채권및기타유동채권",269,261,276,291,283,281
"당기법인세자산",NA,NA,0,NA,0,0
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",1,23,10,7,9,6
"현금및현금성자산",92,32,3,8,10,17
"매각예정비유동자산및처분자산집단",10,10,9,9,NA,NA
"비유동자산",651,605,616,603,611,605
"유형자산",625,578,589,576,581,575
"무형자산",1,0,0,0,0,0
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",1,1,1,2,2,2
"관계기업등지분관련투자자산",NA,NA,NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA,NA,NA
"이연법인세자산",22,23,22,22,25,26
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",2,3,4,3,3,3
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",582,589,627,599,605,603
"유동부채",512,482,525,495,498,495
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",312,329,343,344,347,325
"유동성장기부채",14,12,8,6,4,3
"유동금융부채",NA,NA,NA,NA,2,2
"매입채무및기타유동채무",184,139,149,131,131,147
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA,NA,NA
"당기법인세부채",NA,NA,NA,NA,NA,NA
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",3,2,25,14,14,17
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",70,107,102,104,107,108
"사채",NA,NA,NA,NA,NA,NA
"장기차입금",24,11,4,3,2,2
"비유동금융부채",NA,NA,NA,NA,3,2
"장기매입채무및기타비유동채무",2,52,52,52,51,51
"비유동종업원급여충당부채",44,44,46,49,51,53
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",545,463,443,450,459,463
"지배기업주주지분",531,459,437,440,444,446
"자본금",170,170,170,170,170,170
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",477,361,288,267,267,267
"기타자본",0,0,0,0,0,0
"기타포괄손익누계액",NA,1,1,3,3,1
"이익잉여금(결손금)",-116,-73,-22,1,5,8
"비지배주주지분",14,5,6,9,14,17
"영업활동으로인한현금흐름",-57,-38,54,12,13,44
"당기순손익",-318,-78,-19,4,9,6
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",271,103,96,26,24,20
"퇴직급여",9,16,12,2,3,3
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA,NA,NA
"감가상각비",112,75,73,18,17,16
"무형자산상각비",1,0,0,0,0,0
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA,NA,NA
