"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",888,1055,1174,337,396,396
"매출원가",640,702,793,227,262,261
"매출총이익",247,354,381,110,134,135
"판매비와관리비",134,134,147,40,39,37
"인건비",68,72,81,24,24,21
"유무형자산상각비",17,9,10,3,3,3
"연구개발비",17,19,22,6,5,6
"광고선전비",0,1,0,0,0,0
"판매비",1,1,2,0,0,0
"관리비",19,20,18,3,3,3
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",11,12,14,4,4,5
"영업이익",114,220,234,69,95,98
"영업이익(발표기준)",114,220,234,69,95,98
"금융수익",23,2,5,14,1,1
"이자수익",1,1,2,1,1,1
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",22,0,3,13,0,1
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",0,0,0,0,0,0
"금융원가",22,22,22,4,9,10
"이자비용",20,17,18,4,3,3
"외환손실",3,5,5,0,6,7
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",0,0,0,NA,0,0
"기타수익",19,18,29,14,7,2
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,0,0,0,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",1,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",50,9,11,2,9,5
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,0,0,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",17,NA,NA,NA,NA,NA
"기타대손상각비",NA,NA,1,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",84,209,234,90,84,86
"법인세비용",14,34,40,20,-3,21
"계속영업이익",69,175,194,71,87,65
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",69,175,194,71,87,65
"지배주주순이익",69,176,195,71,87,65
"비지배주주순이익",0,0,-1,0,0,0
"자산",1098,1318,1497,1611,1719,1773
"유동자산",523,708,833,941,1034,1098
"재고자산",243,281,267,285,307,344
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",35,11,9,9,9,1
"매출채권및기타유동채권",134,241,217,241,250,266
"당기법인세자산",1,NA,NA,NA,0,0
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",10,15,12,13,16,13
"현금및현금성자산",100,161,327,393,452,474
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",576,610,665,670,685,675
"유형자산",441,483,544,551,547,536
"무형자산",88,83,78,77,76,75
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",18,17,17,10,18,18
"관계기업등지분관련투자자산",NA,NA,NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA,NA,NA
"이연법인세자산",29,27,25,25,43,46
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,8,NA,NA
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",566,608,602,633,663,659
"유동부채",507,465,402,425,437,431
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",352,301,278,270,269,269
