"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",17613,14775,14527,3522,3489,4123
"매출원가",16171,13362,13147,2960,3082,3737
"매출총이익",1442,1413,1380,562,408,386
"판매비와관리비",1400,1172,1199,294,329,304
"인건비",531,551,535,140,147,150
"유무형자산상각비",23,26,40,10,10,10
"연구개발비",374,295,344,80,107,78
"광고선전비",62,42,53,11,9,9
"판매비",29,36,28,8,5,6
"관리비",376,218,195,44,32,38
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",4,4,4,1,18,13
"영업이익",43,241,181,268,78,82
"영업이익(발표기준)",43,241,181,268,78,82
"금융수익",9,39,117,32,157,133
"이자수익",9,22,38,7,7,NA
"배당금수익",0,NA,0,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,0,2,0,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,16,77,25,149,NA
"기타금융수익",NA,NA,NA,NA,NA,133
"금융원가",78,182,189,45,90,43
"이자비용",78,150,174,38,46,NA
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,43,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,32,15,7,1,NA
"기타금융원가",NA,NA,NA,NA,NA,43
"기타수익",60,91,74,18,8,10
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",1,0,2,0,0,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",2,1,1,0,0,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",296,82,47,16,16,38
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",5,3,0,0,0,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",68,27,NA,NA,NA,24
"기타대손상각비",NA,NA,1,NA,4,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",11,6,2,-2,2,2
"지분법손익",11,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-251,112,138,255,139,146
"법인세비용",-165,68,106,28,32,14
"계속영업이익",-86,45,32,227,107,132
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",-86,45,32,227,107,132
"지배주주순이익",-86,45,32,227,107,132
"비지배주주순이익",NA,NA,NA,NA,NA,NA
"자산",20068,23221,23175,25504,27750,26505
"유동자산",11672,14198,13809,16097,18305,16993
"재고자산",956,1053,1305,1441,1605,1969
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",0,14,869,942,1521,460
"매출채권및기타유동채권",6573,3470,1322,1201,1054,2012
"당기법인세자산",7,NA,0,0,0,0
"계약자산",NA,3871,4374,4996,5602,5078
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",3231,5254,5653,5975,7918,7267
"현금및현금성자산",893,533,287,1542,606,207
"매각예정비유동자산및처분자산집단",12,3,0,NA,NA,NA
