"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",963761,968126,1057464,253194,218590,275758
"매출원가",787982,816705,880914,210541,181472,224505
"매출총이익",175779,151421,176550,42653,37118,51253
"판매비와관리비",130032,127200,140495,34015,31215,54391
"인건비",31234,32085,33252,8135,8191,8270
"유무형자산상각비",NA,NA,NA,NA,NA,NA
"연구개발비",10393,11256,12897,2891,3123,3180
"광고선전비",24604,23085,25513,6173,4073,5074
"판매비",35295,33330,39947,9987,8863,30959
"관리비",12752,27443,28885,3419,6965,3377
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",15755,NA,NA,3410,NA,3532
"영업이익",45747,24222,36055,8638,5903,-3138
"영업이익(발표기준)",45747,24222,36055,8638,5903,-3138
"금융수익",9729,8235,8271,2497,3019,2399
"이자수익",4407,5151,5126,1095,886,1221
"배당금수익",297,291,325,314,1,1
"외환이익",3548,1911,1890,434,1483,1080
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",975,692,857,645,638,82
"기타금융수익",503,190,74,9,11,16
"금융원가",11204,6009,4752,3262,3371,2028
"이자비용",3330,3071,3170,824,783,839
"외환손실",3259,2808,1324,2319,1990,1127
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",3734,NA,NA,NA,NA,NA
"파생상품손실",297,130,258,111,599,61
"기타금융원가",582,NA,NA,8,NA,NA
"기타수익",11537,9673,11210,4498,4771,3223
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",238,195,307,56,104,82
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",831,780,873,248,239,222
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",1295,1199,1082,53,165,117
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",13675,14870,14574,5987,3848,4191
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",1866,1636,1595,139,182,153
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,130,NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",2251,4045,5428,858,-511,111
"지분법손익",NA,5995,5707,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,-15,143,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,-1935,-422,NA,NA,NA
"세전계속사업이익",44386,25296,41638,7243,5963,-3623
"법인세비용",-1079,8846,9781,1716,2190,-1735
"계속영업이익",45464,16450,31856,5527,3773,-1888
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",45464,16450,31856,5527,3773,-1888
"지배주주순이익",40328,15081,29800,4633,2274,-3361
"비지배주주순이익",5136,1369,2056,894,1499,1473
"자산",1781995,1806558,1945122,1988508,2018045,2070962
"유동자산",484397,471435,459047,461631,488339,505307
"재고자산",102799,107149,116638,119391,122185,116322
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",206326,176920,167425,152393,171555,178488
"매출채권및기타유동채권",72031,72061,72451,68898,69090,69818
"당기법인세자산",913,973,1120,1205,1519,1357
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",13822,14524,14477,15357,15153,16195
"현금및현금성자산",88215,91136,86820,103738,108838,123070
"매각예정비유동자산및처분자산집단",291,8672,115,649,NA,58
"비유동자산",785917,790106,863489,895092,883064,891985
"유형자산",298271,305456,328315,335562,335502,336691
