"","x","X2020.03","X2020.06","X2020.09"
"1",NA,NA,NA,88
"2",NA,NA,NA,69
"3",NA,NA,NA,19
"4",NA,NA,NA,13
"5",NA,NA,NA,5
"6",NA,NA,NA,3
"7",NA,NA,NA,NA
"8",NA,NA,NA,0
"9",NA,NA,NA,0
"10",NA,NA,NA,5
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,NA,NA,5
"14",NA,0,0,5
"15",NA,NA,NA,0
"16",NA,NA,NA,0
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",NA,NA,NA,0
"28",NA,NA,NA,0
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",NA,NA,NA,0
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,NA,NA,0
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,NA,NA,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,NA,NA,5
"64",NA,NA,NA,1
"65",NA,NA,NA,4
"66",NA,NA,NA,NA
"67",NA,NA,NA,4
"68",NA,NA,NA,4
"69",NA,NA,NA,NA
"70",NA,251,342,354
"71",NA,142,226,245
"72",NA,NA,NA,NA
"73",NA,NA,NA,NA
"74",NA,1,1,4
"75",NA,39,32,34
"76",NA,NA,NA,NA
"77",NA,10,26,31
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,32,32,40
"81",NA,59,135,136
"82",NA,NA,NA,NA
"83",NA,109,116,109
"84",NA,47,46,43
"85",NA,27,26,26
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",NA,20,20,18
"89",NA,4,4,4
"90",NA,NA,NA,NA
"91",NA,10,15,15
"92",NA,NA,NA,NA
"93",NA,1,4,4
"94",NA,NA,NA,NA
"95",NA,117,116,144
"96",NA,72,75,104
"97",NA,NA,NA,NA
"98",NA,NA,NA,NA
"99",NA,NA,NA,NA
"100",NA,9,10,10
"101",NA,34,41,64
"102",NA,NA,NA,NA
"103",NA,9,9,10
"104",NA,8,7,8
"105",NA,12,8,13
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",NA,1,0,0
"109",NA,NA,NA,NA
"110",NA,46,41,39
"111",NA,NA,NA,NA
"112",NA,NA,NA,NA
"113",NA,31,28,26
"114",NA,1,1,1
"115",NA,3,2,2
"116",NA,10,10,11
"117",NA,NA,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",NA,134,226,210
"122",NA,134,226,210
"123",NA,38,45,45
"124",NA,NA,NA,NA
"125",NA,2,88,88
"126",NA,-1,-1,-1
"127",NA,0,0,0
"128",NA,95,93,78
"129",NA,NA,NA,NA
"130",NA,54,NA,4
"131",NA,39,NA,4
"132",NA,NA,NA,NA
"133",NA,37,NA,15
"134",NA,1,NA,0
"135",NA,NA,NA,NA
"136",NA,1,NA,NA
"137",NA,6,NA,3
"138",NA,3,NA,1
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,5,NA,0
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,0,NA,NA
"162",NA,NA,NA,NA
"163",NA,NA,NA,NA
"164",NA,-13,NA,-15
"165",NA,23,NA,-15
"166",NA,-36,NA,0
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",NA,59,NA,4
"170",NA,-5,NA,0
"171",NA,0,NA,0
"172",NA,-1,NA,0
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",NA,-4,NA,0
"177",NA,NA,NA,NA
"178",NA,-5,NA,-1
"179",NA,0,NA,NA
"180",NA,NA,NA,NA
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,NA,NA,NA
"187",NA,NA,NA,NA
"188",NA,NA,NA,NA
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,0,NA,NA
"193",NA,5,NA,1
"194",NA,NA,NA,NA
"195",NA,0,NA,0
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",NA,NA,NA,NA
"201",NA,1,NA,0
"202",NA,4,NA,1
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,0,NA,NA
"206",NA,NA,NA,NA
"207",NA,-14,NA,-2
"208",NA,0,NA,NA
"209",NA,NA,NA,NA
"210",NA,NA,NA,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
