"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",4083,5617,5934,1759,1911,1630
"매출원가",3002,4301,4554,1358,1457,1300
"매출총이익",1081,1316,1380,401,453,330
"판매비와관리비",463,481,450,85,74,91
"인건비",173,226,258,43,40,45
"유무형자산상각비",9,7,30,8,7,9
"연구개발비",5,18,11,4,3,2
"광고선전비",7,19,2,0,0,2
"판매비",8,16,24,3,5,7
"관리비",261,195,124,26,20,26
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",0,1,1,0,0,0
"영업이익",618,835,930,316,379,240
"영업이익(발표기준)",818,948,1012,351,407,358
"금융수익",61,328,134,12,14,16
"이자수익",20,19,13,4,2,2
"배당금수익",4,1,3,0,1,0
"외환이익",14,13,19,7,5,4
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",1,1,2,0,NA,NA
"금융자산평가이익",4,108,11,1,3,6
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",14,165,80,NA,2,4
"기타금융수익",4,20,5,NA,NA,NA
"금융원가",205,164,224,56,45,40
"이자비용",99,94,126,37,41,30
"외환손실",3,19,32,5,6,4
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",1,6,NA,NA,NA,NA
"금융자산평가손실",NA,1,35,8,-5,-1
"금융자산손상차손",4,NA,NA,NA,NA,NA
"파생상품손실",97,44,30,5,4,7
"기타금융원가",NA,NA,1,1,NA,NA
"기타수익",205,125,89,38,30,120
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",3,2,1,NA,0,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,0,0,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",3,10,23,1,2,0
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,0,NA,NA,0,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",1,4,19,0,0,0
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,NA,1,0,NA,NA
"기타대손상각비",0,4,NA,NA,2,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",676,1113,906,310,375,336
"법인세비용",160,211,183,85,66,152
"계속영업이익",517,902,722,225,308,184
"중단영업이익",NA,NA,NA,NA,-3,26
"당기순이익",517,902,722,225,305,210
"지배주주순이익",280,627,436,127,163,110
"비지배주주순이익",236,276,286,97,142,100
"자산",7469,8817,10951,11352,11752,11920
