"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1931,2174,2517,271,313,334
"매출원가",1743,1958,2320,236,264,301
"매출총이익",188,216,197,35,49,33
"판매비와관리비",54,76,108,21,36,46
"인건비",44,45,48,14,NA,NA
"유무형자산상각비",1,1,4,1,NA,NA
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",0,1,0,0,NA,NA
"판매비",-12,2,18,0,16,29
"관리비",20,27,37,6,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",0,0,0,0,19,18
"영업이익",135,140,90,14,13,-13
"영업이익(발표기준)",135,140,90,14,13,-13
"금융수익",7,23,39,9,13,3
"이자수익",7,13,28,9,NA,NA
"배당금수익",0,1,0,NA,NA,NA
"외환이익",0,NA,0,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,1,1,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,10,9,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,13,3
"금융원가",4,4,78,10,-8,5
"이자비용",3,4,24,10,NA,NA
"외환손실",0,NA,NA,NA,NA,NA
"대손상각비",NA,NA,50,0,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,1,NA,NA,NA
"금융자산평가손실",NA,0,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,2,NA,-8,5
"기타수익",3,15,2,0,5,1
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,NA,0,0,NA,NA
"자산평가이익",NA,1,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",1,52,38,3,20,2
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,NA,NA,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
