"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",7852,8272,8753,2246,2237,2442
"매출원가",6374,6743,6888,1729,1704,1838
"매출총이익",1478,1530,1864,517,533,604
"판매비와관리비",759,820,815,203,242,256
"인건비",221,243,263,NA,65,71
"유무형자산상각비",56,50,68,NA,19,28
"연구개발비",92,96,86,23,33,35
"광고선전비",4,4,5,NA,1,1
"판매비",272,285,263,51,88,84
"관리비",114,141,131,NA,35,37
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",-2,0,0,129,0,0
"영업이익",719,710,1049,314,292,348
"영업이익(발표기준)",719,710,1049,314,292,348
"금융수익",7,14,18,5,5,4
"이자수익",7,3,4,5,5,4
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,11,13,NA,NA,NA
"금융원가",130,131,138,31,31,28
"이자비용",130,129,132,31,31,28
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,1,6,NA,NA,NA
"기타수익",230,228,194,45,155,51
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",25,9,5,NA,145,1
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,1,2,NA,0,NA
"임대료수익",10,12,13,NA,2,2
"로열티수익",0,0,1,NA,0,NA
"수수료수익",6,3,3,NA,1,1
"대손충당금환입",NA,1,1,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",247,195,232,NA,23,51
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",30,4,5,NA,3,0
"자산평가손실",NA,NA,1,NA,NA,NA
"자산손상차손",58,17,58,NA,1,12
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,-10,-10,-3,-9,-1
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",580,617,881,331,388,323
"법인세비용",130,138,294,84,99,77
"계속영업이익",450,480,587,247,289,246
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",450,480,587,247,289,246
"지배주주순이익",448,477,585,248,289,246
"비지배주주순이익",2,3,2,-1,0,0
"자산",6672,7605,8407,9070,9526,9456
"유동자산",3028,3636,4106,4828,5205,5140
"재고자산",702,906,876,934,968,1024
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",238,326,368,397,563,550
"매출채권및기타유동채권",1237,1437,1448,1596,1615,1636
"당기법인세자산",5,0,2,1,1,1
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",116,110,128,167,136,147
"현금및현금성자산",730,858,1144,1593,1921,1782
"매각예정비유동자산및처분자산집단",NA,NA,141,141,NA,NA
"비유동자산",3643,3968,4301,4242,4321,4316
