"","x","X2020.03","X2020.06","X2020.09"
"1",NA,129,101,99
"2",NA,117,110,96
"3",NA,12,-9,3
"4",NA,14,15,9
"5",NA,5,3,4
"6",NA,2,2,1
"7",NA,NA,NA,NA
"8",NA,0,0,0
"9",NA,4,4,2
"10",NA,3,5,3
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,-2,-24,-6
"14",NA,-2,-24,-6
"15",NA,11,-3,0
"16",NA,0,0,0
"17",NA,NA,NA,NA
"18",NA,11,-3,0
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,0,NA
"27",NA,8,15,10
"28",NA,4,4,4
"29",NA,4,11,5
"30",NA,0,0,0
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,1,NA
"36",NA,NA,NA,NA
"37",NA,0,0,1
"38",NA,0,3,2
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,0,2,1
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,0,0,0
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,0,3,0
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,0,NA,NA
"55",NA,NA,NA,NA
"56",NA,NA,3,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,1,-43,-14
"64",NA,NA,0,NA
"65",NA,1,-43,-14
"66",NA,NA,NA,NA
"67",NA,1,-43,-14
"68",NA,1,-43,-14
"69",NA,NA,NA,NA
"70",NA,832,786,800
"71",NA,186,180,206
"72",NA,58,57,55
"73",NA,NA,NA,NA
"74",NA,4,4,5
"75",NA,104,94,92
"76",NA,0,NA,0
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,5,6,10
"81",NA,15,19,44
