"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",5657,6087,5729,1380,1286,1409
"매출원가",5007,5079,4823,1176,1117,1222
"매출총이익",650,1007,907,204,169,187
"판매비와관리비",617,650,698,165,164,175
"인건비",260,283,319,68,71,72
"유무형자산상각비",20,17,25,5,5,5
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",1,1,1,0,0,0
"판매비",226,235,245,61,61,67
"관리비",109,113,108,30,26,30
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",1,1,0,0,0,0
"영업이익",33,357,208,39,5,13
"영업이익(발표기준)",33,357,208,39,5,13
"금융수익",5,3,3,0,1,1
"이자수익",0,1,1,0,0,1
"배당금수익",1,1,NA,NA,NA,NA
"외환이익",0,0,1,0,0,0
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",0,NA,NA,0,0,NA
"기타금융수익",3,1,1,NA,NA,NA
"금융원가",68,59,50,10,12,10
"이자비용",64,56,48,10,11,9
"외환손실",1,0,1,0,0,0
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",0,0,0,0,0,NA
"기타금융원가",3,1,1,NA,NA,NA
"기타수익",31,23,141,2,3,7
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",17,14,133,0,1,6
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",8,8,7,1,1,1
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",0,0,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",15,26,28,0,1,3
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",6,1,4,NA,0,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,8,9,NA,NA,NA
"기타대손상각비",NA,NA,1,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",0,NA,NA,NA,NA,NA
"지분법손익",0,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-14,299,275,30,-4,9
"법인세비용",-7,12,58,8,4,-1
"계속영업이익",-7,287,217,22,-8,10
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",-7,287,217,22,-8,10
"지배주주순이익",0,220,186,14,-16,8
"비지배주주순이익",-7,67,31,8,9,1
"자산",6332,6068,5663,5960,6102,5975
"유동자산",1506,1520,1260,1622,1767,1631
"재고자산",304,263,257,245,242,213
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",1,1,1,319,1,2
