"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",474,420,568,NA,NA,86
"매출원가",379,371,479,NA,NA,79
"매출총이익",95,49,89,NA,NA,7
"판매비와관리비",90,86,83,NA,NA,21
"인건비",40,44,44,NA,NA,10
"유무형자산상각비",2,1,3,NA,NA,1
"연구개발비",15,11,12,NA,NA,2
"광고선전비",1,1,1,NA,NA,1
"판매비",2,2,1,NA,NA,0
"관리비",31,28,23,NA,NA,6
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",NA,NA,NA,NA,NA,NA
"영업이익",5,-37,6,NA,NA,-14
"영업이익(발표기준)",5,-37,6,NA,NA,-14
"금융수익",17,34,21,NA,NA,7
"이자수익",9,34,18,NA,NA,6
"배당금수익",NA,0,2,NA,NA,0
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",3,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,1,NA,NA,NA
"기타금융수익",5,NA,NA,NA,NA,NA
"금융원가",35,64,44,NA,NA,6
"이자비용",2,2,2,NA,NA,6
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,8,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,0,NA,NA,NA
"기타금융원가",34,54,41,NA,NA,NA
"기타수익",108,18,1,NA,NA,0
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",100,0,0,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",29,12,9,NA,NA,0
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,0,0,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",1,NA,NA,NA,NA,NA
"기타대손상각비",NA,1,6,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-6,40,26,NA,NA,NA
"지분법손익",-6,40,26,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",59,-20,1,NA,NA,-14
"법인세비용",3,NA,NA,NA,NA,NA
"계속영업이익",56,-20,1,NA,NA,-14
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",56,-20,1,NA,NA,-14
"지배주주순이익",56,NA,1,NA,NA,-14
"비지배주주순이익",NA,NA,NA,NA,NA,NA
"자산",1130,2044,2261,NA,NA,2595
"유동자산",742,1300,1120,NA,NA,1088
"재고자산",136,179,153,NA,NA,259
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",427,181,582,NA,NA,551
"매출채권및기타유동채권",41,201,107,NA,NA,115
"당기법인세자산",3,5,2,NA,NA,3
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",9,16,40,NA,NA,126
"현금및현금성자산",126,718,236,NA,NA,34
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",388,744,1141,NA,NA,1506
"유형자산",214,207,211,NA,NA,206
"무형자산",3,3,3,NA,NA,3
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,395
"장기금융자산",38,237,466,NA,NA,435
"관계기업등지분관련투자자산",130,292,458,NA,NA,465
"장기매출채권및기타비유동채권",3,5,3,NA,NA,3
"이연법인세자산",NA,NA,NA,NA,NA,NA
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,NA,NA,NA,NA,NA
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",88,150,165,NA,NA,719
"유동부채",80,83,105,NA,NA,704
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",20,20,20,NA,NA,328
"유동성장기부채",NA,NA,NA,NA,NA,179
"유동금융부채",NA,NA,3,NA,NA,12
"매입채무및기타유동채무",50,54,42,NA,NA,62
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA,NA,5
"당기법인세부채",3,NA,NA,NA,NA,NA
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",7,9,40,NA,NA,118
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",8,67,60,NA,NA,15
"사채",NA,NA,NA,NA,NA,NA
"장기차입금",NA,60,60,NA,NA,NA
"비유동금융부채",NA,NA,NA,NA,NA,NA
"장기매입채무및기타비유동채무",0,0,0,NA,NA,10
"비유동종업원급여충당부채",8,7,0,NA,NA,5
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",1042,1894,2096,NA,NA,1875
"지배기업주주지분",1042,NA,2096,NA,NA,1875
"자본금",736,1204,1437,NA,NA,1437
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",336,755,771,NA,NA,794
"기타자본",-30,-30,-30,NA,NA,-30
"기타포괄손익누계액",-12,-30,-47,NA,NA,-47
"이익잉여금(결손금)",11,-5,-36,NA,NA,-280
"비지배주주지분",NA,NA,NA,NA,NA,NA
"영업활동으로인한현금흐름",33,-126,147,NA,NA,-111
"당기순손익",56,-20,1,NA,NA,-143
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",60,79,69,NA,NA,150
"퇴직급여",7,8,8,NA,NA,5
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA,NA,NA
"감가상각비",8,8,10,NA,NA,8
"무형자산상각비",0,0,0,NA,NA,0
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,1,6,NA,NA,142
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",6,NA,NA,NA,NA,3
"종속기업관련손실",NA,NA,NA,NA,NA,NA
"관계기업관련손익",34,54,41,NA,NA,6
"(현금유입이없는수익등차감)",92,75,46,NA,NA,27
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,40,26,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",7,-141,106,NA,NA,-96
"자산의감소(증가)",64,-132,99,NA,NA,-193
"부채의증가(감소)",-57,-9,7,NA,NA,97
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",31,-157,130,NA,NA,-116
"기타영업활동으로인한현금흐름",2,30,17,NA,NA,5
"이자수입",8,34,14,NA,NA,16
"이자지급(-)",-2,-2,-2,NA,NA,-11
"배당금수입",NA,0,2,NA,NA,1
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,NA,3,NA,NA,NA
"법인세납부(-)",-3,-2,NA,NA,NA,-1
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
