"",".","X2020.03","X2020.06","X2020.09"
"1",417,41,35,49
"2",365,43,45,54
"3",53,-2,-10,-5
"4",48,46,29,28
"5",21,19,12,13
"6",4,3,4,3
"7",0,1,1,0
"8",0,0,1,1
"9",8,6,3,2
"10",14,16,8,8
"11",NA,NA,NA,NA
"12",0,NA,0,0
"13",5,-48,-38,-32
"14",5,-48,-38,-32
"15",122,4,20,18
"16",1,1,1,3
"17",NA,NA,NA,NA
"18",0,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,0,-1,NA
"24",NA,NA,NA,NA
"25",121,3,19,15
"26",NA,0,NA,NA
"27",232,33,43,82
"28",23,9,6,8
"29",0,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,2,NA
"35",NA,NA,NA,NA
"36",209,24,36,73
"37",0,0,0,0
"38",8,31,5,25
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,9,10
"42",1,NA,1,15
"43",0,0,NA,0
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",33,1,63,20
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",19,NA,18,NA
"54",0,NA,0,19
"55",0,0,0,NA
"56",10,NA,36,NA
"57",2,1,12,NA
"58",NA,NA,0,NA
"59",NA,NA,-1,0
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",-131,-47,-121,-91
"64",NA,0,0,0
"65",-131,-47,-121,-91
"66",NA,NA,NA,NA
"67",-131,-47,-121,-91
"68",-130,-46,-121,-91
"69",0,-1,0,NA
"70",526,620,537,635
"71",315,254,162,323
"72",63,45,35,34
"73",NA,NA,NA,NA
"74",71,16,44,47
"75",101,65,46,36
"76",NA,1,1,1
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",20,32,18,23
"81",61,96,19,182
"82",NA,NA,NA,NA
"83",211,366,375,312
"84",180,151,220,212
"85",12,33,16,15
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",4,141,114,62
"89",NA,0,0,0
"90",14,27,20,18
"91",NA,NA,NA,NA
"92",NA,NA,NA,NA
"93",0,13,4,4
"94",NA,NA,NA,NA
"95",213,343,386,475
"96",212,333,375,463
"97",96,145,167,187
"98",NA,89,89,89
"99",0,0,10,4
"100",96,53,77,143
"101",19,40,32,34
"102",NA,NA,NA,NA
"103",0,0,NA,NA
"104",NA,NA,NA,NA
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",1,6,0,7
"109",NA,NA,NA,NA
"110",1,9,11,11
"111",NA,NA,NA,NA
"112",0,0,0,NA
"113",NA,3,4,4
"114",1,0,0,0
"115",NA,7,7,8
"116",NA,NA,NA,NA
"117",NA,NA,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",313,277,151,160
"122",313,277,151,160
"123",23,29,29,34
"124",NA,NA,NA,NA
"125",751,914,914,1009
"126",-1,-4,-4,-3
"127",-8,-10,-10,-10
"128",-452,-652,-778,-869
"129",0,0,NA,NA
"130",-103,-5,-49,-14
"131",-131,-47,-121,-91
"132",NA,NA,NA,NA
"133",288,53,110,109
"134",NA,0,0,1
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",24,4,5,5
"138",0,0,1,1
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",2,2,11,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,-4,NA
"146",0,0,0,NA
"147",NA,NA,NA,NA
"148",NA,NA,1,0
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",128,34,23,43
"152",NA,NA,NA,NA
"153",5,30,-6,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,0,NA,0
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,0,0,NA
"164",-130,26,-14,12
"165",-125,20,-3,3
"166",-5,6,-11,9
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",-101,-2,-48,-12
"170",-2,-3,-1,-2
"171",0,1,1,0
"172",-3,-4,-2,-2
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",0,NA,0,NA
"177",NA,NA,NA,NA
"178",-49,-70,-38,58
"179",122,33,57,127
"180",19,35,3,113
"181",NA,NA,1,1
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",0,0,0,NA
"185",NA,NA,NA,NA
"186",1,0,19,9
"187",NA,NA,NA,0
"188",0,1,0,1
"189",NA,-2,2,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",101,0,32,2
"193",171,103,95,69
"194",40,46,20,58
"195",NA,0,1,1
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",7,45,0,5
"201",4,2,67,5
"202",5,-1,2,0
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",115,10,4,0
"206",NA,NA,NA,NA
"207",203,17,9,119
"208",430,176,16,127
"209",200,175,15,20
"210",110,1,1,7
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",120,NA,NA,100
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",227,159,7,8
"221",79,158,2,5
"222",147,NA,2,1
"223",NA,NA,NA,NA
"224",NA,0,0,0
"225",NA,1,3,2
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",1,NA,NA,NA
"231",NA,NA,NA,NA
"232",2,1,-1,NA
"233",NA,NA,NA,NA
"234",NA,0,0,0
"235",53,-58,-78,164
"236",8,154,96,19
"237",61,96,19,182
