"","x","X2020.03","X2020.06","X2020.09"
"1",NA,313,299,305
"2",NA,257,243,248
"3",NA,56,56,57
"4",NA,33,32,44
"5",NA,56,NA,19
"6",NA,8,NA,2
"7",NA,NA,NA,NA
"8",NA,1,NA,0
"9",NA,30,NA,16
"10",NA,11,NA,5
"11",NA,NA,NA,NA
"12",NA,-72,32,1
"13",NA,23,24,14
"14",NA,23,24,14
"15",NA,3,3,2
"16",NA,13,NA,NA
"17",NA,1,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,-10,3,2
"27",NA,0,0,0
"28",NA,0,NA,NA
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,0,0,0
"38",NA,2,1,0
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,1,NA,NA
"42",NA,0,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,1,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,0,0,1
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,0,NA,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,28,27,15
"64",NA,6,8,5
"65",NA,22,19,10
"66",NA,NA,NA,NA
"67",NA,22,19,10
"68",NA,22,19,10
"69",NA,NA,NA,NA
"70",NA,2517,2549,2503
"71",NA,1378,1413,1375
"72",NA,272,268,255
"73",NA,NA,NA,NA
"74",NA,444,448,450
"75",NA,384,365,360
"76",NA,0,0,0
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,12,8,8
"81",NA,266,324,302
"82",NA,NA,NA,NA
"83",NA,1139,1135,1128
"84",NA,1003,996,981
"85",NA,7,7,7
"86",NA,NA,NA,NA
"87",NA,27,27,27
"88",NA,49,56,67
"89",NA,NA,NA,NA
"90",NA,1,1,1
"91",NA,26,26,24
"92",NA,NA,NA,NA
"93",NA,25,22,21
"94",NA,NA,NA,NA
"95",NA,144,195,135
"96",NA,133,180,115
"97",NA,NA,NA,NA
"98",NA,NA,NA,5
"99",NA,5,5,NA
"100",NA,3,3,3
"101",NA,101,90,76
"102",NA,NA,NA,NA
"103",NA,NA,4,3
"104",NA,22,18,11
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",NA,2,59,17
"109",NA,NA,NA,NA
"110",NA,11,15,20
"111",NA,NA,NA,NA
"112",NA,NA,NA,NA
"113",NA,4,6,6
"114",NA,1,1,1
"115",NA,7,7,13
"116",NA,NA,NA,NA
"117",NA,NA,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",NA,2372,2353,2369
"122",NA,2372,2353,2369
"123",NA,146,146,146
"124",NA,NA,NA,NA
"125",NA,218,218,218
"126",NA,NA,NA,NA
"127",NA,-6,-1,4
"128",NA,2015,1990,2000
"129",NA,NA,NA,NA
"130",NA,-5,71,29
"131",NA,22,19,10
"132",NA,NA,NA,NA
"133",NA,32,34,40
"134",NA,7,6,6
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",NA,18,17,17
"138",NA,0,0,0
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,4,3,2
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,NA,NA,NA
"164",NA,-55,27,-10
"165",NA,-33,20,4
"166",NA,-22,7,-14
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",NA,-6,76,39
"170",NA,1,-5,-10
"171",NA,1,7,2
"172",NA,0,0,0
"173",NA,NA,0,0
"174",NA,NA,NA,NA
"175",NA,0,NA,NA
"176",NA,NA,-13,-13
"177",NA,NA,NA,NA
"178",NA,-19,-12,-5
"179",NA,5,310,100
"180",NA,4,310,100
"181",NA,0,0,0
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,NA,0,NA
"187",NA,NA,NA,NA
"188",NA,0,0,NA
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,1,NA,0
"193",NA,23,322,105
