"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",4227,4604,5243,1342,1345,1548
"매출원가",2549,2718,3013,799,774,930
"매출총이익",1678,1886,2230,543,571,618
"판매비와관리비",1668,1637,1839,409,474,496
"인건비",368,490,630,163,199,196
"유무형자산상각비",69,70,65,15,13,24
"연구개발비",323,344,379,81,103,82
"광고선전비",233,275,316,59,56,78
"판매비",107,43,60,15,18,28
"관리비",327,305,246,51,52,64
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",242,109,142,26,32,24
"영업이익",10,250,391,134,97,123
"영업이익(발표기준)",10,250,391,134,97,123
"금융수익",32,42,1,1,1,3
"이자수익",14,2,0,0,0,3
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",4,6,1,1,1,0
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",14,NA,NA,NA,NA,NA
"금융자산평가이익",NA,35,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",20,1,3,5,11,13
"이자비용",4,1,1,5,5,11
"외환손실",16,0,0,0,5,2
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,2,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",786,22,90,3,8,4
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",748,1,0,NA,2,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",42,12,27,4,4,5
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",7,0,3,0,0,0
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",22,NA,NA,NA,0,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-2,-35,-27,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",764,266,425,129,92,111
"법인세비용",199,63,102,46,27,34
"계속영업이익",565,203,322,83,64,77
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",565,203,322,83,64,77
"지배주주순이익",567,203,322,83,64,76
"비지배주주순이익",-2,NA,NA,NA,NA,0
"자산",4025,4500,5076,4944,6283,6837
"유동자산",2285,2245,2319,2205,3440,3498
"재고자산",607,758,851,869,983,1017
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",2,2,2,2,502,2
"매출채권및기타유동채권",1433,1307,1322,1232,1160,1253
"당기법인세자산",13,NA,NA,NA,NA,0
"계약자산",NA,0,0,0,0,0
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",66,102,98,81,98,132
"현금및현금성자산",164,76,45,20,697,1094
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",1740,2255,2758,2740,2842,3339
"유형자산",1445,1963,2488,2463,2449,2443
"무형자산",175,174,157,156,147,576
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",12,10,5,5,5,5
"장기금융자산",5,40,40,42,164,216
"관계기업등지분관련투자자산",65,30,NA,NA,NA,NA
"장기매출채권및기타비유동채권",13,13,15,16,16,17
"이연법인세자산",24,24,41,46,49,63
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",1,NA,12,12,12,18
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",1529,1939,2247,2073,2943,3415
"유동부채",1162,1297,1392,1222,1323,1489
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",389,291,158,117,148,100
"유동성장기부채",NA,27,100,100,100,100
"유동금융부채",NA,NA,4,4,4,9
"매입채무및기타유동채무",592,727,832,703,795,915
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",24,NA,9,7,7,7
"당기법인세부채",NA,52,79,90,70,82
"계약부채",NA,77,74,74,68,90
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",157,124,136,127,131,185
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",367,642,855,851,1619,1927
"사채",NA,NA,NA,NA,778,NA
"장기차입금",274,543,721,696,671,1724
"비유동금융부채",NA,NA,5,5,5,9
"장기매입채무및기타비유동채무",NA,NA,NA,NA,NA,0
"비유동종업원급여충당부채",32,51,80,98,115,148
"기타장기충당부채",39,NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",21,16,19,19,20,17
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",2497,2561,2830,2871,3340,3422
"지배기업주주지분",2497,2561,2830,2871,3340,3416
"자본금",221,221,221,221,238,238
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",25,25,25,25,408,407
"기타자본",-103,-153,-153,-152,-148,-146
"기타포괄손익누계액",0,0,0,0,0,-2
"이익잉여금(결손금)",2354,2468,2737,2778,2842,2919
"비지배주주지분",NA,NA,NA,NA,NA,6
"영업활동으로인한현금흐름",-246,389,470,110,207,164
"당기순손익",565,203,322,83,64,77
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",516,326,395,138,128,144
"퇴직급여",51,52,61,18,18,20
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",NA,NA,NA,1,4,2
"감가상각비",139,139,153,57,56,57
"무형자산상각비",23,22,21,5,5,16
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",2,35,27,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA,NA,NA
"(현금유입이없는수익등차감)",807,72,113,10,20,12
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,NA,NA
"종속회사관련이익",13,NA,NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-214,-79,-52,-57,89,-12
"자산의감소(증가)",-95,-87,-145,93,-49,-145
"부채의증가(감소)",-119,8,93,-150,138,133
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",60,379,552,154,263,197
"기타영업활동으로인한현금흐름",-306,10,-82,-45,-55,-34
"이자수입",13,2,0,0,0,2
"이자지급(-)",-4,NA,NA,-5,-4,-10
"배당금수입",NA,NA,NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,9,NA,NA,NA,NA
"법인세납부(-)",-315,NA,-82,-40,-51,-26
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-245,-564,-591,-69,-665,13
"투자활동으로인한현금유입액",426,7,101,0,308,1097
"유동금융자산의감소",2,0,0,0,300,1100
"장기금융상품의감소",NA,NA,NA,NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA,0,NA
"관계기업등지분관련투자자산의감소",NA,NA,85,NA,NA,NA
"유형자산의감소",0,NA,1,NA,NA,0
"무형자산의감소",15,7,15,NA,8,-4
"생물자산의감소",NA,NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",409,0,0,0,0,0
"(투자활동으로인한현금유출액)",671,571,692,69,973,1084
"유동금융자산의증가",NA,NA,NA,NA,800,600
"장기금융상품의증가",NA,NA,NA,NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA,NA,NA,NA
