"","x","X2020.03","X2020.06","X2020.09"
"1",NA,601,315,491
"2",NA,559,313,461
"3",NA,41,2,31
"4",NA,30,29,33
"5",NA,19,17,18
"6",NA,2,2,2
"7",NA,4,3,3
"8",NA,NA,NA,NA
"9",NA,-2,0,4
"10",NA,4,5,3
"11",NA,NA,NA,NA
"12",NA,4,3,4
"13",NA,12,-26,-2
"14",NA,12,-26,-2
"15",NA,1,1,0
"16",NA,0,0,0
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,0
"23",NA,0,0,0
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",NA,1,1,1
"28",NA,1,1,1
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,0,NA,NA
"34",NA,0,NA,0
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",NA,0,0,0
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,0,0,0
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,0,2,0
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,NA,NA,0
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,12,-28,-2
"64",NA,3,-6,-1
"65",NA,9,-22,-2
"66",NA,NA,NA,NA
"67",NA,9,-22,-2
"68",NA,825,836,768
"69",NA,568,555,483
"70",NA,51,70,104
"71",NA,NA,NA,NA
"72",NA,10,29,23
"73",NA,148,86,69
"74",NA,NA,0,0
"75",NA,156,157,125
"76",NA,NA,NA,NA
"77",NA,NA,NA,NA
"78",NA,23,43,71
"79",NA,180,169,91
"80",NA,NA,NA,NA
"81",NA,257,281,285
"82",NA,146,164,160
"83",NA,4,4,3
"84",NA,NA,NA,NA
"85",NA,75,69,73
"86",NA,26,32,36
"87",NA,NA,NA,NA
"88",NA,NA,NA,NA
"89",NA,7,13,14
"90",NA,NA,NA,NA
"91",NA,NA,NA,NA
"92",NA,NA,NA,NA
"93",NA,564,602,535
"94",NA,560,493,427
"95",NA,NA,NA,NA
"96",NA,NA,6,12
"97",NA,100,NA,NA
"98",NA,1,1,1
"99",NA,416,323,311
"100",NA,4,6,10
"101",NA,3,2,3
"102",NA,5,3,NA
"103",NA,30,152,89
