"",".","X2020.03","X2020.06","X2020.09"
"1",3130,752,793,689
"2",2463,603,585,543
"3",667,149,208,145
"4",293,76,85,59
"5",152,36,38,32
"6",27,7,7,7
"7",2,0,0,1
"8",8,2,2,0
"9",35,16,23,9
"10",66,15,12,9
"11",NA,NA,NA,NA
"12",3,0,3,1
"13",374,74,122,86
"14",374,74,122,86
"15",8,4,0,2
"16",2,2,0,0
"17",0,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,2,2
"23",1,2,-2,0
"24",NA,NA,NA,NA
"25",5,NA,NA,NA
"26",NA,NA,NA,NA
"27",22,6,5,7
"28",21,5,5,5
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",0,NA,NA,2
"34",1,1,NA,1
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",33,20,5,18
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",0,NA,NA,1
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",43,4,8,20
"51",NA,NA,NA,NA
"52",1,0,0,3
"53",NA,NA,NA,NA
"54",1,NA,NA,NA
"55",NA,NA,NA,NA
"56",9,NA,NA,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,NA,NA,NA
"60",NA,NA,NA,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",350,87,113,78
"64",52,12,16,8
"65",298,75,98,70
"66",NA,NA,NA,8
"67",298,75,98,78
"68",167,34,68,58
"69",131,40,30,21
"70",3675,3753,3921,3989
"71",1593,1681,1851,1929
"72",403,441,464,495
"73",NA,NA,NA,NA
"74",140,141,191,224
"75",679,741,690,814
"76",0,0,0,0
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",97,115,99,120
"81",275,243,407,275
"82",NA,NA,NA,NA
"83",2082,2072,2070,2060
"84",1507,1498,1491,1485
"85",479,474,478,472
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",23,23,23,23
"89",1,1,1,1
"90",5,5,3,3
"91",68,72,75,77
"92",NA,NA,NA,NA
"93",NA,NA,NA,NA
"94",NA,NA,NA,NA
"95",1205,1241,1303,1293
"96",985,1015,1071,1061
"97",194,197,201,204
"98",146,143,203,204
"99",17,16,16,17
"100",NA,NA,NA,NA
"101",455,486,388,393
"102",NA,NA,NA,NA
"103",13,13,13,13
"104",47,45,38,35
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",113,114,211,194
"109",NA,NA,NA,NA
"110",220,226,233,233
"111",NA,NA,NA,NA
"112",12,9,8,6
"113",5,6,8,7
"114",6,6,7,7
"115",190,198,205,209
"116",NA,NA,NA,NA
"117",7,6,5,4
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",2470,2513,2618,2696
"122",1550,1565,1640,1698
"123",112,112,112,112
"124",NA,NA,NA,NA
"125",529,529,529,529
"126",0,0,0,0
"127",-1,-1,-1,-1
"128",910,926,1001,1059
"129",921,947,977,998
"130",330,33,180,-67
"131",298,75,98,78
"132",NA,NA,NA,NA
"133",281,71,72,66
"134",38,11,11,11
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",126,33,32,33
"138",38,6,7,7
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,1,-1
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",8,4,-2,0
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,NA,NA,NA
"164",-193,-90,37,-197
"165",38,-108,43,-192
"166",-232,18,-6,-5
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",377,52,209,-53
"170",-48,-18,-29,-14
"171",1,2,0,0
"172",-8,-2,-2,-2
"173",0,NA,0,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",-41,-18,-27,-13
"177",NA,NA,NA,NA
"178",-319,-26,-78,-61
"179",7,1,3,3
"180",2,1,0,0
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",0,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,NA,NA,NA
"187",NA,NA,NA,NA
"188",0,NA,NA,0
"189",NA,NA,NA,2
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",4,0,3,1
"193",326,27,81,64
"194",131,2,51,34
"195",NA,NA,NA,NA
"196",0,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",NA,NA,NA,NA
"201",161,22,24,26
"202",24,3,6,4
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",10,0,0,0
"206",NA,NA,NA,NA
"207",79,-40,62,-3
"208",158,0,58,0
"209",NA,NA,NA,NA
"210",146,NA,57,0
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,NA,NA
"216",11,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",2,0,0,0
"220",68,7,3,3
"221",NA,NA,NA,NA
"222",49,2,-2,NA
"223",NA,NA,NA,NA
"224",11,3,3,2
"225",8,2,3,2
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",-11,-33,8,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",0,0,0,0
"235",89,-32,163,-132
"236",186,275,243,407
"237",275,243,407,275
