"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",149,154,375,206,27,38
"매출원가",134,134,260,123,24,27
"매출총이익",15,19,115,83,4,11
"판매비와관리비",30,27,152,77,0,14
"인건비",19,16,68,33,NA,NA
"유무형자산상각비",1,1,8,4,NA,NA
"연구개발비",NA,NA,2,NA,NA,NA
"광고선전비",0,0,25,17,NA,NA
"판매비",3,0,9,6,NA,NA
"관리비",7,8,35,16,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",0,1,4,2,0,14
"영업이익",-15,-8,-37,6,4,-2
"영업이익(발표기준)",-15,-8,-37,6,4,-2
"금융수익",4,9,44,4,3,28
"이자수익",3,7,5,2,NA,NA
"배당금수익",0,NA,NA,NA,NA,NA
"외환이익",NA,2,1,1,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",1,0,12,NA,NA,NA
"금융자산평가이익",NA,0,0,1,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,25,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,3,28
"금융원가",1,48,40,10,212,-66
"이자비용",0,18,20,9,NA,NA
"외환손실",NA,2,1,0,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",0,2,0,NA,NA,NA
"금융자산평가손실",NA,0,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,27,19,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,212,-66
"기타수익",1,1,10,1,3,0
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,1,9,0,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,0,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",3,26,23,0,1,92
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,0,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",NA,1,1,0,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,25,18,NA,NA,NA
"기타대손상각비",NA,NA,0,0,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,20,-29
"지분법손익",NA,NA,NA,NA,20,-29
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-14,-72,-46,1,-182,-29
"법인세비용",0,0,-10,3,NA,NA
"계속영업이익",-14,-72,-36,-2,-182,-29
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",-14,-72,-36,-2,-182,-29
"지배주주순이익",-14,-72,-4,-9,-182,-29
"비지배주주순이익",NA,NA,-32,7,NA,NA
"자산",232,512,1401,1410,802,619
"유동자산",120,473,940,921,256,170
"재고자산",58,48,141,126,46,58
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",23,43,12,22,12,5
"매출채권및기타유동채권",27,32,179,203,24,34
"당기법인세자산",0,1,0,1,0,0
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",1,14,76,71,8,5
"현금및현금성자산",9,335,531,498,166,68
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",112,40,461,489,546,449
"유형자산",57,29,164,173,35,45
"무형자산",4,4,232,231,37,5
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",50,3,0,26,19,14
"관계기업등지분관련투자자산",NA,NA,NA,NA,452,383
"장기매출채권및기타비유동채권",1,3,8,6,1,2
"이연법인세자산",NA,NA,56,52,NA,NA
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,1,1,1,1,1
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",22,222,487,487,500,313
"유동부채",20,216,410,414,451,262
"단기사채",NA,115,227,233,193,129
"단기차입금",6,6,6,4,4,4
"유동성장기부채",NA,NA,2,2,2,2
"유동금융부채",NA,74,64,63,241,113
"매입채무및기타유동채무",11,10,96,95,7,12
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",0,NA,10,12,NA,NA
"당기법인세부채",NA,NA,NA,NA,NA,NA
"계약부채",NA,NA,3,4,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",3,11,1,1,2,2
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",3,6,76,73,49,51
"사채",NA,NA,NA,NA,NA,NA
"장기차입금",NA,NA,47,47,46,46
"비유동금융부채",NA,NA,5,5,3,5
"장기매입채무및기타비유동채무",NA,NA,2,2,NA,NA
"비유동종업원급여충당부채",3,6,23,20,1,1
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",210,291,914,923,302,306
"지배기업주주지분",210,291,447,447,302,306
"자본금",43,55,65,65,71,75
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",61,199,352,352,397,431
"기타자본",NA,3,7,7,NA,NA
"기타포괄손익누계액",-1,0,0,7,0,-5
"이익잉여금(결손금)",107,34,24,16,-167,-195
"비지배주주지분",NA,NA,467,476,NA,NA
"영업활동으로인한현금흐름",-15,6,-68,8,-13,-23
"당기순손익",-14,-72,-36,-2,-189,-29
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",16,87,87,25,200,32
"퇴직급여",3,3,9,4,-3,0
"종업원급여",NA,NA,1,0,0,NA
"주식보상비",NA,3,4,1,-1,NA
"감가상각비",6,6,11,5,-3,0
"무형자산상각비",0,0,2,1,-1,0
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,0,0,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA,10
"종속기업관련손실",NA,NA,NA,NA,NA,1
"관계기업관련손익",NA,NA,NA,NA,NA,55
"(현금유입이없는수익등차감)",5,9,67,4,32,0
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,7,-7
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,22,-22
"종속회사관련이익",NA,NA,NA,NA,NA,NA
"법인세수익",0,NA,10,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-15,-1,-52,-10,12,-24
"자산의감소(증가)",-15,-8,-39,-8,14,-31
"부채의증가(감소)",1,7,-13,-2,-2,8
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",-18,4,-69,10,-10,-20
"기타영업활동으로인한현금흐름",2,1,1,-2,-4,-3
"이자수입",2,7,6,1,0,0
"이자지급(-)",0,-5,-5,-4,-4,-3
"배당금수입",0,NA,NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,NA,1,0,0,0
"법인세납부(-)",0,-1,NA,NA,NA,NA
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-21,21,-51,-36,-320,-21
"투자활동으로인한현금유입액",27,59,86,4,5,6
"유동금융자산의감소",7,57,61,0,1,3
"장기금융상품의감소",NA,NA,NA,NA,NA,NA
"매도가능금융자산의감소",20,NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,0,0,NA
"파생상품의변동",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA,NA,NA
"유형자산의감소",0,1,0,0,2,-1
"무형자산의감소",NA,NA,9,0,5,-3
"생물자산의감소",NA,NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",0,2,15,3,-3,7
"(투자활동으로인한현금유출액)",48,39,137,40,325,27
"유동금융자산의증가",NA,31,12,8,12,NA
"장기금융상품의증가",0,0,0,NA,NA,NA
"매도가능금융자산의증가",41,NA,NA,20,-20,NA
"만기보유금융자산의증가",5,NA,NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA,NA,95,20
"유형자산의증가",2,5,15,11,-6,8
"무형자산의증가",0,0,3,0,0,2
"생물자산의증가",NA,NA,NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유출액",NA,3,107,0,244,-3
"기타투자활동으로인한현금흐름",NA,NA,NA,NA,NA,NA
"재무활동으로인한현금흐름",NA,300,315,-5,2,-54
"재무활동으로인한현금유입액",2,306,331,NA,15,3
"사채의증가",NA,150,275,NA,NA,NA
"차입금의증가",2,6,56,NA,NA,3
"미지급금의증가",NA,NA,NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA,NA,NA
"유상증자",NA,150,NA,NA,15,NA
"자기주식의처분",NA,NA,NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA,NA,NA,NA
"(재무활동으로인한현금유출액)",2,6,16,5,13,56
"사채의감소",NA,NA,0,NA,14,53
"차입금의감소",2,6,10,2,0,4
"미지급금의감소",NA,NA,NA,NA,NA,NA
"유동성장기부채의감소",NA,NA,NA,NA,1,-1
"기타금융부채의감소",NA,NA,5,2,-1,0
"기타부채의감소",NA,NA,NA,NA,NA,NA
"유상감자",NA,NA,NA,NA,NA,NA
"자기주식의취득",NA,NA,NA,NA,NA,NA
"자본구성항목의감소",NA,NA,NA,NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,0,NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA,NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA,NA,NA
"환율변동효과",0,0,0,1,-1,0
"현금및현금성자산의증가",-36,326,196,-33,-332,-98
"기초현금및현금성자산",46,9,335,531,498,166
"기말현금및현금성자산",9,335,531,498,166,68
