"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",69343,73571,73503,17984,20018,19305
"매출원가",55376,60505,60135,14509,16363,16058
"매출총이익",13967,13065,13367,3476,3656,3247
"판매비와관리비",9321,9516,10302,2642,2664,2563
"인건비",2240,2363,2455,NA,NA,NA
"유무형자산상각비",365,372,533,NA,NA,NA
"연구개발비",60,48,51,NA,NA,NA
"광고선전비",220,235,235,NA,NA,NA
"판매비",2393,2339,2565,NA,NA,NA
"관리비",3943,4069,4353,NA,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",101,90,109,2642,2664,2563
"영업이익",4646,3549,3065,834,991,683
"영업이익(발표기준)",4646,3549,3065,834,991,683
"금융수익",1026,574,1038,568,147,155
"이자수익",202,266,341,51,NA,NA
"배당금수익",13,4,5,1,NA,NA
"외환이익",750,179,443,218,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",6,4,0,0,NA,NA
"금융자산평가이익",4,1,5,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",41,115,232,295,NA,NA
"기타금융수익",11,5,11,3,147,155
"금융원가",1507,1844,2329,1234,137,325
"이자비용",1196,1255,1496,323,NA,NA
"외환손실",109,448,572,696,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",3,0,1,NA,NA,NA
"금융자산평가손실",0,4,25,3,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",175,108,202,201,NA,NA
"기타금융원가",25,29,33,11,137,325
"기타수익",462,460,262,93,48,85
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",1,NA,0,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",113,149,15,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,12,NA,NA,NA
"임대료수익",14,14,4,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",6,1,12,NA,NA,NA
"대손충당금환입",1,0,11,NA,NA,NA
"충당부채환입액",1,0,0,NA,NA,NA
"기타비용",542,446,687,149,156,125
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,9,6,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",71,68,84,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",62,137,101,NA,NA,NA
"기타대손상각비",7,25,12,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",11,-2,-10,4,0,-4
"지분법손익",11,-2,-10,4,0,-4
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",4095,2290,1338,116,893,470
"법인세비용",758,347,392,97,147,118
"계속영업이익",3337,1943,946,19,746,352
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",3337,1943,946,19,746,352
"지배주주순이익",1546,964,556,-56,349,95
"비지배주주순이익",1791,980,390,75,398,257
"자산",70339,81134,86157,91314,94648,97042
"유동자산",20456,26463,25277,27188,29422,28917
"재고자산",4494,6014,5636,5452,5061,5737
"유동생물자산",1582,1641,2146,2508,2883,2642
"유동금융자산",2028,3102,2705,1678,2492,2323
"매출채권및기타유동채권",6507,6770,7024,8073,7857,8638
"당기법인세자산",3,17,13,20,49,22
"계약자산",NA,975,645,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",1222,1611,1455,2628,2234,2217
"현금및현금성자산",4620,6334,5652,6756,8784,7278
"매각예정비유동자산및처분자산집단",NA,NA,NA,72,61,59
"비유동자산",49883,54671,60881,64126,65227,68125
"유형자산",38125,42008,48204,51282,52681,54785
"무형자산",3823,3699,3761,3843,3773,3680
"비유동생물자산",223,254,317,350,344,352
"투자부동산",4994,4947,5051,5052,5052,5059
"장기금융자산",1697,2405,1269,443,449,443
"관계기업등지분관련투자자산",123,173,138,152,153,941
"장기매출채권및기타비유동채권",487,600,619,1484,1314,1322
"이연법인세자산",220,362,309,276,255,254
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",191,224,1212,1244,1205,1290
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",40191,48166,51662,55713,58722,61338
"유동부채",25281,33098,32963,36042,37420,37996
"단기사채",NA,NA,NA,400,NA,200
"단기차입금",12584,19145,18372,20100,21076,21637
"유동성장기부채",5122,5541,6041,6442,6888,6188
"유동금융부채",91,51,356,415,328,416
"매입채무및기타유동채무",5735,6365,6360,6742,6882,7113
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",37,35,53,29,69,49
"당기법인세부채",463,207,190,140,209,296
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",1249,1754,1592,1773,1967,2097
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",14911,15069,18699,19671,21302,23342
"사채",1082,1843,5139,4978,5403,4489
"장기차입금",4296,5755,5446,5371,5579,6572
"비유동금융부채",8041,6028,6982,8196,9185,11097
"장기매입채무및기타비유동채무",119,111,84,20,58,58
"비유동종업원급여충당부채",317,356,289,345,324,377
"기타장기충당부채",320,330,262,259,242,238
"이연법인세부채",727,624,479,483,492,493
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",8,22,19,18,18,18
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",30147,32968,34495,35600,35926,35704
"지배기업주주지분",13472,16839,17437,18276,18223,17878
"자본금",71,94,94,94,93,93
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",8462,9626,9343,9567,9373,9212
"기타자본",-3460,-2477,-2487,-2488,-2440,-2440
"기타포괄손익누계액",-232,179,618,1324,1113,831
"이익잉여금(결손금)",8631,9417,9870,9779,10084,10182
"비지배주주지분",16676,16129,17058,17324,17703,17826
"영업활동으로인한현금흐름",4706,1671,4341,777,2671,955
"당기순손익",3337,1943,946,19,746,352
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",5301,5114,6108,1121,2304,942
"퇴직급여",303,296,318,NA,NA,NA
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA,NA,NA
"감가상각비",2551,2554,3158,NA,NA,NA
"무형자산상각비",160,157,167,NA,NA,NA
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
