"","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"반품(환불)부채전입액",NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA
"기타의대손상각비",NA,12,NA,5,NA
"배당금지급",NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA
"사채상환손실",NA,5,NA,5,NA
"투자자산평가손실",NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA,NA
"관계기업관련손익",NA,0,NA,NA,NA
"(현금유입이없는수익등차감)",18,52,NA,24,10
"금융부채관련이익",NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,NA
"종속회사관련이익",NA,8,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-7,13,38,-61,-10
"자산의감소(증가)",-44,134,86,-61,-8
"부채의증가(감소)",37,-121,-48,1,-2
"정부보조금등의변동",NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",76,-187,12,-75,-50
"기타영업활동으로인한현금흐름",-5,-7,-6,0,1
"이자수입",1,2,0,2,0
"이자지급(-)",-5,-7,-7,-1,1
"배당금수입",NA,NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA
"법인세환입",NA,NA,1,0,NA
"법인세납부(-)",-1,-1,NA,NA,0
"중단영업관련현금흐름",NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-10,-260,133,-13,127
"투자활동으로인한현금유입액",67,179,196,109,132
"유동금융자산의감소",NA,14,50,126,75
"장기금융상품의감소",8,3,11,0,NA
"매도가능금융자산의감소",NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,129,-129,0
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA,NA
"유형자산의감소",54,5,0,1,56
"무형자산의감소",NA,0,NA,NA,NA
"생물자산의감소",NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",5,157,6,112,NA
"(투자활동으로인한현금유출액)",77,439,63,122,4
"유동금융자산의증가",14,146,41,114,0
"장기금융상품의증가",9,3,0,NA,NA
"매도가능금융자산의증가",NA,NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA,NA
"장기대여금의증가",NA,NA,NA,NA,NA
"기타비유동금융자산의증가",NA,NA,18,-18,3
"관계기업등지분관련투자자산의증가",NA,2,NA,NA,NA
"유형자산의증가",42,7,NA,0,0
"무형자산의증가",6,9,0,0,1
"생물자산의증가",NA,NA,NA,NA,NA
"투자부동산의증가",NA,NA,NA,NA,NA
"기타투자활동으로인한현금유출액",6,272,3,26,NA
"기타투자활동으로인한현금흐름",NA,NA,NA,NA,NA
"재무활동으로인한현금흐름",-5,408,-107,-22,-61
"재무활동으로인한현금유입액",48,706,0,191,23
"사채의증가",NA,NA,NA,NA,NA
"차입금의증가",NA,NA,NA,NA,NA
"미지급금의증가",NA,NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA,NA
"기타금융부채의증가",47,554,NA,108,23
"기타부채의증가",NA,1,0,1,NA
"유상증자",NA,140,NA,NA,NA
"자기주식의처분",NA,NA,NA,NA,NA
"주식매입선택권의행사",NA,NA,NA,NA,NA
"자본구성항목의증가",0,NA,NA,NA,NA
"기타재무활동으로인한현금유입액",0,11,NA,82,NA
"(재무활동으로인한현금유출액)",53,298,107,213,84
"사채의감소",NA,NA,NA,NA,NA
"차입금의감소",NA,NA,NA,NA,NA
"미지급금의감소",NA,NA,NA,NA,NA
"유동성장기부채의감소",NA,NA,NA,NA,2
"기타금융부채의감소",51,289,107,213,82
"기타부채의감소",0,2,NA,NA,NA
"유상감자",NA,NA,NA,NA,NA
"자기주식의취득",NA,6,NA,NA,NA
"자본구성항목의감소",NA,NA,NA,NA,NA
"기타재무활동으로인한현금유출액",2,1,NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,0,NA,NA,NA
"환율변동효과",0,1,0,0,-1
"현금및현금성자산의증가",57,-46,32,-109,17
"기초현금및현금성자산",71,127,82,NA,5
"기말현금및현금성자산",127,82,114,5,21
