"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1970,2119,2213,531,509,550
"매출원가",852,865,927,210,219,235
"매출총이익",1119,1255,1286,322,290,315
"판매비와관리비",801,877,941,229,195,207
"인건비",369,357,358,91,88,84
"유무형자산상각비",8,11,13,3,4,4
"연구개발비",49,124,141,33,27,34
"광고선전비",61,65,105,24,14,14
"판매비",17,7,12,7,-10,2
"관리비",286,304,309,71,71,69
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",12,9,3,NA,0,0
"영업이익",317,378,345,93,94,108
"영업이익(발표기준)",317,378,345,93,94,108
"금융수익",9,36,52,48,-6,-9
"이자수익",6,10,14,3,3,3
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",4,24,31,41,-11,-12
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,0,1,0,1,0
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,3,7,4,1,0
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",47,17,24,3,6,9
"이자비용",4,6,7,2,2,1
"외환손실",41,5,14,1,3,6
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",0,0,NA,NA,NA,NA
"금융자산평가손실",2,5,0,0,0,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,1,3,NA,1,2
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",45,32,41,6,4,12
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",1,0,0,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",6,7,7,2,2,2
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,0
"대손충당금환입",NA,NA,5,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",47,45,41,2,10,1
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",5,1,1,0,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",0,1,NA,NA,NA,NA
"기타대손상각비",NA,-4,NA,1,0,0
