"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",11240,12313,13657,3283,3290,3531
"매출원가",6091,6836,7323,1726,1780,1966
"매출총이익",5148,5477,6334,1557,1510,1565
"판매비와관리비",4303,4585,5258,1315,1316,1294
"인건비",1312,1186,1294,320,313,316
"유무형자산상각비",104,105,90,20,20,20
"연구개발비",1205,1306,1240,256,309,327
"광고선전비",387,625,718,115,122,119
"판매비",180,201,175,67,64,53
"관리비",1072,1136,1724,534,486,455
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",43,26,19,3,2,4
"영업이익",845,892,1075,241,193,271
"영업이익(발표기준)",845,892,1075,241,193,271
"금융수익",85,115,140,63,67,38
"이자수익",39,43,49,NA,NA,NA
"배당금수익",3,1,1,NA,NA,NA
"외환이익",43,70,90,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,63,67,38
"금융원가",162,154,170,58,40,48
"이자비용",85,96,101,NA,NA,NA
"외환손실",78,58,69,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,58,40,48
"기타수익",243,65,43,11,21,7
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",3,21,5,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",14,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,4,2,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",176,310,276,22,103,25
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,21,1,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",2,87,4,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",45,151,93,NA,NA,NA
"기타대손상각비",31,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",835,608,813,235,139,243
"법인세비용",-22,280,99,54,23,72
"계속영업이익",857,327,713,181,115,171
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",857,327,713,181,115,171
"지배주주순이익",663,299,624,155,104,153
"비지배주주순이익",195,29,89,26,11,18
"자산",15492,15922,16682,16781,16496,17431
"유동자산",7186,7342,7578,7743,7372,7722
"재고자산",2490,2870,2499,2634,2685,2569
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",1309,1360,1956,1406,1194,1129
"매출채권및기타유동채권",1849,1956,2274,2126,1870,1808
"당기법인세자산",1,1,1,2,1,3
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,20,24,22,22,19
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",186,185,150,162,169,314
"현금및현금성자산",1352,951,675,1391,1430,1582
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,297
"비유동자산",8305,8580,9104,9037,9124,9709
"유형자산",5835,6092,6002,5939,5910,5706
"무형자산",1802,1555,1727,1740,1754,1794
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",149,188,323,325,324,225
"장기금융자산",174,243,420,428,547,1412
"관계기업등지분관련투자자산",111,192,168,157,152,179
"장기매출채권및기타비유동채권",68,73,67,69,69,50
"이연법인세자산",161,192,283,279,271,254
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",6,45,114,100,97,89
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",6098,6279,6419,6499,6257,6957
"유동부채",2808,3825,2821,2907,2692,4260
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",58,73,94,82,68,562
"유동성장기부채",899,1999,912,911,910,1803
"유동금융부채",NA,NA,NA,NA,NA,NA
"매입채무및기타유동채무",1180,1184,1377,1399,1106,1263
"유동종업원급여충당부채",131,114,118,NA,NA,NA
"기타단기충당부채",71,NA,NA,NA,NA,NA
"당기법인세부채",119,284,116,126,116,135
"계약부채",NA,152,177,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",349,20,28,390,492,496
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",3291,2453,3598,3591,3565,2696
"사채",2893,1795,2892,2893,2894,1996
"장기차입금",NA,2,NA,16,15,24
"비유동금융부채",4,NA,36,35,36,43
"장기매입채무및기타비유동채무",126,109,103,99,97,114
"비유동종업원급여충당부채",68,49,29,NA,6,9
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",199,167,152,149,140,150
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,400,378,362
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",9393,9643,10262,10282,10238,10475
"지배기업주주지분",5446,5696,6276,6223,6175,6335
"자본금",291,291,291,291,291,291
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",1718,1718,1661,1590,1543,1534
"기타자본",-499,-499,-498,-579,-698,-697
"기타포괄손익누계액",-46,-75,-51,-63,-50,-33
"이익잉여금(결손금)",3982,4261,4873,4985,5089,5242
"비지배주주지분",3947,3947,3986,4059,4063,4139
"영업활동으로인한현금흐름",1478,454,1385,376,239,567
"당기순손익",857,327,713,181,115,171
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",873,1481,1137,310,358,353
"퇴직급여",131,181,142,41,35,36
"종업원급여",2,1,9,1,1,1
"주식보상비",0,6,10,3,3,4
"감가상각비",418,487,399,103,103,102
"무형자산상각비",84,103,99,25,25,25
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",5,NA,NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",4,5,6,1,2,1
"종속기업관련손실",NA,NA,NA,NA,NA,NA
"관계기업관련손익",NA,NA,38,NA,5,NA
"(현금유입이없는수익등차감)",58,83,90,45,56,24
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",2,6,5,2,3,5
"종속회사관련이익",NA,NA,NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-88,-1056,74,-13,-84,134
"자산의감소(증가)",-382,-647,30,31,89,-4
"부채의증가(감소)",292,-411,45,-44,-174,138
"정부보조금등의변동",2,2,-1,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",1584,670,1834,433,333,633
"기타영업활동으로인한현금흐름",-107,-216,-449,-57,-94,-66
"이자수입",38,45,46,12,8,10
"이자지급(-)",-101,-101,-104,-23,-24,-25
"배당금수입",3,1,1,NA,1,NA
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,0,NA,NA,NA,NA
"법인세납부(-)",-47,-161,-392,-46,-80,-51
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-825,-792,-1500,111,412,-910
"투자활동으로인한현금유입액",1182,2532,2143,1539,1092,1880
"유동금융자산의감소",1157,2456,2104,1528,1078,1882
"장기금융상품의감소",NA,3,NA,6,NA,NA
"매도가능금융자산의감소",NA,NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA,NA
"장기대여금의감소",9,7,20,1,1,0
"파생상품의변동",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의감소",3,NA,NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA,NA,NA,NA
"유형자산의감소",10,59,4,0,0,1
"무형자산의감소",3,8,15,NA,12,NA
"생물자산의감소",NA,NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",NA,NA,NA,4,NA,-4
"(투자활동으로인한현금유출액)",2008,3323,3643,1429,680,2789
"유동금융자산의증가",864,2512,2802,980,866,2597
"장기금융상품의증가",NA,1,1,NA,NA,NA
"매도가능금융자산의증가",1,NA,NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA,NA,NA
"장기대여금의증가",2,30,6,NA,0,2
"기타비유동금융자산의증가",4,NA,NA,0,1,-1
"관계기업등지분관련투자자산의증가",105,68,11,320,-320,10
"유형자산의증가",746,657,400,49,79,85
"무형자산의증가",285,14,284,79,53,97
"생물자산의증가",NA,NA,NA,NA,NA,NA
"투자부동산의증가",0,41,139,NA,NA,NA
"기타투자활동으로인한현금유출액",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금흐름",NA,NA,NA,NA,NA,NA
"재무활동으로인한현금흐름",-348,-64,-165,227,-612,497
"재무활동으로인한현금유입액",1801,1004,2058,357,-312,500
"사채의증가",900,900,2000,NA,NA,NA
"차입금의증가",870,104,44,45,-13,506
"미지급금의증가",NA,NA,NA,NA,NA,NA
"유동성장기부채의증가",NA,NA,NA,NA,NA,NA
"기타금융부채의증가",NA,NA,NA,NA,NA,NA
"기타부채의증가",NA,NA,NA,NA,NA,NA
"유상증자",NA,NA,NA,NA,NA,NA
"자기주식의처분",NA,NA,NA,299,-299,NA
"주식매입선택권의행사",NA,NA,NA,NA,NA,NA
"자본구성항목의증가",NA,NA,NA,13,-13,NA
"기타재무활동으로인한현금유입액",30,NA,13,NA,13,-6
"(재무활동으로인한현금유출액)",2072,992,2146,130,223,3
"사채의감소",1000,900,2000,NA,NA,NA
"차입금의감소",1052,92,26,44,0,0
"미지급금의감소",NA,NA,NA,NA,NA,NA
"유동성장기부채의감소",NA,NA,NA,NA,NA,NA
"기타금융부채의감소",NA,NA,20,4,4,3
"기타부채의감소",NA,NA,NA,NA,NA,NA
"유상감자",NA,NA,NA,NA,NA,NA
"자기주식의취득",NA,0,0,83,118,1
"자본구성항목의감소",NA,NA,NA,NA,101,-101
"기타재무활동으로인한현금유출액",21,NA,100,NA,NA,101
"기타재무활동으로인한현금흐름",-77,-77,-77,0,-76,0
"영업투자재무활동기타현금흐름",NA,NA,NA,NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA,NA,NA,NA
"환율변동효과",-15,1,3,3,1,-3
"현금및현금성자산의증가",289,-400,-277,716,39,152
"기초현금및현금성자산",1062,1352,951,675,1391,1430
"기말현금및현금성자산",1352,951,675,1391,1430,1582
