"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",654,641,711,105,138,125
"매출원가",406,394,433,70,68,79
"매출총이익",248,247,279,35,70,46
"판매비와관리비",162,169,204,39,45,40
"인건비",72,76,105,23,22,22
"유무형자산상각비",8,8,10,2,2,2
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",0,0,0,0,NA,0
"판매비",41,40,31,7,15,2
"관리비",41,45,58,7,6,14
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",0,0,NA,NA,NA,NA
"영업이익",86,78,74,-5,25,6
"영업이익(발표기준)",86,78,74,-5,25,6
"금융수익",16,17,17,2,5,1
"이자수익",14,14,16,2,4,1
"배당금수익",0,0,0,NA,0,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",2,NA,NA,NA,1,0
"금융원가",NA,NA,0,0,0,0
"이자비용",NA,NA,0,0,0,0
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",36,12,15,2,2,4
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,3,NA,NA,1
"자산처분(폐기)이익",17,2,5,2,NA,NA
"자산평가이익",0,NA,NA,NA,1,NA
