"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",3240,3787,4494,1166,1262,1372
"매출원가",NA,NA,NA,NA,534,607
"매출총이익",3240,3787,4494,1166,728,765
"판매비와관리비",2617,3107,3765,977,510,523
"인건비",316,363,455,121,112,121
"유무형자산상각비",8,16,27,9,9,11
"연구개발비",269,286,345,90,92,92
"광고선전비",67,74,77,13,29,23
"판매비",497,620,740,182,184,183
"관리비",173,188,178,49,82,90
"기타원가성비용",1281,1548,1932,511,NA,NA
"기타",6,12,11,3,2,2
"영업이익",622,680,729,189,218,242
"영업이익(발표기준)",622,680,729,189,218,242
"금융수익",37,67,47,8,9,27
"이자수익",11,12,13,3,3,4
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",1,1,2,1,0,0
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",0,26,3,2,4,10
"금융자산평가이익",1,10,29,2,2,14
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",25,18,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",25,41,69,16,-3,7
"이자비용",15,16,15,4,6,8
"외환손실",NA,1,1,0,0,0
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",1,1,0,0,0,0
"금융자산평가손실",1,15,17,12,-9,-1
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",8,8,32,NA,NA,NA
"기타금융원가",NA,NA,3,NA,NA,NA
"기타수익",48,70,63,16,16,2
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,0,1,0,5,0
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,0,NA,NA,NA,NA
