"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",268986,295234,337797,78400,77940,82244
"매출원가",186086,211702,246344,57694,56820,59959
"매출총이익",82900,83532,91453,20706,21120,22284
"판매비와관리비",69641,70207,76362,18063,17532,17993
"인건비",20934,22300,24995,6307,5944,5976
"유무형자산상각비",3730,3938,7307,1825,1779,1805
"연구개발비",577,498,479,109,109,124
"광고선전비",5205,5642,6479,1372,1447,1483
"판매비",11637,9974,11726,3037,3046,3264
"관리비",26496,26791,24334,5109,4890,5060
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",1061,1064,1041,304,317,282
"영업이익",13260,13325,15092,2643,3588,4291
"영업이익(발표기준)",13260,13325,15092,2643,3588,4291
"금융수익",7318,3582,4029,1992,607,681
"이자수익",418,527,627,144,150,110
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",2488,1643,2292,1110,593,427
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",3555,191,36,NA,NA,NA
"금융자산평가이익",NA,124,87,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",772,1064,939,695,-142,138
"기타금융수익",85,33,48,42,6,6
"금융원가",7352,8412,10904,4026,1914,2072
"이자비용",3176,3686,6678,1596,1514,1419
"외환손실",1785,2255,2223,1617,202,546
"대손상각비",291,23,75,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",207,NA,NA,NA,NA,NA
"파생상품손실",1795,2315,1676,759,142,48
"기타금융원가",98,133,253,54,57,58
"기타수익",6315,11025,5444,5946,937,652
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",2,265,712,5429,265,169
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
