"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"순이자손익",11625,12536,12326,3065,3107,3173
"순수수료손익",135,105,521,191,158,216
"금융상품관련손익",171,217,317,118,57,124
"위험회피회계파생상품관련손익",-19,NA,NA,NA,NA,NA
"외환거래(환율변동)손익",142,6,38,-18,50,45
"금융자산관련손익",-1331,-1217,-796,-143,-300,-195
"기타영업손익",-977,-939,-912,-221,-239,-262
"순영업수익",9744,10707,11493,2992,2833,3100
"판매비와관리비",6264,6539,6644,1628,1520,1569
"영업이익",3480,4168,4849,1364,1313,1531
"영업외수익",116,193,111,11,44,17
"이자수익",NA,NA,NA,NA,NA,NA
"배당금수익",NA,NA,NA,NA,NA,NA
"외환거래이익",NA,NA,NA,NA,NA,NA
"상각채권추심이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"유가증권처분이익",NA,NA,NA,NA,NA,NA
"유가증권손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련이익",NA,NA,1,1,1,-1
"자산처분이익",8,2,11,0,0,1
"자산재평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,3,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"수입수수료",NA,NA,NA,NA,NA,NA
"임대료",43,40,4,0,1,1
"자산수증이익",NA,NA,NA,NA,NA,NA
"보험차익",NA,NA,NA,NA,NA,NA
"법인세환급액",NA,NA,NA,NA,NA,NA
"전기오류수정이익",NA,NA,NA,NA,NA,NA
"퇴직연금운용이익",NA,NA,NA,NA,NA,NA
"보험수리적이익",NA,NA,NA,NA,NA,NA
"기타영업외수익",65,152,92,10,42,16
"영업외비용",144,196,127,24,42,14
"이자비용",NA,NA,NA,NA,NA,NA
"외환거래손실",NA,NA,NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"유가증권처분손실",NA,NA,NA,NA,NA,NA
"유가증권손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손실",NA,NA,NA,NA,NA,NA
"자산처분손실",12,3,3,0,1,0
"자산손상차손",NA,16,1,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"지급수수료",7,14,17,4,4,4
"기부금",104,128,86,19,16,6
"법인세추납액",NA,NA,NA,NA,NA,NA
"전기오류수정손실",NA,NA,NA,NA,NA,NA
"퇴직연금운용손실",NA,NA,NA,NA,NA,NA
"보험수리적손실",NA,NA,NA,NA,NA,NA
"기타영업외비용",22,36,19,1,22,3
"세전계속사업이익",3452,4165,4833,1351,1315,1534
"법인세비용",807,954,1212,335,329,357
"계속영업이익",2644,3210,3621,1016,986,1177
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",2644,3210,3621,1016,986,1177
"지배주주순이익",1851,2415,3419,965,917,1099
"비지배주주순이익",794,795,202,51,69,77
"자산",475937,467798,475296,491456,518542,528607
"현금및예치금",22449,23463,27114,29789,37165,27245
"당기손익인식(지정)금융자산",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산",NA,2433,2516,2700,7138,9062
"단기매매금융자산",71,NA,NA,NA,NA,NA
"파생결합증권",NA,NA,NA,NA,NA,NA
"매매목적파생상품자산",11,19,1,16,12,5
"위험회피파생상품자산",NA,NA,NA,NA,NA,NA
"매도가능금융자산",22967,NA,NA,NA,NA,NA
