"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",55,52,77,16,28,28
"매출원가",28,25,36,7,22,14
"매출총이익",27,27,41,9,6,13
"판매비와관리비",60,41,21,8,8,8
"인건비",23,17,18,4,NA,NA
"유무형자산상각비",2,1,3,1,NA,NA
"연구개발비",4,4,4,1,NA,NA
"광고선전비",0,NA,NA,NA,NA,NA
"판매비",3,11,-15,0,NA,NA
"관리비",27,4,8,1,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",NA,4,2,1,8,8
"영업이익",-33,-14,20,1,-2,5
"영업이익(발표기준)",-33,-14,20,1,-2,5
"금융수익",2,88,2,0,0,0
"이자수익",1,3,2,0,NA,NA
"배당금수익",0,84,NA,NA,NA,NA
"외환이익",0,1,0,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,0,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,0,0
"금융원가",17,21,7,1,2,1
"이자비용",16,21,5,1,NA,NA
"외환손실",1,1,0,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,0,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,2,NA,2,1
"기타수익",5,0,0,0,0,1
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",5,NA,0,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",0,0,0,0,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",6,23,1,0,1,0
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,NA,NA,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",0,22,NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-5,-6,5,1,0,4
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",-54,25,20,1,-4,9
"법인세비용",-7,1,1,NA,NA,NA
"계속영업이익",-47,23,19,1,-4,9
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",-47,23,19,1,-4,9
"자산",453,704,598,550,614,709
"유동자산",252,454,137,113,122,269
"재고자산",NA,0,NA,NA,NA,NA
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",41,51,39,40,53,143
"매출채권및기타유동채권",62,60,58,60,56,78
"당기법인세자산",0,0,0,0,0,0
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",5,18,0,1,1,0
"현금및현금성자산",145,325,39,12,13,48
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",201,250,461,437,492,440
"유형자산",3,2,2,3,2,2
"무형자산",26,6,6,6,5,4
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",132,181,160,136,182,129
"관계기업등지분관련투자자산",32,54,283,285,292,295
"장기매출채권및기타비유동채권",7,7,9,9,9,9
"이연법인세자산",NA,NA,NA,NA,NA,NA
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,NA,1,0,2,2
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",359,388,237,213,235,309
"유동부채",267,385,234,209,229,253
"단기사채",NA,NA,NA,NA,81,81
"단기차입금",NA,NA,NA,NA,NA,NA
"유동성장기부채",138,221,78,79,NA,NA
"유동금융부채",NA,NA,1,0,1,1
"매입채무및기타유동채무",70,87,88,64,64,107
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",NA,NA,NA,NA,NA,NA
"당기법인세부채",NA,NA,NA,NA,NA,NA
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,NA,NA,NA
"기타유동부채",59,78,67,65,83,64
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,NA
"비유동부채",92,2,4,4,6,57
"사채",91,NA,NA,NA,NA,44
"장기차입금",NA,NA,NA,NA,NA,NA
"비유동금융부채",NA,NA,NA,NA,1,8
"장기매입채무및기타비유동채무",NA,NA,NA,NA,NA,NA
"비유동종업원급여충당부채",1,2,4,4,5,5
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",NA,NA,NA,NA,NA,NA
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,NA,NA,NA
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",94,316,360,337,379,400
"자본금",104,168,202,202,202,202
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",204,340,380,380,381,385
"기타자본",0,0,0,0,-1,-1
"기타포괄손익누계액",4,3,-46,-70,-25,-17
"이익잉여금(결손금)",-218,-195,-176,-175,-179,-170
"영업활동으로인한현금흐름",-29,33,34,-25,22,7
"당기순손익",-47,23,19,1,-4,9
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",42,66,13,2,4,2
"퇴직급여",3,2,3,0,0,0
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",3,1,NA,NA,NA,NA
"감가상각비",2,1,2,1,1,0
"무형자산상각비",1,1,1,0,0,0
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",NA,NA,NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,2,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA,NA
"종속기업관련손실",2,NA,NA,NA,NA,NA
"관계기업관련손익",7,6,NA,NA,NA,NA
"(현금유입이없는수익등차감)",17,88,23,2,1,5
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,0,5,1,0,4
"종속회사관련이익",3,NA,NA,NA,NA,NA
"법인세수익",7,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-8,30,22,-28,22,1
"자산의감소(증가)",-24,-4,34,-2,4,-22
"부채의증가(감소)",16,34,-12,-26,18,23
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA,NA,NA
"*영업에서창출된현금흐름",-29,31,32,-25,21,7
"기타영업활동으로인한현금흐름",0,2,2,0,1,0
"이자수입",1,3,2,0,0,0
"이자지급(-)",-1,-1,0,0,0,0
"배당금수입",NA,NA,NA,NA,NA,NA
"배당금지급(-)",NA,NA,NA,NA,NA,NA
"법인세환입",NA,NA,0,NA,0,0
"법인세납부(-)",0,0,NA,0,0,NA
"중단영업관련현금흐름",NA,NA,NA,NA,NA,NA
"투자활동으로인한현금흐름",-91,-25,-243,-2,-21,-27
"투자활동으로인한현금유입액",99,198,209,16,12,64
"유동금융자산의감소",18,189,50,16,9,NA
"장기금융상품의감소",1,7,16,NA,NA,1
"매도가능금융자산의감소",3,NA,NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA,NA,NA
"장기대여금의감소",NA,NA,NA,NA,NA,NA
"파생상품의변동",NA,NA,NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,123,NA,3,61
"관계기업등지분관련투자자산의감소",30,1,20,NA,NA,NA
"유형자산의감소",36,NA,0,NA,0,0
"무형자산의감소",0,NA,NA,NA,NA,2
"생물자산의감소",NA,NA,NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA,NA,NA
"기타투자활동으로인한현금유입액",11,0,NA,0,0,0
"(투자활동으로인한현금유출액)",190,307,452,18,33,91
