"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",889,1023,1220,818,2748,3269
"매출원가",286,346,407,208,682,728
"매출총이익",603,677,813,610,2066,2540
"판매비와관리비",527,570,589,212,376,441
"인건비",185,223,242,94,171,190
"유무형자산상각비",46,74,96,30,32,42
"연구개발비",126,103,96,29,56,69
"광고선전비",NA,NA,NA,NA,NA,NA
"판매비",45,27,1,24,72,71
"관리비",126,145,153,36,44,69
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",NA,NA,NA,NA,NA,NA
"영업이익",76,106,224,398,1690,2099
"영업이익(발표기준)",76,106,224,398,1690,2099
"금융수익",42,34,34,33,61,48
"이자수익",8,5,8,1,2,1
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",33,29,25,32,58,46
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",0,0,0,NA,NA,1
"금융자산평가이익",0,0,0,0,0,0
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",0,0,0,0,0,0
"금융원가",76,33,25,22,77,86
"이자비용",16,4,5,2,2,3
"외환손실",53,28,19,18,67,82
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",0,0,NA,0,NA,NA
"금융자산평가손실",1,0,1,3,8,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",4,1,NA,NA,0,0
"기타수익",4,3,39,2,8,5
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",0,1,0,1,5,1
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,1
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,0
"충당부채환입액",NA,NA,NA,NA,NA,2
"기타비용",17,6,2,2,18,1
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,0,1,0,0,0
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",16,2,NA,NA,7,NA
"기타대손상각비",1,4,NA,NA,0,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",2,2,6,17,95,10
"지분법손익",2,2,6,17,95,10
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",30,107,277,426,1758,2075
"법인세비용",-8,6,10,89,442,550
"계속영업이익",37,101,267,337,1316,1525
"중단영업이익",-4,6,NA,NA,NA,NA
"당기순이익",33,107,267,337,1316,1525
"지배주주순이익",33,107,267,336,1307,1515
"비지배주주순이익",1,0,0,1,10,10
"자산",1568,1638,1957,2653,5001,8002
"유동자산",1131,1159,1385,1907,3965,5658
"재고자산",203,236,187,222,633,943
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",149,116,170,101,94,95
"매출채권및기타유동채권",458,463,522,1006,1901,2453
"당기법인세자산",9,NA,NA,NA,113,122
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,10,9,13,29,29
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",33,9,7,14,25,18
"현금및현금성자산",278,326,491,552,1170,1999
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",436,480,572,746,1036,2344
"유형자산",184,186,238,386,449,1685
"무형자산",64,60,67,64,58,59
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",24,29,24,31,32,32
"관계기업등지분관련투자자산",30,32,33,51,145,155
"장기매출채권및기타비유동채권",72,86,71,71,89,103
"이연법인세자산",63,71,51,56,86,84
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",NA,15,89,88,176,225
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",395,354,429,812,1903,3386
"유동부채",318,261,282,672,1672,2717
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",63,78,56,96,75,409
"유동성장기부채",127,7,8,9,9,8
"유동금융부채",NA,NA,24,24,43,58
"매입채무및기타유동채무",111,148,147,386,830,1022
