"","x","X2020.03","X2020.06","X2020.09"
"1",NA,265,378,318
"2",NA,271,389,289
"3",NA,-6,-11,29
"4",NA,24,23,28
"5",NA,10,5,9
"6",NA,3,3,2
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,6,10,10
"10",NA,2,12,3
"11",NA,NA,NA,NA
"12",NA,3,-7,3
"13",NA,-31,-34,2
"14",NA,-31,-34,2
"15",NA,28,10,20
"16",NA,20,15,16
"17",NA,NA,NA,NA
"18",NA,6,-12,0
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,2,6,4
"27",NA,8,-5,4
"28",NA,0,0,0
"29",NA,6,-12,0
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,2,6,4
"38",NA,5,-5,45
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,0,10,0
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,0
"46",NA,NA,NA,NA
"47",NA,NA,5,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,8,-12,1
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,0,-15,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,2,NA
"58",NA,NA,NA,NA
"59",NA,-1,19,26
"60",NA,-1,19,26
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,-15,8,88
"64",NA,1,7,10
"65",NA,-16,1,78
"66",NA,NA,NA,NA
"67",NA,-16,1,78
"68",NA,-7,22,68
"69",NA,-9,-20,10
"70",NA,6192,6128,6090
"71",NA,3624,2492,2443
"72",NA,279,335,348
"73",NA,NA,NA,NA
"74",NA,2792,1679,1443
"75",NA,353,329,380
"76",NA,1,NA,2
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,19,22,15
"81",NA,179,127,254
"82",NA,NA,NA,NA
"83",NA,2569,3636,3647
"84",NA,1593,1412,1387
"85",NA,11,11,11
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",NA,10,1242,1253
"89",NA,939,957,981
"90",NA,NA,NA,NA
"91",NA,NA,NA,NA
"92",NA,NA,NA,NA
"93",NA,16,15,15
"94",NA,NA,NA,NA
"95",NA,975,948,807
"96",NA,737,712,565
"97",NA,NA,NA,NA
"98",NA,NA,NA,NA
"99",NA,NA,NA,NA
"100",NA,3,11,7
"101",NA,636,650,496
"102",NA,NA,NA,NA
"103",NA,NA,NA,NA
"104",NA,NA,9,13
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",NA,98,43,49
"109",NA,NA,NA,NA
"110",NA,237,236,242
"111",NA,NA,NA,NA
"112",NA,NA,NA,NA
"113",NA,1,NA,NA
"114",NA,3,3,3
"115",NA,111,114,115
"116",NA,NA,NA,NA
"117",NA,122,120,124
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",NA,5218,5180,5283
"122",NA,4157,4154,4236
"123",NA,50,50,50
"124",NA,NA,NA,NA
"125",NA,21,21,21
"126",NA,NA,NA,NA
"127",NA,52,27,44
"128",NA,4034,4055,4121
"129",NA,1061,1026,1047
"130",NA,73,34,-83
"131",NA,-16,1,78
"132",NA,NA,NA,NA
"133",NA,80,72,83
"134",NA,4,4,4
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",NA,67,67,64
"138",NA,0,0,0
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,2,NA
"143",NA,NA,NA,NA
"144",NA,2,6,4
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,21,52,59
"152",NA,2,6,4
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,-1,19,26
"162",NA,NA,NA,NA
"163",NA,NA,NA,NA
"164",NA,12,-1,-201
"165",NA,-6,114,-68
"166",NA,18,-114,-133
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",NA,55,21,-99
"170",NA,18,14,17
"171",NA,22,14,20
"172",NA,0,0,0
"173",NA,NA,0,0
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",NA,-4,0,-4
"177",NA,NA,NA,NA
"178",NA,46,-86,213
"179",NA,605,1141,755
"180",NA,605,-18,755
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,NA,1134,NA
"187",NA,NA,NA,NA
"188",NA,0,25,0
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,NA,NA,NA
"193",NA,558,1227,542
"194",NA,493,2,529
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,1235,NA
"200",NA,NA,NA,NA
"201",NA,66,-11,13
"202",NA,0,1,0
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,NA,NA,NA
"206",NA,NA,NA,NA
"207",NA,-3,NA,-3
"208",NA,NA,21,NA
"209",NA,NA,NA,NA
"210",NA,NA,21,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,NA,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",NA,0,21,NA
"221",NA,NA,NA,NA
"222",NA,NA,21,NA
"223",NA,NA,NA,NA
"224",NA,NA,NA,NA
"225",NA,0,NA,NA
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",NA,-3,NA,-3
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,0,0,0
"235",NA,117,-52,127
"236",NA,62,179,127
"237",NA,179,127,254
