"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",667,667,667,667,667,667
"기타자본",-38,-38,-38,-38,-38,-38
"기타포괄손익누계액",-3,0,1,2,1,1
"이익잉여금(결손금)",-515,-600,-759,-755,-773,-771
"비지배주주지분",-10,-17,-17,-17,-17,-17
"영업활동으로인한현금흐름",-38,6,17,7,11,-11
"당기순손익",-88,-92,-158,4,-18,2
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",59,116,191,4,18,5
"퇴직급여",2,2,3,1,0,1
"종업원급여",NA,NA,NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA,NA,NA
"감가상각비",5,4,9,2,2,2
"무형자산상각비",5,5,5,1,0,0
"계약부채전입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA,NA,NA
"기타의대손상각비",2,NA,NA,NA,NA,NA
"배당금지급",NA,NA,NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA,NA,NA
"투자자산평가손실",NA,NA,NA,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA,NA,NA
"종속기업관련손실",NA,NA,NA,NA,NA,NA
"관계기업관련손익",NA,NA,NA,NA,NA,0
"(현금유입이없는수익등차감)",22,10,10,0,3,0
"금융부채관련이익",NA,NA,NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA,NA,NA
"종속회사관련이익",NA,NA,NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",13,-11,-11,-1,11,-18
"자산의감소(증가)",-3,-28,-6,28,-7,-8
"부채의증가(감소)",19,17,-5,-28,18,-10
"정부보조금등의변동",NA,NA,NA,NA,NA,NA
"기타운전자본의변동",-3,1,0,NA,NA,NA
"*영업에서창출된현금흐름",-38,3,12,6,9,-11
"기타영업활동으로인한현금흐름",0,2,5,1,2,0
"이자수입",1,3,6,0,2,0
"이자지급(-)",-1,-1,-1,0,0,0
