"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1302,2202,2055,422,455,583
"매출원가",665,1153,1063,241,240,274
"매출총이익",637,1048,991,181,215,309
"판매비와관리비",380,640,753,177,208,165
"인건비",71,102,117,27,31,26
"유무형자산상각비",12,37,55,6,7,7
"연구개발비",226,419,517,126,154,124
"광고선전비",2,1,1,0,0,0
"판매비",5,4,-2,0,5,-4
"관리비",59,65,55,16,9,10
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",4,11,10,3,2,1
"영업이익",257,408,238,3,7,144
"영업이익(발표기준)",257,408,238,3,7,144
"금융수익",19,15,19,5,4,2
"이자수익",17,15,19,5,4,2
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",2,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,NA,NA
"금융원가",NA,NA,2,1,1,1
"이자비용",NA,NA,2,1,1,1
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,NA
"기타수익",31,13,40,41,-11,0
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",NA,NA,NA,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",25,NA,NA,NA,NA,NA
"기타비용",10,98,80,3,5,17
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",NA,NA,NA,NA,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",0,84,43,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",297,338,215,45,-6,129
"법인세비용",24,131,107,23,8,37
"계속영업이익",274,207,108,22,-13,92
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",274,207,108,22,-13,92
"지배주주순이익",276,192,58,6,-30,69
"비지배주주순이익",-2,15,50,16,16,23
"자산",2658,2735,2784,2907,2846,3033
"유동자산",1571,1492,1486,1631,1529,1697
"재고자산",195,548,342,401,391,465
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",541,507,783,901,777,872
"매출채권및기타유동채권",446,160,118,89,71,140
"당기법인세자산",NA,0,0,NA,NA,NA
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",108,42,30,33,41,40
"현금및현금성자산",280,236,213,207,248,180
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",1088,1242,1297,1275,1317,1335
"유형자산",432,664,781,778,788,808
"무형자산",584,502,433,415,441,439
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",NA,NA,NA,NA,NA,NA
"장기금융자산",37,35,40,39,34,33
"관계기업등지분관련투자자산",NA,NA,NA,NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA,NA,NA,NA
"이연법인세자산",32,38,41,41,53,53
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
