"",".","X2020.03","X2020.06","X2020.09"
"1",191,221,192,46
"2",161,189,163,40
"3",30,32,29,6
"4",39,21,21,26
"5",16,9,8,8
"6",1,5,6,7
"7",5,2,2,1
"8",0,0,-1,0
"9",0,1,1,0
"10",17,4,4,9
"11",NA,NA,NA,NA
"12",0,NA,0,0
"13",-9,11,7,-20
"14",-9,11,7,-20
"15",1,1,18,1
"16",0,1,1,0
"17",NA,NA,NA,NA
"18",0,0,0,0
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,6,NA
"23",NA,NA,10,0
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",4,15,160,13
"28",3,15,13,13
"29",0,0,0,0
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,4,NA
"34",1,NA,9,NA
"35",NA,NA,NA,NA
"36",NA,NA,134,NA
"37",NA,0,0,0
"38",0,0,0,0
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",40,0,5,0
"51",NA,NA,NA,NA
"52",NA,NA,0,NA
"53",NA,NA,NA,NA
"54",0,NA,0,0
"55",NA,NA,NA,NA
"56",NA,NA,5,NA
"57",NA,NA,NA,NA
"58",NA,NA,NA,NA
"59",NA,0,0,0
"60",NA,0,NA,0
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",-51,-4,-140,-33
"64",-4,-2,1,-1
"65",-48,-2,-141,-32
"66",NA,NA,NA,NA
"67",-48,-2,-141,-32
"68",-48,-1,-140,-31
"69",NA,0,0,-1
"70",287,889,1090,1064
"71",138,320,309,201
"72",68,50,27,27
"73",NA,NA,NA,NA
"74",19,30,21,29
"75",13,90,42,28
"76",1,0,NA,NA
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",2,51,11,9
"81",36,99,209,108
"82",NA,NA,NA,NA
"83",148,569,781,863
"84",119,141,163,239
"85",11,303,292,289
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",18,122,289,290
"89",NA,0,0,0
"90",NA,NA,NA,NA
"91",NA,2,2,3
"92",NA,NA,NA,NA
"93",NA,NA,34,41
"94",NA,NA,NA,NA
"95",149,680,632,638
"96",114,653,612,614
"97",NA,254,345,355
"98",66,52,59,25
"99",7,7,7,3
"100",NA,232,133,137
"101",40,75,56,83
"102",NA,2,NA,NA
"103",2,1,2,2
"104",0,1,3,3
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",0,31,7,5
"109",NA,NA,NA,NA
"110",35,28,21,24
"111",10,NA,NA,NA
"112",15,6,4,3
"113",NA,5,7,11
"114",0,0,NA,0
"115",10,13,9,9
"116",NA,NA,NA,NA
"117",1,3,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",137,208,458,426
"122",137,204,454,423
"123",19,28,40,40
"124",NA,NA,NA,NA
"125",171,298,664,664
