"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",26535,27678,25398,6611,6562,7237
"매출원가",22274,22891,20969,5525,5231,5885
"매출총이익",4262,4787,4429,1087,1331,1352
"판매비와관리비",2505,2776,2878,812,831,799
"인건비",880,935,910,NA,NA,NA
"유무형자산상각비",91,133,210,NA,NA,NA
"연구개발비",396,452,443,NA,NA,NA
"광고선전비",16,11,39,NA,NA,NA
"판매비",414,466,546,NA,NA,NA
"관리비",634,698,672,NA,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",74,80,58,812,831,799
"영업이익",1757,2011,1551,274,499,553
"영업이익(발표기준)",1757,2011,1551,274,499,553
"금융수익",253,303,330,334,41,68
"이자수익",13,11,17,NA,NA,NA
"배당금수익",NA,NA,NA,NA,NA,NA
"외환이익",223,264,237,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,3,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",17,28,72,NA,NA,NA
"기타금융수익",NA,NA,NA,334,41,68
"금융원가",753,838,859,713,274,316
"이자비용",461,519,566,NA,NA,NA
"외환손실",241,275,216,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,3,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",51,40,77,NA,NA,NA
"기타금융원가",NA,NA,NA,713,274,316
"기타수익",392,46,32,2398,5,18
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",18,5,13,2368,1,8
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,0,NA,1,NA
"임대료수익",1,1,1,0,0,0
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",0,0,1,0,0,0
"대손충당금환입",77,NA,0,NA,NA,NA
"충당부채환입액",NA,NA,NA,NA,NA,NA
"기타비용",523,330,307,815,39,43
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",35,17,46,80,8,2
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",388,208,132,451,16,15
"기타대손상각비",NA,9,NA,NA,NA,NA
"충당부채전입액",NA,NA,78,NA,NA,13
"종속기업,공동지배기업및관계기업관련손익",681,629,-13,-66,-90,-49
"지분법손익",681,629,-13,-66,-90,-49
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",1807,1821,733,1412,143,231
"법인세비용",444,411,60,552,49,23
"계속영업이익",1363,1410,674,861,94,208
"중단영업이익",NA,NA,NA,NA,-16,-74
"당기순이익",1363,1410,674,861,79,134
"지배주주순이익",1100,1206,597,792,-30,26
"비지배주주순이익",263,205,77,68,108,108
"자산",36673,38331,39730,57596,57660,58536
"유동자산",8972,9101,9927,14114,14339,16441
"재고자산",2993,3532,3857,4268,4328,3647
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",2,16,99,172,170,180
"매출채권및기타유동채권",3678,3457,3801,4376,4345,4779
"당기법인세자산",9,10,13,14,15,26
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",529,483,661,722,702,666
"현금및현금성자산",1760,1604,800,4542,4760,5033
"매각예정비유동자산및처분자산집단",NA,NA,697,20,20,2109
"비유동자산",27702,29230,29803,43482,43321,42095
"유형자산",19032,19786,21159,23557,23557,22695
"무형자산",2092,2325,2547,13961,13929,13751
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",556,551,382,355,354,352
"장기금융자산",73,63,71,95,87,35
"관계기업등지분관련투자자산",5359,5900,4947,4847,4748,4680
"장기매출채권및기타비유동채권",142,156,164,168,153,112
"이연법인세자산",395,398,444,445,443,424
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
"기타비유동자산",54,51,89,55,50,45
"기타금융업자산",NA,NA,NA,NA,NA,NA
"부채",20737,21383,22466,35463,35516,37888
"유동부채",12008,10815,10432,18012,15990,19891
"단기사채",NA,NA,NA,NA,NA,NA
"단기차입금",2983,2473,3314,9481,8423,8236
"유동성장기부채",4407,3627,3314,2086,1843,5064
"유동금융부채",22,46,181,169,151,145
"매입채무및기타유동채무",4279,4395,3493,3924,3195,3732
"유동종업원급여충당부채",NA,NA,NA,NA,NA,NA
"기타단기충당부채",11,13,88,94,92,113
"당기법인세부채",246,200,9,2217,2245,2004
"계약부채",NA,NA,NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA,NA,NA
"배출부채",NA,NA,NA,12,12,NA
"기타유동부채",59,62,31,29,29,45
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA,NA,553
"비유동부채",8729,10568,12035,17451,19526,17997
"사채",4587,6302,7024,1750,3627,2803
"장기차입금",2169,1957,2871,12818,12981,12219
"비유동금융부채",2,175,176,227,205,203
"장기매입채무및기타비유동채무",90,53,24,21,21,36
"비유동종업원급여충당부채",268,429,316,303,358,407
"기타장기충당부채",NA,NA,NA,NA,NA,NA
"이연법인세부채",1614,1653,1624,2284,2287,2281
"장기당기법인세부채",NA,NA,NA,NA,NA,NA
"기타비유동부채",NA,NA,NA,47,47,48
"기타금융업부채",NA,NA,NA,NA,NA,NA
"자본",15936,16948,17264,22133,22144,20648
"지배기업주주지분",14500,15327,15593,19813,19722,18441
"자본금",1877,1877,1877,1877,1877,1877
"신종자본증권",NA,NA,NA,NA,NA,NA
"자본잉여금",1398,1403,1408,4568,4569,3321
"기타자본",-1082,-1082,-1082,-619,-619,-619
"기타포괄손익누계액",-82,-124,-110,46,-8,-66
"이익잉여금(결손금)",12390,13254,13500,13941,13903,13928
"비지배주주지분",1436,1621,1671,2320,2422,2206
"영업활동으로인한현금흐름",2093,2316,405,251,421,607
"당기순손익",1363,1410,674,861,79,134
"법인세비용차감전계속사업이익",NA,NA,NA,NA,NA,NA
"현금유출이없는비용등가산",2910,2732,2726,2200,895,932
"퇴직급여",191,195,203,55,58,55
"종업원급여",NA,NA,NA,NA,NA,NA
