"","x","X2020.03","X2020.06","X2020.09"
"1",NA,52,49,32
"2",NA,42,38,31
"3",NA,10,11,1
"4",NA,11,19,15
"5",NA,6,9,7
"6",NA,0,1,1
"7",NA,NA,0,0
"8",NA,NA,NA,NA
"9",NA,0,0,0
"10",NA,5,10,6
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,-1,-8,-14
"14",NA,-1,-8,-14
"15",NA,0,0,2
"16",NA,0,0,0
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,0,2
"27",NA,3,5,2
"28",NA,3,5,2
"29",NA,0,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,0,0,0
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,1,-1
"38",NA,0,0,0
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,0,0
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,0,NA,NA
"49",NA,NA,NA,NA
"50",NA,0,3,2
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,0,0,NA
"55",NA,NA,NA,NA
"56",NA,NA,NA,NA
"57",NA,NA,NA,0
"58",NA,NA,NA,NA
"59",NA,NA,-6,NA
"60",NA,NA,-6,NA
"61",NA,NA,NA,NA
"62",NA,NA,NA,NA
"63",NA,-4,-22,-16
"64",NA,NA,NA,NA
"65",NA,-4,-22,-16
"66",NA,NA,NA,NA
"67",NA,-4,-22,-16
"68",NA,-4,-22,-16
"69",NA,NA,NA,NA
"70",NA,558,574,785
"71",NA,59,68,68
"72",NA,9,9,9
"73",NA,NA,NA,NA
"74",NA,8,3,7
"75",NA,16,23,31
"76",NA,0,0,0
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,1,12,13
"81",NA,24,22,9
"82",NA,NA,NA,NA
