"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1824,1714,1762,388,524,517
"매출원가",773,699,706,162,215,208
"매출총이익",1051,1015,1056,226,309,309
"판매비와관리비",992,1008,1042,213,299,284
"인건비",313,305,260,55,NA,NA
"유무형자산상각비",16,13,18,5,NA,NA
"연구개발비",NA,NA,NA,NA,NA,NA
"광고선전비",52,49,50,11,NA,NA
"판매비",34,36,46,12,NA,NA
"관리비",576,605,668,131,NA,NA
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",NA,NA,NA,NA,299,284
"영업이익",60,8,14,13,10,25
"영업이익(발표기준)",60,8,14,13,10,25
"금융수익",18,20,24,6,4,6
"이자수익",17,20,23,6,NA,NA
"배당금수익",1,0,1,NA,NA,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA,NA,NA
"금융자산평가이익",NA,NA,NA,NA,NA,NA
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,NA,NA,4,6
"금융원가",0,0,0,0,1,1
"이자비용",0,0,0,0,1,NA
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",NA,NA,NA,NA,NA,1
"기타수익",19,16,15,5,14,3
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",3,NA,0,NA,NA,NA
"자산평가이익",NA,NA,NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA,NA,NA
"수수료수익",10,10,9,2,NA,NA
"대손충당금환입",NA,NA,NA,NA,NA,NA
"충당부채환입액",1,NA,NA,NA,NA,NA
"기타비용",2,5,4,1,0,1
"재고자산감모손실",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA,NA,NA
"자산처분(폐기)손실",0,0,0,0,NA,NA
"자산평가손실",NA,NA,NA,NA,NA,NA
"자산손상차손",NA,NA,NA,NA,NA,NA
"기타대손상각비",NA,NA,NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",19,2,-3,0,-3,-3
"지분법손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA,NA,NA
"세전계속사업이익",114,40,45,22,25,29
"법인세비용",22,13,7,5,5,6
"계속영업이익",91,27,38,17,20,23
"중단영업이익",NA,NA,NA,NA,NA,NA
"당기순이익",91,27,38,17,20,23
"지배주주순이익",91,27,38,17,20,23
"비지배주주순이익",NA,NA,NA,NA,NA,NA
"자산",3316,3357,3390,3372,3635,3647
"유동자산",1476,1480,1473,1466,1736,1781
"재고자산",498,502,534,551,540,530
"유동생물자산",NA,NA,NA,NA,NA,NA
"유동금융자산",531,504,513,602,702,635
"매출채권및기타유동채권",118,110,125,126,196,150
"당기법인세자산",NA,6,NA,NA,NA,NA
"계약자산",NA,NA,NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA,NA,NA
"배출권",NA,NA,NA,NA,NA,NA
"기타유동자산",11,10,6,4,4,4
"현금및현금성자산",320,348,295,183,293,463
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA,NA,NA
"비유동자산",1840,1877,1917,1906,1900,1865
"유형자산",538,541,418,414,412,411
"무형자산",56,59,59,59,59,58
"비유동생물자산",NA,NA,NA,NA,NA,NA
"투자부동산",749,745,861,861,858,859
"장기금융자산",174,211,263,256,258,228
"관계기업등지분관련투자자산",311,310,306,305,302,299
"장기매출채권및기타비유동채권",NA,NA,NA,NA,NA,NA
"이연법인세자산",8,6,5,6,6,6
"장기당기법인세자산",NA,NA,NA,NA,NA,NA
