"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",1979,1944,1822,385,482,547
"매출원가",1361,1351,1235,257,330,376
"매출총이익",618,593,587,128,152,171
"판매비와관리비",548,516,509,127,127,133
"인건비",193,222,229,65,58,64
"유무형자산상각비",34,39,45,12,12,12
"연구개발비",12,10,2,1,1,1
"광고선전비",115,86,68,16,19,15
"판매비",27,2,21,-2,-1,2
"관리비",117,107,91,23,28,26
"기타원가성비용",NA,NA,NA,NA,NA,NA
"기타",49,50,53,12,10,13
"영업이익",71,77,78,2,25,38
"영업이익(발표기준)",71,77,78,2,25,38
"금융수익",27,18,17,3,9,6
"이자수익",4,6,9,1,1,1
"배당금수익",0,0,3,0,0,NA
"외환이익",NA,NA,NA,NA,NA,NA
"대손충당금환입액",NA,NA,NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA,NA,NA
"금융자산처분이익",10,6,1,1,2,4
"금융자산평가이익",3,6,3,NA,5,2
"금융자산손상차손환입",NA,NA,NA,NA,NA,NA
"파생상품이익",9,NA,NA,NA,NA,NA
"기타금융수익",NA,NA,2,0,1,0
"금융원가",56,58,61,4,15,5
"이자비용",7,9,10,2,3,2
"외환손실",NA,NA,NA,NA,NA,NA
"대손상각비",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA,NA,NA
"금융자산처분손실",1,2,1,0,0,0
"금융자산평가손실",0,8,19,1,-1,0
"금융자산손상차손",8,NA,NA,NA,NA,NA
"파생상품손실",NA,NA,NA,NA,NA,NA
"기타금융원가",40,40,31,1,13,3
"기타수익",50,32,24,7,3,4
"재고자산감모손실환입",NA,NA,NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA,NA,NA
"자산처분(폐기)이익",42,14,0,1,0,NA
