"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",24672,21795,15225,16667
"매출원가",14623,14154,12315,11996
"매출총이익",10048,7644,2910,4669
"판매비와관리비",8858,9048,5146,5793
"인건비",2463,1973,1457,1388
"유무형자산상각비",1625,1437,1498,1561
"연구개발비",19,14,7,6
"광고선전비",457,210,146,164
"판매비",700,330,312,286
"관리비",2671,2097,1380,1419
"기타원가성비용",0,0,0,0
"기타",921,2979,340,963
"영업이익",1194,-1405,-2234,-1125
"영업이익(발표기준)",1194,-1405,-2234,-1125
"금융수익",411,360,470,230
"이자수익",269,196,158,105
"배당금수익",4,66,1,2
"외환이익",26,12,11,15
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",20,14,6,8
"금융자산평가이익",109,12,274,62
"금융자산손상차손환입",0,0,0,0
"파생상품이익",109,52,3,-2
"기타금융수익",-124,8,15,39
"금융원가",509,834,524,477
"이자비용",809,378,330,332
"외환손실",5,38,1,1
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",0,0,0,0
"금융자산처분손실",3,1,1,0
"금융자산평가손실",16,322,-7,-14
"금융자산손상차손",0,0,0,0
"파생상품손실",1,8,6,8
"기타금융원가",-325,87,195,148
"기타수익",767,387,218,249
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0
"자산처분(폐기)이익",249,2,4,128
"자산평가이익",347,0,0,0
"자산손상차손환입",2,0,0,0
"임대료수익",17,5,3,3
"로열티수익",0,0,0,0
"수수료수익",7,2,0,0
"대손충당금환입",5,3,-1,0
"충당부채환입액",2,0,0,0
"기타비용",884,529,743,236
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",4,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",-1,4,-4,0
"자산처분(폐기)손실",13,11,17,29
"자산평가손실",0,0,0,0
"자산손상차손",723,11,538,12
"기타대손상각비",37,1,1,7
"충당부채전입액",18,1,1,1
"종속기업,공동지배기업및관계기업관련손익",-94,111,84,125
"지분법손익",-51,-15,-4,15
"종속기업,공동지배기업및관계기업투자주식처분손익",5,0,0,-1
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",880,-1909,-2731,-1234
"법인세비용",631,-316,-637,-62
"계속영업이익",254,-1590,-2096,-1173
"중단영업이익",-10,0,0,0
"당기순이익",245,-1590,-2096,-1173
"지배주주순이익",140,-1484,-1751,-969
"비지배주주순이익",-93,-84,-283,-167
"자산",210870,208861,206410,208614
"유동자산",58883,56568,50221,52127
"재고자산",5068,4674,5468,5261
"유동생물자산",0,0,0,0
"유동금융자산",31375,31529,25262,25017
"매출채권및기타유동채권",9161,8352,7742,7741
"당기법인세자산",22,44,23,41
"계약자산",127,124,55,62
"반품(환불)자산",0,0,0,0
"배출권",0,0,0,0
"기타유동자산",1916,2034,1631,1518
"현금및현금성자산",10624,9401,9691,12469
"매각예정비유동자산및처분자산집단",589,403,349,17
"비유동자산",151988,152296,156187,156486
"유형자산",96885,96003,96387,97375
"무형자산",8586,8599,8674,8579
"비유동생물자산",0,0,0,0
"투자부동산",11019,11004,11991,11994
"장기금융자산",18507,15602,17032,14913
"관계기업등지분관련투자자산",6587,6519,6627,6757
"장기매출채권및기타비유동채권",719,807,662,658
"이연법인세자산",2373,3067,3694,3952
"장기당기법인세자산",0,0,0,0
"기타비유동자산",7315,10694,11120,12251
"기타금융업자산",0,0,0,0
"부채",92417,94173,93837,95704
"유동부채",48448,48669,45504,41703
"단기사채",792,891,405,442
"단기차입금",6646,9263,10033,10832
"유동성장기부채",9690,9303,9940,5869
"유동금융부채",2247,1217,1371,1699
"매입채무및기타유동채무",20259,21418,17990,17099
"유동종업원급여충당부채",16,80,81,20
"기타단기충당부채",138,77,108,170
"당기법인세부채",1618,1615,408,342
"계약부채",487,182,290,270
"반품(환불)부채",7,6,9,9
"배출부채",0,0,0,0
"기타유동부채",6477,4617,4862,4954
"매각예정으로분류된처분자산집단에포함된부채",69,0,0,0
"비유동부채",43966,45506,48335,53997
"사채",5665,5262,5222,4857
"장기차입금",16483,17934,19644,24525
"비유동금융부채",9563,9803,10453,11464
"장기매입채무및기타비유동채무",2734,2741,2959,2649
"비유동종업원급여충당부채",1463,1769,2191,2383
"기타장기충당부채",658,421,407,436
"이연법인세부채",6377,6163,6140,6334
"장기당기법인세부채",0,0,0,0
"기타비유동부채",1006,1396,1308,1342
"기타금융업부채",0,0,0,0
"자본",118455,114693,112567,112909
"지배기업주주지분",104058,100409,98665,99230
"자본금",7735,7763,7768,7825
"신종자본증권",1100,1100,1100,1100
"자본잉여금",26052,28325,27513,28485
"기타자본",-5070,-5163,-5160,-5236
"기타포괄손익누계액",6924,5301,6235,6802
"이익잉여금(결손금)",73509,69163,67218,66203
"비지배주주지분",8211,8204,7898,7732
"영업활동으로인한현금흐름",4183,-3531,-2277,-969
"당기순손익",-46,-1627,-2095,-1161
"법인세비용차감전계속사업이익",280,77,-120,-4
"현금유출이없는비용등가산",4471,3844,3329,3461
"퇴직급여",309,277,434,327
"종업원급여",26,11,3,1
"주식보상비",-5,1,2,5
"감가상각비",2262,2046,2113,2183
"무형자산상각비",94,87,107,107
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",0,0,0,0
"배출부채전입액",0,0,0,0
"기타의대손상각비",6,24,-3,28
"배당금지급",0,0,0,0
"금융부채관련손실",-1,0,28,5
"사채상환손실",3,0,0,0
"투자자산평가손실",-3,0,0,5
"자산재평가손실",3,0,0,0
"지분법관련손실",42,24,26,9
"종속기업관련손실",0,0,0,0
"관계기업관련손익",-7,5,1,-5
"(현금유입이없는수익등차감)",432,1350,572,785
"금융부채관련이익",23,3,-2,5
"사채상환이익",0,0,0,0
"퇴직급여충당부채환입액",1,0,0,0
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,0
"배출부채환입액",0,0,0,0
"주식보상비환입",0,3,-3,-1
"투자자산평가이익",337,0,0,8
"자산재평가이익",0,0,0,0
"지분법관련이익",10,7,2,23
"종속회사관련이익",5,1,0,1
"법인세수익",4,647,339,205
"영업활동으로인한자산부채변동(운전자본변동)",296,-3925,-1726,-1959
"자산의감소(증가)",-906,-646,-821,-1857
"부채의증가(감소)",1171,-3278,-914,-107
"정부보조금등의변동",28,2,6,6
"기타운전자본의변동",4,0,0,0
"*영업에서창출된현금흐름",4566,-2982,-1185,-443
