"","X2017.12","X2018.12","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",22938,21984,19326,3561,3792,3919
"매출원가",19085,18837,15807,2889,3037,3257
"매출총이익",3852,3147,3522,672,755,662
"판매비와관리비",3906,3546,3064,804,841,751
"인건비",726,803,836,209,177,154
"유무형자산상각비",168,147,145,32,35,36
"연구개발비",987,677,537,158,228,222
"광고선전비",14,17,14,1,2,0
"판매비",410,298,363,62,54,66
"관리비",1460,1315,989,241,205,201
"기타원가성비용",0,0,0,0,0,1
"기타",139,288,181,98,143,74
"영업이익",-53,-401,459,-135,-86,-90
"영업이익(발표기준)",-53,-401,459,-135,-86,-90
"금융수익",842,972,1382,505,30,215
"이자수익",24,28,58,13,1,10
"배당금수익",0,1,1,0,0,2
"외환이익",725,718,738,445,44,198
"대손충당금환입액",0,0,3,0,0,0
"매출채권처분이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0,0,0
"금융자산처분이익",0,58,8,0,0,0
"금융자산평가이익",0,41,537,0,0,0
"금융자산손상차손환입",0,0,0,0,0,0
"파생상품이익",79,115,37,46,-16,4
"기타금융수익",13,10,0,0,0,2
"금융원가",1358,1037,1101,437,228,305
"이자비용",171,283,313,54,52,56
"외환손실",1022,637,662,354,74,226
"대손상각비",52,25,0,0,0,1
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0,0,0
"매출채권처분손실",0,0,0,0,0,0
"금융자산처분손실",2,1,0,1,2,0
"금융자산평가손실",0,9,88,8,78,2
"금융자산손상차손",12,0,0,0,0,0
"파생상품손실",96,30,27,21,-1,-2
"기타금융원가",0,52,12,0,21,22
"기타수익",73,80,65,20,4,44
"재고자산감모손실환입",0,0,0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0,0,0
"자산처분(폐기)이익",3,9,9,0,1,0
"자산평가이익",0,17,0,0,0,0
"자산손상차손환입",0,0,0,0,0,0
"임대료수익",0,2,5,0,0,0
"로열티수익",0,0,0,0,0,0
"수수료수익",0,0,0,0,0,0
"대손충당금환입",0,0,1,0,0,0
"충당부채환입액",0,0,0,0,0,0
"기타비용",193,392,282,40,80,60
"재고자산감모손실",0,0,0,0,0,0
"재고자산폐기(처분)손실",6,11,9,3,-2,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",0,0,0,0,0,0
"자산처분(폐기)손실",5,8,9,0,1,3
"자산평가손실",0,0,0,0,0,0
"자산손상차손",67,258,120,0,53,1
"기타대손상각비",76,27,15,6,24,3
"충당부채전입액",0,0,0,0,0,0
"종속기업,공동지배기업및관계기업관련손익",-325,-137,-72,-50,-207,-40
"지분법손익",-5,0,0,-50,-2,2
"종속기업,공동지배기업및관계기업투자주식처분손익",0,24,0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-77,-114,-30,0,-6,0
"세전계속사업이익",-1013,-912,449,-138,-565,-236
"법인세비용",18,-179,183,44,89,25
"계속영업이익",-1030,-733,265,-182,-654,-263
"중단영업이익",0,-94,-128,-31,121,-13
"당기순이익",-1030,-826,137,-212,-534,-275
"지배주주순이익",-925,-870,258,-198,-525,-258
"비지배주주순이익",-6,8,-38,-6,-19,-5
"자산",18864,17902,17343,18055,18356,18239
"유동자산",12761,11897,9928,10809,11184,11456
"재고자산",5337,4509,3009,3202,3685,3873
"유동생물자산",0,0,0,0,0,0
"유동금융자산",415,328,697,908,815,608
"매출채권및기타유동채권",5057,5029,4244,4340,4968,4911
"당기법인세자산",19,24,28,27,11,15
"계약자산",0,0,0,0,0,0
