"","115160","064240","078890","028080","297570","134580"
"2016-01-25",15550,6830,10926,7910,NA,3980
"2016-01-26",15300,6570,10926,7850,NA,3870
"2016-01-27",15250,6360,11166,7860,NA,3880
"2016-01-28",14950,7160,11262,7840,NA,3865
"2016-01-29",15000,7180,11262,7850,NA,3890
"2016-02-01",14700,7170,11022,7700,NA,3865
"2016-02-02",14600,7410,11070,7600,NA,3850
"2016-02-03",14450,7760,10926,7500,NA,3845
"2016-02-04",14500,7540,10974,7490,NA,3840
"2016-02-05",14600,7850,11022,7450,NA,3850
"2016-02-11",13950,7990,10397,7290,NA,3710
"2016-02-12",12750,7970,9579,6860,NA,3715
"2016-02-15",12750,7970,9549,6910,NA,3750
"2016-02-16",12850,7660,9675,7020,NA,3750
"2016-02-17",12700,8100,9607,7020,NA,3735
"2016-02-18",12800,8680,9723,7090,NA,3780
"2016-02-19",13100,8750,10300,7210,NA,3695
"2016-02-22",12950,8600,10300,7200,NA,3785
"2016-02-23",12900,8100,10059,7140,NA,3735
"2016-02-24",12950,8210,10011,7180,NA,3765
"2016-02-25",13000,7980,9915,7320,NA,3825
"2016-02-26",13000,7430,9963,7320,NA,3810
"2016-02-29",13250,7450,9963,7450,NA,3845
"2016-03-02",13200,7470,9771,7440,NA,3865
"2016-03-03",13300,7550,9771,7420,NA,3890
"2016-03-04",13350,7580,9867,7260,NA,3890
"2016-03-07",13150,7450,9867,7570,NA,3890
"2016-03-08",13450,7300,9675,7550,NA,3890
"2016-03-09",13400,7290,9963,7540,NA,3890
"2016-03-10",13800,7520,10059,7530,NA,3910
"2016-03-11",13500,7510,9819,7530,NA,3900
"2016-03-14",13600,7570,10348,7520,NA,3770
"2016-03-15",13450,7330,10348,7520,NA,3760
"2016-03-16",13400,7540,10204,7530,NA,3700
"2016-03-17",13400,7550,10300,7530,NA,3700
"2016-03-18",13550,7590,10397,7540,NA,3760
"2016-03-21",13200,7450,10397,7500,NA,3760
"2016-03-22",13200,7500,10397,7650,NA,3780
"2016-03-23",13200,7360,10445,7720,NA,3880
"2016-03-24",13050,7220,10204,7780,NA,3900
"2016-03-25",13000,7200,10204,7840,NA,3875
"2016-03-28",13100,6830,10156,7850,NA,3800
"2016-03-29",13200,7200,10541,7850,NA,3820
"2016-03-30",13000,7320,10734,7920,NA,3850
"2016-03-31",13150,7410,11166,7970,NA,3960
"2016-04-01",12900,7460,11166,8000,NA,3940
"2016-04-04",12900,7610,11070,7920,NA,3870
"2016-04-05",13200,7470,10878,7790,NA,4020
"2016-04-06",13250,7470,11070,7670,NA,4005
"2016-04-07",13200,7300,11022,7590,NA,4010
"2016-04-08",13100,7300,11214,7600,NA,3955
"2016-04-11",13100,7220,11070,7400,NA,4020
"2016-04-12",13300,7980,11070,7370,NA,4100
"2016-04-14",13400,7880,11070,7490,NA,4125
"2016-04-15",13800,7920,11070,7480,NA,4080
"2016-04-18",13600,8010,10974,7530,NA,4080
"2016-04-19",13400,7800,11022,7490,NA,4165
"2016-04-20",13300,7760,11408,7480,NA,4165
"2016-04-21",13600,8400,11408,7560,NA,4230
"2016-04-22",13650,8230,11600,7570,NA,4210
"2016-04-25",13650,8530,11552,7560,NA,4185
"2016-04-26",13400,8470,11600,7400,NA,4160
"2016-04-27",13500,8420,11456,7400,NA,4180
"2016-04-28",13350,9000,11696,7340,NA,4140
"2016-04-29",13250,8970,11840,7430,NA,4055
"2016-05-02",13200,8450,11552,7380,NA,4040
"2016-05-03",13200,8520,11552,7380,NA,4055
"2016-05-04",13450,9020,11408,7370,NA,4055
"2016-05-09",13550,9010,10830,7300,NA,4070
"2016-05-10",13750,8960,10878,7320,NA,4060
"2016-05-11",13550,9380,10974,7270,NA,4065
"2016-05-12",14000,9280,11022,7280,NA,4025
"2016-05-13",13400,9300,10974,7180,NA,4010
"2016-05-16",13200,8970,10878,7100,NA,3740
"2016-05-17",12900,9400,10878,7130,NA,3750
"2016-05-18",12750,9980,10541,7250,NA,3700
"2016-05-19",12450,9350,10156,7200,NA,3700
"2016-05-20",12400,9580,10300,7270,NA,3680
"2016-05-23",12300,10000,10204,7190,NA,3695
"2016-05-24",12100,9920,10059,7060,NA,3650
"2016-05-25",12150,9000,9915,7010,NA,3665
"2016-05-26",12200,8950,10252,7080,NA,3660
"2016-05-27",12400,8990,10685,7100,NA,3665
"2016-05-30",12300,8490,10782,7090,NA,3680
"2016-05-31",12600,8900,10830,7100,NA,3675
"2016-06-01",13000,9120,10637,7090,NA,3690
"2016-06-02",12800,9200,10782,7140,NA,3690
"2016-06-03",12700,9400,10637,7190,NA,3690
"2016-06-07",12700,9660,10541,7190,NA,3670
"2016-06-08",12950,9610,10493,7190,NA,3645
"2016-06-09",13000,9340,10541,7140,NA,3655
"2016-06-10",12850,9310,10493,7090,NA,3645
"2016-06-13",12600,8850,10252,7050,NA,3560
"2016-06-14",12550,9000,9963,7000,NA,3535
"2016-06-15",12650,8920,9963,7050,NA,3535
"2016-06-16",12650,8590,9723,6960,NA,3490
"2016-06-17",12900,8590,10011,7010,NA,3485
"2016-06-20",12800,8810,10059,7140,NA,3445
"2016-06-21",13000,8680,10059,7060,NA,3440
"2016-06-22",13200,8500,10204,7110,NA,3455
"2016-06-23",13350,8260,10011,7010,NA,3390
"2016-06-24",12900,7460,9771,6870,NA,3350
"2016-06-27",13200,7890,9819,6810,NA,3295
"2016-06-28",13400,8010,9867,6970,NA,3240
"2016-06-29",13550,8080,9867,7080,NA,3225
"2016-06-30",13600,8210,10348,7080,NA,3210
"2016-07-01",14100,8170,10348,7190,NA,3235
"2016-07-04",14050,8120,10445,7250,NA,3260
"2016-07-05",14200,8210,10445,7330,NA,3295
"2016-07-06",14300,8400,10541,7250,NA,3325
"2016-07-07",14350,8600,10926,7340,NA,3375
"2016-07-08",14250,8420,11166,7350,NA,3350
"2016-07-11",14300,9330,11262,7300,NA,3440
"2016-07-12",14100,9150,11022,7370,NA,3445
"2016-07-13",14400,9200,11214,7390,NA,3445
"2016-07-14",14500,8890,11262,7400,NA,3425
"2016-07-15",14500,9260,11312,7420,NA,3555
"2016-07-18",14400,9260,11118,7390,NA,3585
"2016-07-19",14200,9070,11022,7390,NA,3620
"2016-07-20",14400,9270,11118,7320,NA,3650
"2016-07-21",14300,9900,11070,7400,NA,3640
"2016-07-22",14200,9570,11504,7360,NA,3655
"2016-07-25",14600,9410,11504,7400,NA,3650
"2016-07-26",14600,9980,11408,7380,NA,3680
"2016-07-27",14350,9950,10878,7360,NA,3700
"2016-07-28",14600,9810,11408,7440,NA,3825
"2016-07-29",14600,9920,11456,7430,NA,3910
"2016-08-01",14650,12850,11504,7460,NA,3890
"2016-08-02",14050,13250,11312,7420,NA,3895
"2016-08-03",13600,14450,10541,7380,NA,3835
"2016-08-04",13450,15500,10782,7390,NA,3895
"2016-08-05",13650,16400,10348,7390,NA,3870
"2016-08-08",14000,17700,10397,7400,NA,3780
"2016-08-09",14000,18300,10252,7400,NA,3730
"2016-08-10",13700,18200,10204,7400,NA,3910
"2016-08-11",13550,19000,10252,7390,NA,3890
"2016-08-12",13150,19350,10445,7390,NA,4130
"2016-08-16",13400,18200,10445,7400,NA,4000
"2016-08-17",13700,17400,10252,7390,NA,3985
"2016-08-18",13350,18000,10445,7390,NA,4005
"2016-08-19",13800,18000,10445,7390,NA,4060
"2016-08-22",14000,16850,10589,7390,NA,4080
"2016-08-23",13950,17050,10445,7370,NA,4095
"2016-08-24",14100,19300,10445,7400,NA,4155
"2016-08-25",14300,20150,10300,7410,NA,4145
"2016-08-26",13950,19750,10397,7400,NA,4035
"2016-08-29",14200,22000,10108,7400,NA,3940
"2016-08-30",13800,22500,10108,7370,NA,3950
"2016-08-31",13450,24950,10156,7400,NA,3850
"2016-09-01",13750,25400,10348,7400,NA,3945
"2016-09-02",13850,25450,10397,7380,NA,3860
"2016-09-05",14100,27750,10348,7440,NA,3700
"2016-09-06",14100,27100,10300,7400,NA,3700
"2016-09-07",14300,23700,10348,7410,NA,3650
"2016-09-08",14000,21600,10108,7410,NA,3655
"2016-09-09",14000,23400,10108,7380,NA,3655
"2016-09-12",14000,24500,9723,7360,NA,3620
"2016-09-13",14000,25200,9915,7400,NA,3700
"2016-09-19",14000,24450,9915,7410,NA,3620
"2016-09-20",14100,25300,10011,7450,NA,3650
"2016-09-21",13950,23600,10059,7810,NA,3615
"2016-09-22",14300,24800,9963,7800,NA,4380
"2016-09-23",14050,24050,9963,7860,NA,4135
"2016-09-26",14200,22500,10108,7750,NA,4215
"2016-09-27",14250,22750,10300,7780,NA,4250
"2016-09-28",14350,21800,10300,7740,NA,4360
"2016-09-29",14400,20200,10300,7730,NA,4545
"2016-09-30",14500,24000,10589,7700,NA,4370
"2016-10-04",14750,23650,10589,7700,NA,4370
"2016-10-05",14500,23000,10493,7660,NA,4140
"2016-10-06",14650,22850,10589,7690,NA,4245
"2016-10-07",14600,22600,10589,7690,NA,4050
"2016-10-10",14600,22800,10685,7720,NA,4100
"2016-10-11",14650,22600,10493,7700,NA,4085
"2016-10-12",14600,22000,10300,7700,NA,4110
"2016-10-13",14400,21600,10252,7680,NA,4050
"2016-10-14",14500,22550,10493,7620,NA,3990
"2016-10-17",14750,23250,10493,7670,NA,3985
"2016-10-18",14600,23600,10493,7650,NA,4000
"2016-10-19",14650,23200,10445,7630,NA,4115
"2016-10-20",14750,23300,10252,7640,NA,4100
"2016-10-21",14850,23100,10300,7570,NA,4090
"2016-10-24",14750,22750,10300,7540,NA,4085
"2016-10-25",14950,21700,10204,7500,NA,4015
"2016-10-26",15000,21150,10204,7420,NA,3870
"2016-10-27",15050,20550,10059,7500,NA,3870
"2016-10-28",14200,20150,10059,7490,NA,3830
"2016-10-31",14600,18550,10011,7340,NA,3695
"2016-11-01",14750,24100,9867,7370,NA,3750
"2016-11-02",14600,24550,9867,7170,NA,3540
"2016-11-03",14850,25500,9771,7240,NA,3410
"2016-11-04",14850,24500,9819,7250,NA,3460
"2016-11-07",15050,23850,9963,7260,NA,3550
"2016-11-08",14700,24250,9915,7120,NA,3565
"2016-11-09",14350,28050,9521,6970,NA,3050
"2016-11-10",14700,28200,9723,7100,NA,3215
"2016-11-11",14200,27900,9819,7100,NA,3240
"2016-11-14",13950,27950,9771,7030,NA,3300
"2016-11-15",13800,29400,9723,6890,NA,3230
"2016-11-16",13800,29000,9771,6960,NA,3240
"2016-11-17",13650,27600,9819,7040,NA,3275
"2016-11-18",13250,27850,9819,7120,NA,3150
"2016-11-21",13600,26000,9627,7120,NA,3215
"2016-11-22",13700,25350,9675,7140,NA,3210
"2016-11-23",14000,23850,9675,7040,NA,3155
"2016-11-24",13950,23150,9549,6980,NA,3085
"2016-11-25",13900,24250,9559,7000,NA,3120
"2016-11-28",13950,22150,9723,7000,NA,3120
"2016-11-29",13750,22700,9867,7000,NA,3155
"2016-11-30",13400,22300,9675,7020,NA,3145
"2016-12-01",13500,22450,9771,6990,NA,3135
"2016-12-02",13050,21550,9675,6980,NA,3200
"2016-12-05",12800,20050,9531,6880,NA,3140
"2016-12-06",12800,19250,9531,6860,NA,3140
"2016-12-07",12700,20100,9627,6840,NA,3155
"2016-12-08",12200,20600,9569,6930,NA,3580
"2016-12-09",12450,20900,9579,6920,NA,4115
"2016-12-12",12600,20250,9627,6970,NA,5340
"2016-12-13",12700,20750,9723,6990,NA,5340
"2016-12-14",12750,17300,9771,7020,NA,6530
"2016-12-15",12950,18800,9675,7040,NA,6440
"2016-12-16",12950,17900,9723,7040,NA,5900
"2016-12-19",12850,17850,9771,7070,NA,5700
"2016-12-20",13000,16600,9723,7060,NA,6300
"2016-12-21",12950,18000,9819,7070,NA,5680
"2016-12-22",12950,16800,9819,7010,NA,5650
"2016-12-23",13500,16800,10300,7050,NA,5810
"2016-12-26",13250,16850,10108,7000,NA,5980
"2016-12-27",13350,16350,9963,7000,NA,5820
"2016-12-28",13400,17500,10156,7080,NA,6300
"2016-12-29",13750,17600,10204,6990,NA,6180
"2017-01-02",13700,17300,10156,7040,NA,6280
"2017-01-03",13400,17700,10204,7080,NA,6230
"2017-01-04",13250,17550,10204,7080,NA,6230
"2017-01-05",13300,18350,10204,7070,NA,6090
"2017-01-06",13200,18300,10108,7050,NA,6120
"2017-01-09",13050,18200,10300,7070,NA,6350
"2017-01-10",13000,18400,10059,7050,NA,6120
"2017-01-11",13000,18050,9963,6990,NA,6210
"2017-01-12",12850,17150,9963,7070,NA,6020
"2017-01-13",12800,17400,10011,7040,NA,5960
"2017-01-16",12600,16750,9819,6980,NA,5770
"2017-01-17",12700,16450,9819,7000,NA,5790
"2017-01-18",12500,17100,10445,6990,NA,6000
"2017-01-19",12500,17050,10252,6980,NA,6990
"2017-01-20",12350,18100,10204,6900,NA,6930
"2017-01-23",12250,17250,10252,6840,NA,7070
"2017-01-24",12300,16750,10011,6810,NA,6340
"2017-01-25",12200,16500,10156,6790,NA,5000
"2017-01-26",12400,16750,10108,6790,NA,5060
"2017-01-31",12250,16950,9963,6800,NA,5080
"2017-02-01",12250,17200,10397,6830,NA,5150
"2017-02-02",11950,14350,10397,6700,NA,4900
"2017-02-03",11750,10050,10252,6710,NA,4055
"2017-02-06",11900,12250,10397,6730,NA,4460
"2017-02-07",11900,12400,10156,6700,NA,4200
"2017-02-08",11850,8890,10493,6650,NA,3720
"2017-02-09",11850,10250,10541,6550,NA,3840
"2017-02-10",11800,9900,10685,6500,NA,3930
"2017-02-13",11850,9670,10734,6500,NA,3960
"2017-02-14",11800,10200,10397,6450,NA,3950
"2017-02-15",11800,9800,10445,6400,NA,3960
"2017-02-16",11750,9550,10445,6650,NA,3960
"2017-02-17",11750,9680,10541,6550,NA,4000
"2017-02-20",11750,9970,10397,6590,NA,4005
"2017-02-21",12350,9820,10397,6540,NA,4000
"2017-02-22",12200,9360,10782,6490,NA,3970
"2017-02-23",11950,9260,10830,6510,NA,3890
"2017-02-24",11900,9260,10445,6610,NA,3830
"2017-02-27",11900,9760,10445,6640,NA,3840
"2017-02-28",12050,9380,10493,6730,NA,3830
"2017-03-02",11900,9230,10397,6640,NA,3700
"2017-03-03",11700,9100,10300,6470,NA,3545
"2017-03-06",11650,9670,10493,6450,NA,3820
"2017-03-07",11600,9630,10637,6460,NA,3830
"2017-03-08",11650,10400,10830,6430,NA,3870
"2017-03-09",11750,10500,10830,6460,NA,3780
"2017-03-10",11700,11600,10926,6450,NA,3795
"2017-03-13",11600,11600,10637,6470,NA,3800
"2017-03-14",11550,11600,10397,6550,NA,3780
"2017-03-15",11700,12150,10589,6450,NA,3800
"2017-03-16",11750,12000,10637,6510,NA,3850
"2017-03-17",11850,12300,11214,6570,NA,3775
"2017-03-20",11700,12000,11504,6570,NA,3730
"2017-03-21",11650,11850,11552,6460,NA,3705
"2017-03-22",11650,11650,11648,6410,NA,3840
"2017-03-23",11900,11000,11600,6380,NA,3760
