"","004170","069960","037710","067830","019010","006370"
"2016-01-25",212500,123000,248500,5250,961,13950
"2016-01-26",208000,121500,248000,5250,957,14000
"2016-01-27",210000,124000,248000,5230,971,14450
"2016-01-28",213500,124000,249500,5230,971,14650
"2016-01-29",212500,128000,254000,5220,984,14800
"2016-02-01",211500,129000,254000,5160,964,14800
"2016-02-02",211500,129000,256000,5160,982,14800
"2016-02-03",212500,129500,255000,5100,970,14600
"2016-02-04",212500,130000,256500,5150,977,14850
"2016-02-05",211500,130000,256500,5430,986,14800
"2016-02-11",206500,127000,247500,5510,960,14200
"2016-02-12",200000,126000,244500,5490,934,14350
"2016-02-15",203000,127500,249000,5350,959,14400
"2016-02-16",202500,129500,249000,5360,969,14550
"2016-02-17",203000,130500,250000,5300,973,14450
"2016-02-18",212000,133500,249500,5320,960,14400
"2016-02-19",212000,132500,245500,5410,961,14400
"2016-02-22",210000,132500,244500,5420,972,14450
"2016-02-23",210500,133000,243500,5380,958,14250
"2016-02-24",204500,132500,242000,5430,953,14500
"2016-02-25",210000,136000,241000,5340,948,14500
"2016-02-26",210000,134000,241000,5360,942,14600
"2016-02-29",212500,135500,243500,5360,957,14650
"2016-03-02",210000,133500,245000,5350,967,14450
"2016-03-03",210000,139000,246000,5320,964,14450
"2016-03-04",211500,140000,247000,5390,965,14550
"2016-03-07",213500,140000,246500,5370,972,14600
"2016-03-08",230500,143000,245000,5340,965,14500
"2016-03-09",222500,143500,255500,5330,974,14500
"2016-03-10",220000,144500,257000,5300,974,14450
"2016-03-11",222000,141000,256500,5430,991,14750
"2016-03-14",218500,139000,254000,5440,1080,14750
"2016-03-15",216000,141500,253500,5450,1070,14600
"2016-03-16",214500,142500,254500,5500,1070,14600
"2016-03-17",211000,142500,253500,5450,1080,14600
"2016-03-18",209000,142500,260000,5400,1085,14550
"2016-03-21",205000,141500,263500,5400,1130,14600
"2016-03-22",205000,142500,261000,5400,1145,14600
"2016-03-23",205000,145000,261000,5410,1130,14600
"2016-03-24",206000,146500,263500,5330,1155,14550
"2016-03-25",206500,147500,264000,5440,1125,14450
"2016-03-28",209000,145000,263500,5440,1145,14500
"2016-03-29",207500,142500,265000,5470,1145,14550
"2016-03-30",205500,142000,269000,5460,1145,14250
"2016-03-31",203000,137500,266000,5460,1130,14100
"2016-04-01",203000,135500,268000,5540,1125,14000
"2016-04-04",207500,142000,264500,5710,1125,14050
"2016-04-05",204500,141500,264000,5770,1145,14150
"2016-04-06",203000,140000,263500,5830,1145,14050
"2016-04-07",204000,138000,266500,5790,1130,14050
"2016-04-08",202000,138000,260500,5760,1135,14250
"2016-04-11",201000,139500,257500,5750,1150,14250
