"","X2019.12","X2020.03","X2020.06","X2020.09"
"매출액",106766,100559,91422,97679
"매출원가",102108,95140,86548,93181
"매출총이익",4658,5419,4875,4498
"판매비와관리비",3614,3122,3009,2893
"인건비",1798,1668,1704,1715
"유무형자산상각비",268,250,257,261
"연구개발비",9,0,1,2
"광고선전비",17,3,2,6
"판매비",585,415,329,265
"관리비",921,705,633,557
"기타원가성비용",0,0,0,0
"기타",15,81,81,89
"영업이익",1045,2297,1866,1604
"영업이익(발표기준)",1045,2297,1866,1604
"금융수익",1540,6454,1832,2157
"이자수익",168,159,133,142
"배당금수익",7,22,19,6
"외환이익",861,4562,1091,1213
"대손충당금환입액",0,0,0,0
"매출채권처분이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련이익",0,0,0,0
"금융자산처분이익",0,0,0,0
"금융자산평가이익",-26,4,44,-6
"금융자산손상차손환입",0,0,0,0
"파생상품이익",518,1704,528,792
"기타금융수익",12,4,17,10
"금융원가",2095,7316,1967,2780
"이자비용",576,462,489,461
"외환손실",1018,4861,884,1314
"대손상각비",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산관련손실",0,0,0,0
"매출채권처분손실",123,91,60,59
"금융자산처분손실",0,0,0,0
"금융자산평가손실",42,4,-4,4
"금융자산손상차손",0,0,0,0
"파생상품손실",278,1889,530,927
"기타금융원가",59,9,4,15
"기타수익",727,937,529,632
"재고자산감모손실환입",0,0,0,0
"재고자산폐기(처분)이익",0,0,0,0
"당기손익-공정가치측정<U+00A0>금융자산평가이익",0,0,0,0
"자산처분(폐기)이익",202,2,8,5
"자산평가이익",0,0,0,0
"자산손상차손환입",2,0,0,0
"임대료수익",0,0,0,0
"로열티수익",0,0,0,0
"수수료수익",0,0,0,0
"대손충당금환입",-3,12,42,128
"충당부채환입액",7,3,0,7
"기타비용",4067,945,577,382
"재고자산감모손실",0,0,0,0
"재고자산폐기(처분)손실",18,0,4,0
"당기손익-공정가치측정<U+00A0>금융자산평가손실",4,0,0,0
"자산처분(폐기)손실",10,13,6,13
"자산평가손실",0,0,0,0
"자산손상차손",2948,14,0,0
"기타대손상각비",446,46,68,16
"충당부채전입액",-11,1,1,1
"종속기업,공동지배기업및관계기업관련손익",-205,3500,81,13
"지분법손익",-225,3458,59,1
"종속기업,공동지배기업및관계기업투자주식처분손익",0,0,0,0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0,0,0,0
"세전계속사업이익",-3056,4928,1763,1244
"법인세비용",-389,1371,485,205
"계속영업이익",-2665,3557,1276,1039
"중단영업이익",0,0,0,0
"당기순이익",-2665,3557,1276,1039
"지배주주순이익",-1946,3504,1100,918
"비지배주주순이익",-721,52,176,122
"자산",170453,181261,177517,174499
"유동자산",94753,105490,101975,99975
"재고자산",21075,20136,19268,17613
"유동생물자산",0,0,0,0
"유동금융자산",2320,3600,3710,3081
"매출채권및기타유동채권",56120,58994,54516,54227
"당기법인세자산",1,3,2,5
"계약자산",738,672,578,438
"반품(환불)자산",0,0,0,0
"배출권",0,0,0,0
"기타유동자산",4535,4552,4354,4403
"현금및현금성자산",9452,17151,19227,20001
"매각예정비유동자산및처분자산집단",511,382,324,206
"비유동자산",75700,75772,75541,74523
"유형자산",26007,26135,26487,26005
"무형자산",20613,20323,20098,19853
"비유동생물자산",0,0,0,0
"투자부동산",4757,4696,4696,4645
"장기금융자산",6135,6190,5539,5315
"관계기업등지분관련투자자산",8245,8164,8448,8310
"장기매출채권및기타비유동채권",3264,3434,3472,3621
"이연법인세자산",3920,3704,3818,3773
"장기당기법인세자산",52,56,45,5
"기타비유동자산",2707,3072,2936,2998
"기타금융업자산",0,0,0,0
"부채",116707,124999,119886,116306
"유동부채",74753,84504,78921,77466
"단기사채",81,59,97,43
"단기차입금",18132,24304,22024,17071
"유동성장기부채",6059,8003,10452,10212
"유동금융부채",1704,2665,2026,2334
"매입채무및기타유동채무",43802,43454,38073,41790
"유동종업원급여충당부채",14,5,11,16
"기타단기충당부채",288,102,138,162
"당기법인세부채",432,962,1261,1135
"계약부채",336,317,260,234
"반품(환불)부채",0,0,0,0
"배출부채",0,0,0,0
"기타유동부채",3597,4163,4181,4282
"매각예정으로분류된처분자산집단에포함된부채",309,468,397,187
"비유동부채",41953,40496,40965,38840
"사채",17527,15664,20015,18607
"장기차입금",17303,16210,13630,13145
"비유동금융부채",3404,4942,3614,3408
"장기매입채무및기타비유동채무",376,111,170,163
"비유동종업원급여충당부채",381,421,496,601
"기타장기충당부채",1535,1553,1484,1445
"이연법인세부채",1233,1229,1256,1207
"장기당기법인세부채",0,0,0,0
"기타비유동부채",175,345,278,247
"기타금융업부채",0,0,0,0
"자본",53747,56261,57631,58193
"지배기업주주지분",49751,52305,53394,53826
"자본금",11324,11324,11324,11324
"신종자본증권",252,252,200,200
"자본잉여금",10738,10737,10751,10786
"기타자본",-5807,-5807,-5957,-6175
"기타포괄손익누계액",985,1090,1262,967
"이익잉여금(결손금)",32259,34710,35811,36722
"비지배주주지분",3995,3955,4238,4366
"영업활동으로인한현금흐름",8180,15,3867,7788
"당기순손익",-2665,3557,1276,1039
"법인세비용차감전계속사업이익",0,0,0,0
"현금유출이없는비용등가산",6293,8400,1986,2886
"퇴직급여",120,123,113,111
"종업원급여",0,0,2,0
"주식보상비",0,0,0,0
"감가상각비",823,668,676,699
"무형자산상각비",651,619,623,561
"계약부채전입액",0,0,0,0
"반품(환불)부채전입액",0,0,0,0
"배출부채전입액",0,0,0,0
"기타의대손상각비",457,13,45,16
"배당금지급",0,0,0,0
"금융부채관련손실",38,2,-1,9
"사채상환손실",-22,0,0,0
"투자자산평가손실",0,0,0,0
"자산재평가손실",0,0,0,0
"지분법관련손실",-70,29,39,9
"종속기업관련손실",0,0,0,0
"관계기업관련손익",516,127,302,110
"(현금유입이없는수익등차감)",910,8253,-312,1084
"금융부채관련이익",0,2,8,-9
"사채상환이익",0,0,0,0
"퇴직급여충당부채환입액",0,0,0,0
"계약부채환입액",0,0,0,0
"반품(환불)부채환입액",0,0,0,0
"배출부채환입액",0,0,0,0
"주식보상비환입",0,0,0,0
"투자자산평가이익",0,0,0,0
"자산재평가이익",0,0,0,0
"지분법관련이익",-148,3485,97,12
"종속회사관련이익",0,0,0,0
"법인세수익",-18,0,0,0
"영업활동으로인한자산부채변동(운전자본변동)",5785,-3148,308,5267
"자산의감소(증가)",11080,237,3953,785
"부채의증가(감소)",-5367,-3234,-3629,4610
"정부보조금등의변동",0,0,0,0
"기타운전자본의변동",70,-150,-17,-128
"*영업에서창출된현금흐름",8501,555,3881,8108
"기타영업활동으로인한현금흐름",-322,-540,-15,-320
"이자수입",57,108,63,118
"이자지급(-)",-338,-394,-339,-402
"배당금수입",67,252,255,181
"배당금지급(-)",0,0,0,0
"법인세환입",-63,0,6,-6
"법인세납부(-)",-42,-508,1,-211
"중단영업관련현금흐름",0,0,0,0
"투자활동으로인한현금흐름",-2957,2613,-1538,848
