"","047050","001120","011760","001250","011810"
"2016-01-25",13950,28500,22700,3363,39457
"2016-01-26",13750,29100,22400,3342,37755
"2016-01-27",15350,30150,23150,3346,36600
"2016-01-28",15350,30700,23300,3395,37208
"2016-01-29",15400,30900,24450,3427,36964
"2016-02-01",15050,30400,24050,3392,36843
"2016-02-02",14850,31600,23100,3378,37208
"2016-02-03",15400,31150,22100,3303,36721
"2016-02-04",16000,32950,23700,3349,36600
"2016-02-05",16400,32850,23400,3395,36478
"2016-02-11",16000,31950,22400,3324,35870
"2016-02-12",18100,31800,21550,3228,34715
"2016-02-15",18600,34050,22900,3264,35080
"2016-02-16",19750,33850,23500,3339,35992
"2016-02-17",19550,33450,22900,3331,37086
"2016-02-18",20650,34550,23300,3367,36904
"2016-02-19",19750,34300,22250,3378,38423
"2016-02-22",19350,33950,21700,3417,38423
"2016-02-23",19250,34200,21150,3413,37025
"2016-02-24",19000,33700,20400,3406,36600
"2016-02-25",19050,33300,20450,3406,36660
"2016-02-26",18750,33350,20000,3395,36356
"2016-02-29",19050,33200,20500,3367,37086
"2016-03-02",20000,34600,21300,3371,37147
"2016-03-03",19950,35050,21150,3388,37694
"2016-03-04",20650,36500,20950,3545,38059
"2016-03-07",21750,37400,22200,3641,38606
"2016-03-08",21450,36650,21700,3605,38788
"2016-03-09",20450,35700,21300,3605,37755
"2016-03-10",21450,35800,22350,3619,37694
"2016-03-11",20800,35750,22500,3634,37755
"2016-03-14",21200,34700,22900,3577,38241
"2016-03-15",22350,35150,22300,3570,38606
"2016-03-16",21200,33550,22050,3463,38545
"2016-03-17",22500,35550,22900,3491,38667
"2016-03-18",23400,36350,23050,3438,40126
"2016-03-21",22350,36350,22800,3438,39883
"2016-03-22",22900,35850,23200,3491,39518
"2016-03-23",22500,36350,23100,3769,38971
"2016-03-24",21600,35350,23700,4089,39214
"2016-03-25",21100,34650,23050,4195,39335
"2016-03-28",21500,34600,22400,4224,39761
"2016-03-29",21550,34350,22750,3328,38971
"2016-03-30",21200,35350,22900,3186,38971
"2016-03-31",21600,35800,23000,3136,39153
"2016-04-01",21450,34950,22800,2990,38545
"2016-04-04",20200,33300,25000,2969,38180
"2016-04-05",21400,33500,25950,3011,38180
"2016-04-06",22800,35250,26400,3022,38180
"2016-04-07",22600,35450,26150,3047,39518
"2016-04-08",23200,35000,26100,3015,38484
"2016-04-11",23100,35850,25200,3022,38119
"2016-04-12",24100,36700,27350,3079,38059
"2016-04-14",23800,37850,27000,3115,38302
"2016-04-15",24150,37300,26300,3147,37694
"2016-04-18",23250,37000,26350,3175,37390
"2016-04-19",23500,36850,26000,3500,37572
"2016-04-20",23400,36600,26850,3305,37572
"2016-04-21",24250,37050,26850,3395,37086
"2016-04-22",23500,36900,27450,3410,36600
"2016-04-25",23500,36100,27900,3360,35201
"2016-04-26",23600,36050,27000,3350,34654
"2016-04-27",23600,36200,27150,3310,34046
"2016-04-28",23950,37000,27400,3310,33499
"2016-04-29",24850,37900,26650,3330,31128
"2016-05-02",23750,36300,26500,3265,27237
"2016-05-03",23950,36750,25900,3270,27906
"2016-05-04",22650,35350,25950,3190,27480
"2016-05-09",22400,35150,24200,3050,27602
"2016-05-10",23150,35200,25200,3100,27541
"2016-05-11",23150,35900,25100,3145,27480
"2016-05-12",24000,36300,25400,3140,27480
"2016-05-13",23800,36050,25300,3070,27298
"2016-05-16",23200,35750,24400,3035,26507
"2016-05-17",23700,36000,24700,3090,25535
"2016-05-18",24050,36800,24700,2950,25535
"2016-05-19",23300,36750,24500,2940,25535
"2016-05-20",23150,37550,25550,2975,25535
"2016-05-23",23150,37400,25050,2935,25291
"2016-05-24",22700,37450,25800,2965,23589
"2016-05-25",23150,38650,26150,2960,18908
"2016-05-26",23350,38750,26550,2890,14287
"2016-05-27",23350,39150,26400,2850,15078
"2016-05-30",23700,38700,26000,2790,16111
"2016-05-31",23600,38400,26300,2805,20914
"2016-06-01",24350,38350,25800,2990,27176
"2016-06-02",23900,37650,26850,2930,35323
"2016-06-03",23650,37750,27500,2875,34289
"2016-06-07",24250,39200,27600,2945,37268
"2016-06-08",24450,39550,27300,2985,36478
"2016-06-09",24650,38750,26500,2895,32587
"2016-06-10",26800,39650,26600,2990,35384
"2016-06-13",26500,39050,25950,2910,36478
"2016-06-14",24950,37850,25300,2875,34776
"2016-06-15",25800,37850,24450,2870,33013
"2016-06-16",25050,36650,24000,2795,29122
"2016-06-17",24750,37250,24700,2855,28088
"2016-06-20",25700,38200,24700,2850,29122
"2016-06-21",25100,38800,24250,2835,29000
"2016-06-22",25550,38750,24200,2570,29061
"2016-06-23",24800,38900,23800,2490,29000
"2016-06-24",23350,37000,23150,2245,27237
"2016-06-27",23550,36750,23150,2245,27115
"2016-06-28",24100,37650,22800,2265,28149
"2016-06-29",24500,37850,22950,2355,28453
"2016-06-30",25000,37650,23100,2375,27966
"2016-07-01",24000,36900,23250,2410,28878
"2016-07-04",24150,36900,23100,2420,28878
"2016-07-05",23900,36650,23000,2435,29426
"2016-07-06",23850,36650,22350,2385,38180
"2016-07-07",24450,37850,22650,2450,36113
"2016-07-08",23150,37150,21950,2440,34046
"2016-07-11",23450,37950,22150,2435,32526
"2016-07-12",23300,37900,22400,2475,37390
"2016-07-13",23700,37950,22600,2480,35201
"2016-07-14",23600,37550,22200,2490,34593
"2016-07-15",23450,37900,22650,2475,34046
"2016-07-18",23200,37700,22950,2510,35201
"2016-07-19",22850,37400,22800,2505,34593
"2016-07-20",22300,36850,22500,2480,34046
"2016-07-21",22350,36900,22850,2460,35019
"2016-07-22",22550,36850,23250,2475,30398
"2016-07-25",22150,36500,23000,2465,29365
"2016-07-26",22050,36900,23200,2475,27723
"2016-07-27",22150,37950,23200,2455,28453
"2016-07-28",22050,36600,23700,2465,28210
"2016-07-29",21350,36450,23400,2455,29608
"2016-08-01",22700,36800,23300,2450,29851
"2016-08-02",22450,35700,22950,2560,28574
"2016-08-03",21300,35300,22350,2510,29669
"2016-08-04",21550,34650,22450,2505,29851
"2016-08-05",21600,35650,22300,2520,30459
"2016-08-08",21500,35300,21450,2495,29182
"2016-08-09",22150,35150,21900,2485,29547
"2016-08-10",22150,35400,21650,2500,29851
"2016-08-11",22350,34800,21100,2565,30277
"2016-08-12",23050,35000,21650,2555,29304
"2016-08-16",22850,35000,21550,2555,28939
"2016-08-17",23350,35150,21050,2870,25717
"2016-08-18",23200,35150,21400,2940,25352
"2016-08-19",24350,34650,20750,2915,30155
"2016-08-22",23900,34600,20650,2740,27966
"2016-08-23",23250,34100,20600,2745,36356
"2016-08-24",24000,34000,20700,2825,34776
"2016-08-25",24000,34550,20650,2750,37390
"2016-08-26",23850,34400,20600,2700,35748
"2016-08-29",23500,33650,20050,2740,34350
"2016-08-30",23300,33900,20150,2700,35992
"2016-08-31",22900,33250,20350,2740,35566
"2016-09-01",23050,33900,20800,2875,35870
"2016-09-02",23100,34050,20500,2875,36964
"2016-09-05",23200,34600,20850,2870,35992
"2016-09-06",23200,33900,20500,2965,35384
